Run,Graph,Index,Y_Axis          Y2_Axis,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data
Secs,Secs,,PndVol,IFT,PndVol,PndArea,TipWdth,WetTipW,Diam,LYb,LYBeta,LYErr,ApexX,ApexY,Contrst,Sharp,Black,White,Edge
1.1,0,1,3.439,23.1,3.439,8.9369,2.0515,2.0427,2.0527,0.9476,-0.381,3.46E-03,2.20E+00,2.3215,239,170,16,255,115
1.1333,0.0333,2,3.391,22.94,3.391,8.8642,2.0398,2.0357,2.0345,0.9405,-0.3779,2.89E-03,2.18E+00,2.3053,239,163,16,255,115
601.1333,600.0333,3,3.391,22.95,3.391,8.8651,2.0396,2.0347,2.035,0.9405,-0.3777,3.08E-03,2.18E+00,2.3058,242,164,13,255,113
1201.1333,1200.0333,4,3.344,22.94,3.344,8.7687,2.0391,2.037,2.0356,0.9407,-0.3781,3.04E-03,2.18E+00,2.3153,243,171,12,255,112
1801.1333,1800.0333,5,3.339,22.88,3.339,8.7608,2.0389,2.041,2.0356,0.9406,-0.3789,3.62E-03,2.18E+00,2.3137,240,170,15,255,114
2401.1333,2400.0333,6,3.398,22.67,3.398,8.8777,2.0391,2.0388,2.0352,0.9397,-0.3817,3.12E-03,2.18E+00,2.3081,241,167,14,255,113
3001.1333,3000.0333,7,3.388,22.86,3.388,8.8563,2.0385,2.0388,2.036,0.9406,-0.3793,2.94E-03,2.18E+00,2.3208,242,165,13,255,113
3601.1333,3600.0333,8,3.346,22.86,3.346,8.7708,2.0386,2.0408,2.0356,0.9406,-0.3793,2.84E-03,2.18E+00,2.316,240,168,15,255,114
4201.1333,4200.0333,9,3.301,22.79,3.301,8.6828,2.0392,2.0386,2.035,0.9401,-0.38,3.27E-03,2.18E+00,2.3105,238,161,17,255,115
4801.1333,4800.0333,10,3.328,22,3.328,8.7374,2.0393,2.0366,2.0355,0.9372,-0.3914,3.00E-03,2.17E+00,2.3288,242,164,13,255,113
5401.1333,5400.0333,11,3.481,22.16,3.481,9.0484,2.0398,2.0356,2.037,0.9384,-0.3895,2.85E-03,2.18E+00,2.3337,240,165,15,255,114
6001.1333,6000.0333,12,3.326,21.68,3.326,8.7349,2.045,2.0339,2.0327,0.9349,-0.3952,3.06E-03,2.18E+00,2.3368,238,163,17,255,115
6601.1333,6600.0333,13,3.306,21.74,3.306,8.6954,2.045,2.0301,2.0328,0.9353,-0.3944,3.21E-03,2.18E+00,2.3385,237,176,18,255,116
7201.1333,7200.0333,14,3.446,22.27,3.446,8.9487,2.0539,2.0443,2.0533,0.9449,-0.3929,3.18E-03,2.20E+00,2.36E+00,237,174,18,255,116
7801.1333,7800.0333,15,3.495,22.45,3.495,9.0477,2.0543,2.0404,2.053,0.9456,-0.3903,2.83E-03,2.20E+00,2.36E+00,237,170,18,255,116
8401.1333,8400.0333,16,3.502,22.28,3.502,9.0604,2.0541,2.0368,2.0537,0.9452,-0.393,2.77E-03,2.21E+00,2.36E+00,237,173,18,255,116
9001.1333,9000.0333,17,3.504,22.25,3.504,9.0649,2.054,2.0378,2.0535,0.945,-0.3934,3.03E-03,2.20E+00,2.37E+00,237,169,18,255,116
