Run,Graph,Index           Y_Axis          Y2_Axis,Data            Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data
Secs,Secs,Dist,Dist            IFT,PndVol,PndArea,TipWdth,WetTipW,Diam,LYb,LYBeta,LYErr,ApexX,ApexY,Contrst,Sharp,Black,White,Edge
1.1,0,1               2.0432,2.0432          24.17,3.575,9.1783,2.0495,2.023,2.0745,0.9579,-0.3805,3.38E-03,2.2207,2.3457,248,171,7,255,109
1.1333,0.0333,2,24.53,3.56,9.1497,2.0486,2.0316,2.0737,0.9591,-0.3759,2.79E-03,2.2208,2.3492,248,165,7,255,109
601.1333,600.0333,3,24.52,3.56,9.1486,2.0497,2.0059,2.0739,0.959,-0.3759,3.02E-03,2.2229,2.3495,247,172,8,255,110
1201.1333,1200.0333,4,24.43,3.59,9.2088,2.0486,2.0059,2.0741,0.9588,-0.3772,2.96E-03,2.2194,2.3584,249,167,6,255,109
1801.1333,1800.0333,5,24.33,3.584,9.1982,2.0487,2.023,2.0739,0.9585,-0.3784,3.62E-03,2.2194,2.357,249,170,6,255,109
2401.1333,2400.0333,6,24.31,3.563,9.1568,2.049,2.023,2.0737,0.9583,-0.3787,2.99E-03,2.2204,2.3506,249,165,6,255,109
3001.1333,3000.0333,7,24.27,3.578,9.1842,2.0488,2.0316,2.0739,0.9582,-0.3792,2.96E-03,2.221,2.3639,249,169,6,255,109
3601.1333,3600.0333,8,24.42,3.562,9.1514,2.049,2.0316,2.0736,0.9587,-0.3773,2.73E-03,2.221,2.3586,249,168,6,255,109
4201.1333,4200.0333,9,24.53,3.545,9.1204,2.0487,2.0316,2.0736,0.959,-0.3758,3.07E-03,2.2235,2.3532,248,169,7,255,109
4801.1333,4800.0333,10,23.16,3.602,9.233,2.0501,2.0316,2.0742,0.9553,-0.3904,2.96E-03,2.2149,2.3731,248,171,7,255,109
5401.1333,5400.0333,11,23.26,3.627,9.28,2.0509,2.0316,2.0762,0.9563,-0.3901,2.93E-03,2.2216,2.3786,249,166,6,255,109
6001.1333,6000.0333,12,23.11,3.63,9.2811,2.0507,2.023,2.0771,0.9561,-0.3925,2.88E-03,2.2239,2.3874,249,170,6,255,109
6601.1333,6600.0333,13,23.17,3.636,9.2943,2.0522,2.0144,2.0772,0.9565,-0.3917,3.11E-03,2.2241,2.389,249,172,6,255,109
7201.1333,7200.0333,14,23.27,3.623,9.2671,2.0515,2.0316,2.0776,0.9569,-0.3903,3.02E-03,2.2256,2.3846,249,170,6,255,109
7801.1333,7800.0333,15,23.35,3.62,9.2615,2.0521,2.0144,2.0776,0.9573,-0.3894,2.73E-03,2.2283,2.3917,247,166,8,255,110
8401.1333,8400.0333,16,23.21,3.626,9.2735,2.0513,2.0316,2.0782,0.9569,-0.3914,2.76E-03,2.2314,2.3853,247,171,8,255,110
9001.1333,9000.0333,17,23.22,3.628,9.277,2.0531,2.0316,2.078,0.9569,-0.3911,2.94E-03,2.2307,2.3946,251,170,4,255,108
9601.1333,9600.0333,18,23.12,3.615,9.2507,2.052,2.0316,2.0782,0.9565,-0.3927,3.13E-03,2.2325,2.3906,249,170,6,255,109
10201.1333,10200.0333,19,22.98,3.633,9.2875,2.0522,2.0316,2.0778,0.956,-0.3945,3.24E-03,2.2332,2.3969,248,168,7,255,109
10801.1333,10800.0333,20,23.21,3.622,9.2632,2.0528,2.0316,2.0777,0.957,-0.3913,2.99E-03,2.2333,2.3921,249,170,6,255,109
11401.1333,11400.0333,21,22.99,3.631,9.2832,2.0524,2.0316,2.0779,0.9561,-0.3945,3.38E-03,2.2343,2.3955,247,170,8,255,110
12001.1333,12000.0333,22,23.14,3.636,9.292,2.0535,2.0316,2.0781,0.9568,-0.3925,3.00E-03,2.2322,2.3968,249,173,6,255,109
12601.1333,12600.0333,23,23.36,3.632,9.2863,2.0528,2.0316,2.0781,0.9575,-0.3893,2.71E-03,2.2379,2.4037,249,167,6,255,109
13201.1333,13200.0333,24,23.36,3.636,9.2905,2.0525,2.0316,2.0783,0.9576,-0.3894,2.75E-03,2.2338,2.4044,251,169,4,255,108
13801.1333,13800.0333,25,23.19,3.631,9.2818,2.0547,2.0316,2.0785,0.9571,-0.3918,2.79E-03,2.2376,2.403,251,169,4,255,108
14401.1333,14400.0333,26,23.26,3.641,9.3012,2.0605,2.0316,2.0783,0.9573,-0.3908,2.94E-03,2.2365,2.406,248,168,7,255,109
15001.1333,15000.0333,27,23.37,3.652,9.3249,2.0527,2.0316,2.0783,0.9577,-0.3893,2.86E-03,2.2345,2.4094,249,168,6,255,109
15601.1333,15600.0333,28,23.18,3.634,9.2886,2.0527,2.0316,2.0779,0.9569,-0.3918,3.21E-03,2.2357,2.4049,250,169,5,255,108
16201.1333,16200.0333,29,23.21,3.639,9.2979,2.0557,2.023,2.0786,0.9571,-0.3916,2.95E-03,2.235,2.4143,249,169,6,255,109
16801.1333,16800.0333,30,23.03,3.64,9.3002,2.0535,2.0316,2.0783,0.9565,-0.3941,3.10E-03,2.2379,2.4064,249,169,6,255,109
17401.1333,17400.0333,31,23.29,3.612,9.2446,2.0536,2.0316,2.0785,0.9574,-0.3905,2.98E-03,2.2365,2.4142,249,167,6,255,109
18001.1333,18000.0333,32,23.24,3.621,9.2614,2.0527,2.0316,2.0788,0.9573,-0.3912,2.96E-03,2.2399,2.4084,247,169,8,255,110
18601.1333,18600.0333,33,23.34,3.635,9.2905,2.0548,2.0402,2.078,0.9576,-0.3897,2.82E-03,2.2358,2.4213,249,172,6,255,109
19201.1333,19200.0333,34,23.26,3.618,9.2556,2.055,2.0402,2.0785,0.9574,-0.3909,2.73E-03,2.2399,2.416,248,169,7,255,109
19801.1333,19800.0333,35,23.14,3.626,9.273,2.0525,2.0402,2.0785,0.9569,-0.3925,3.09E-03,2.2372,2.4188,249,169,6,255,109
20401.1333,20400.0333,36,23.46,3.621,9.2625,2.0547,2.0402,2.0776,0.9577,-0.3878,2.30E-03,2.2425,2.4173,251,170,4,255,108
21001.1333,21000.0333,37,21.87,3.677,9.3706,2.0536,2.0402,2.0799,0.9536,-0.4071,2.90E-03,2.2411,2.4356,249,171,6,255,109
21601.1333,21600.0333,38,21.95,3.706,9.4244,2.055,2.0402,2.0809,0.9544,-0.4064,2.94E-03,2.2424,2.4431,248,171,7,255,109
22201.1333,22200.0333,39,21.92,3.71,9.4323,2.0556,2.0402,2.0808,0.9545,-0.407,2.98E-03,2.2417,2.4438,250,170,5,255,108
22801.1333,22800.0333,40,21.95,3.724,9.4608,2.0547,2.0402,2.0811,0.9545,-0.4065,2.88E-03,2.2452,2.4484,249,171,6,255,109
23401.1333,23400.0333,41,22.07,3.681,9.3744,2.055,2.0316,2.0817,0.9552,-0.4049,2.91E-03,2.2471,2.4515,247,166,8,255,110
24001.1333,24000.0333,42,21.96,3.683,9.3774,2.0545,2.0316,2.082,0.9548,-0.4066,2.94E-03,2.2487,2.4523,249,171,6,255,109
24601.1333,24600.0333,43,21.87,3.697,9.4047,2.0551,2.0316,2.0818,0.9544,-0.4079,3.36E-03,2.2504,2.4569,248,170,7,255,109
25201.1333,25200.0333,44,22.09,3.706,9.4227,2.0551,2.0316,2.082,0.9555,-0.4048,2.84E-03,2.2507,2.4586,248,170,7,255,109
