Run,Graph,Index,Y_Axis          Y2_Axis,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data            Data
Secs,Secs,,PndVol,IFT,PndVol,PndArea,TipWdth,WetTipW,Diam,LYb,LYBeta,LYErr,ApexX,ApexY,Contrst,Sharp,Black,White,Edge            Dist
1.1,0,1,3.663,16.65,3.663,9.4066,2.0606,2.0558,2.033,0.9093,-0.4868,3.55E-03,2.24E+00,2.7501,235,175,20,255,117
1.1333,0.0333,2,3.704,16.65,3.704,9.4872,2.0606,2.0582,2.0333,0.9094,-0.4867,3.56E-03,2.24E+00,2.7467,235,170,20,255,117
601.1333,600.0333,3,3.7,16.57,3.7,9.4796,2.0605,2.0591,2.0335,0.9089,-0.4885,3.67E-03,2.24E+00,2.7623,235,170,20,255,117
1201.1333,1200.0333,4,3.66,16.63,3.66,9.3978,2.06,2.0555,2.0336,0.9094,-0.4873,3.65E-03,2.24E+00,2.7659,235,172,20,255,117
1801.1333,1800.0333,5,3.758,16.63,3.758,9.601,2.061,2.0563,2.0331,0.9093,-0.4873,3.83E-03,2.25E+00,2.7633,236,176,19,255,116
2401.1333,2400.0333,6,3.811,16.53,3.811,9.714,2.0608,2.059,2.0333,0.9087,-0.4897,4.00E-03,2.24E+00,2.7721,234,169,21,255,118
3001.1333,3000.0333,7,3.654,16.63,3.654,9.3869,2.0612,2.0587,2.033,0.9092,-0.487,3.43E-03,2.24E+00,2.7719,235,172,20,255,117
3601.1333,3600.0333,8,3.754,16.57,3.754,9.5921,2.0608,2.0551,2.0331,0.9089,-0.4887,3.62E-03,2.24E+00,2.771,233,177,22,255,118
4201.1333,4200.0333,9,3.681,16.77,3.681,9.44,2.0602,2.0596,2.034,0.9104,-0.4844,3.53E-03,2.24E+00,2.7806,234,173,21,255,118
4801.1333,4800.0333,10,3.695,16.62,3.695,9.4682,2.0608,2.0563,2.0333,0.9091,-0.4874,3.64E-03,2.24E+00,2.7772,235,177,20,255,117
5401.1333,5400.0333,11,3.678,16.64,3.678,9.438,2.0615,2.0608,2.0327,0.9091,-0.4867,3.76E-03,2.24E+00,2.7807,235,171,20,255,117
6001.1333,6000.0333,12,3.784,16.57,3.784,9.6578,2.0606,2.0595,2.0337,0.909,-0.4887,3.68E-03,2.24E+00,2.7887,235,171,20,255,117
6601.1333,6600.0333,13,3.7,16.56,3.7,9.4787,2.0603,2.0595,2.0342,0.909,-0.4888,4.03E-03,2.25E+00,2.7871,236,175,19,255,116
7201.1333,7200.0333,14,3.686,16.66,3.686,9.4508,2.0605,2.0569,2.034,0.9096,-0.4865,3.62E-03,2.24E+00,2.7909,235,172,20,255,117
7801.1333,7800.0333,15,3.694,16.64,3.694,9.4674,2.0611,2.0593,2.0333,0.9093,-0.4869,3.39E-03,2.24E+00,2.7845,237,174,18,255,116
8401.1333,8400.0333,16,3.663,16.66,3.663,9.4044,2.0602,2.0577,2.034,0.9096,-0.4867,3.95E-03,2.24E+00,2.7917,235,167,20,255,117
9001.1333,9000.0333,17,3.658,16.66,3.658,9.3955,2.0606,2.0561,2.0334,0.9096,-0.4866,3.46E-03,2.24E+00,2.7897,235,172,20,255,117
9601.1333,9600.0333,18,3.64,16.62,3.64,9.3578,2.0597,2.0583,2.0343,0.9095,-0.4878,3.75E-03,2.25E+00,2.8009,236,170,19,255,116
10201.1333,10200.0333,19,3.687,16.73,3.687,9.4531,2.0602,2.0566,2.034,0.9101,-0.4852,3.45E-03,2.24E+00,2.7988,235,170,20,255,117
10801.1333,10800.0333,20,3.669,13.99,3.669,9.426,2.0647,2.0522,2.0293,0.9052,-0.4938,4.39E-03,2.24E+00,2.7986,234,171,21,255,118
11401.1333,11400.0333,21,3.701,16.53,3.701,9.4808,2.06,2.0599,2.0339,0.9088,-0.4896,4.26E-03,2.25E+00,2.8042,237,175,18,255,116
12001.1333,12000.0333,22,3.682,16.67,3.682,9.4428,2.0602,2.0591,2.0339,0.9098,-0.4865,3.39E-03,2.24E+00,2.7972,237,170,18,255,116
12601.1333,12600.0333,23,3.681,16.62,3.681,9.4412,2.0597,2.0612,2.0345,0.9095,-0.4879,3.59E-03,2.25E+00,2.8057,235,178,20,255,117
13201.1333,13200.0333,24,3.794,15.47,3.794,9.6751,2.0605,2.063,2.0299,0.8996,-0.5127,4.52E-03,2.24E+00,2.8333,235,171,20,255,117
13801.1333,13800.0333,25,3.788,15.46,3.788,9.6572,2.0609,2.061,2.0315,0.9,-0.5134,3.70E-03,2.25E+00,2.8547,235,170,20,255,117
14401.1333,14400.0333,26,3.761,15.43,3.761,9.6052,2.0621,2.0607,2.0309,0.8996,-0.5139,3.54E-03,2.25E+00,2.8544,237,175,18,255,116
15001.1333,15000.0333,27,3.897,15.36,3.897,9.8882,2.0617,2.0623,2.0314,0.8992,-0.516,3.95E-03,2.25E+00,2.8638,235,172,20,255,117
15601.1333,15600.0333,28,3.763,15.38,3.763,9.6161,2.0672,2.0515,2.0261,0.8976,-0.5133,3.56E-03,2.25E+00,2.8647,235,175,20,255,117
16201.1333,16200.0333,29,3.734,15.3,3.734,9.5603,2.0679,2.0597,2.0258,0.8967,-0.5152,3.80E-03,2.25E+00,2.8644,239,174,16,255,115
16801.1333,16800.0333,30,3.711,15.33,3.711,9.5142,2.0681,2.0597,2.0258,0.897,-0.5144,3.71E-03,2.25E+00,2.865,237,169,18,255,116
17401.1333,17400.0333,31,3.732,15.36,3.732,9.5522,2.0667,2.0507,2.0267,0.8978,-0.5141,3.47E-03,2.25E+00,2.8707,235,173,20,255,117
18001.1333,18000.0333,32,3.717,15.35,3.717,9.5248,2.0674,2.0526,2.0262,0.8974,-0.5141,3.58E-03,2.25E+00,2.8747,235,172,20,255,117
18601.1333,18600.0333,33,3.712,15.32,3.712,9.5135,2.0675,2.0562,2.026,0.8971,-0.5148,3.78E-03,2.25E+00,2.8819,236,177,19,255,116
19201.1333,19200.0333,34,3.768,15.32,3.768,9.6277,2.0684,2.0623,2.0251,0.8969,-0.5145,3.59E-03,2.25E+00,2.8749,237,174,18,255,116
19801.1333,19800.0333,35,3.749,15.37,3.749,9.5874,2.0673,2.055,2.0264,0.8976,-0.5137,3.49E-03,2.25E+00,2.8847,235,170,20,255,117
20401.1333,20400.0333,36,3.711,15.49,3.711,9.5131,2.0675,2.0583,2.026,0.8985,-0.5106,3.49E-03,2.25E+00,2.8812,237,173,18,255,116
21001.1333,21000.0333,37,3.692,15.32,3.692,9.4741,2.0673,2.0549,2.0262,0.8971,-0.5149,4.17E-03,2.25E+00,2.8835,235,183,20,255,117
21601.1333,21600.0333,38,3.743,15.3,3.743,9.5791,2.0681,2.0602,2.0257,0.8967,-0.5151,4.24E-03,2.25E+00,2.8839,237,172,18,255,116
22201.1333,22200.0333,39,3.724,15.36,3.724,9.5404,2.0679,2.0606,2.0257,0.8973,-0.5136,3.59E-03,2.25E+00,2.8938,237,174,18,255,116
22801.1333,22800.0333,40,3.714,15.31,3.714,9.5182,2.0674,2.06,2.0265,0.897,-0.5152,3.91E-03,2.25E+00,2.8908,236,173,19,255,116
23401.1333,23400.0333,41,3.757,15.36,3.757,9.6025,2.067,2.0546,2.0269,0.8977,-0.514,3.51E-03,2.25E+00,2.8956,235,172,20,255,117
24001.1333,24000.0333,42,3.81,15.34,3.81,9.7139,2.0675,2.0578,2.0261,0.8973,-0.5145,3.61E-03,2.25E+00,2.8964,235,171,20,255,117
24601.1333,24600.0333,43,3.762,15.36,3.762,9.6168,2.0683,2.0571,2.0255,0.8972,-0.5137,3.59E-03,2.25E+00,2.8977,235,171,20,255,117
25201.1333,25200.0333,44,3.711,15.31,3.711,9.5112,2.0675,2.0591,2.026,0.8971,-0.515,3.75E-03,2.25E+00,2.898,235,175,20,255,117
25801.1333,25800.0333,45,3.8,15.33,3.8,9.6936,2.0675,2.0549,2.0257,0.8972,-0.5145,3.55E-03,2.25E+00,2.9014,236,184,19,255,116
26401.1333,26400.0333,46,3.717,15.38,3.717,9.5255,2.0682,2.0606,2.0259,0.8975,-0.5132,3.55E-03,2.25E+00,2.8911,236,172,19,255,116
27001.1333,27000.0333,47,3.729,15.37,3.729,9.5464,2.0671,2.0566,2.027,0.8977,-0.5139,3.46E-03,2.25E+00,2.9028,236,172,19,255,116
27601.1333,27600.0333,48,3.722,15.37,3.722,9.5329,2.0675,2.0545,2.0266,0.8976,-0.5138,3.61E-03,2.25E+00,2.9007,235,178,20,255,117
28201.1333,28200.0333,49,3.76,15.37,3.76,9.6119,2.0677,2.0573,2.0252,0.8973,-0.5135,2.98E-03,2.25E+00,2.9057,241,172,14,255,113
28801.1333,28800.0333,50,3.858,14.07,3.858,9.8162,2.0685,2.0568,2.0191,0.8839,-0.5441,3.65E-03,2.25E+00,2.9488,239,178,16,255,115
29401.1333,29400.0333,51,3.828,14.09,3.828,9.7554,2.0694,2.065,2.0196,0.8842,-0.5437,3.61E-03,2.26E+00,2.9633,235,173,20,255,117
30001.1333,30000.0333,52,3.809,14.03,3.809,9.7177,2.0697,2.0666,2.0202,0.8837,-0.5453,3.95E-03,2.25E+00,2.9657,237,174,18,255,116
30601.1333,30600.0333,53,3.933,14.02,3.933,9.9715,2.0694,2.0663,2.0199,0.8837,-0.5459,4.03E-03,2.26E+00,2.9718,237,177,18,255,116
31201.1333,31200.0333,54,3.823,14.12,3.823,9.7436,2.069,2.065,2.0202,0.8847,-0.5433,3.63E-03,2.26E+00,2.9774,235,171,20,255,117
31801.1333,31800.0333,55,3.816,14.08,3.816,9.73,2.0684,2.062,2.0211,0.8845,-0.5446,3.74E-03,2.26E+00,2.9836,236,178,19,255,116
32401.1333,32400.0333,56,3.844,13.97,3.844,9.7908,2.0708,2.0511,2.0185,0.8827,-0.5466,3.72E-03,2.26E+00,2.9843,237,175,18,255,116
33001.1333,33000.0333,57,3.832,14.05,3.832,9.7609,2.0685,2.0443,2.0208,0.8842,-0.5452,3.72E-03,2.26E+00,2.9891,237,181,18,255,116
33601.1333,33600.0333,58,3.609,13.97,3.609,9.3191,2.071,2.0599,2.0182,0.8829,-0.5469,4.11E-03,2.26E+00,2.9925,235,181,20,255,117
34201.1333,34200.0333,59,3.745,14.06,3.745,9.5886,2.0708,2.0527,2.0189,0.8837,-0.5442,3.74E-03,2.26E+00,2.9941,235,175,20,255,117
34801.1333,34800.0333,60,3.698,14.04,3.698,9.4952,2.1054,2.0899,2.0195,0.8837,-0.5452,3.89E-03,2.26E+00,2.9958,237,171,18,255,116
35401.1333,35400.0333,61,3.828,14.11,3.828,9.7583,2.0722,2.0623,2.0177,0.8838,-0.5426,3.52E-03,2.26E+00,2.9959,237,174,18,255,116
36001.1333,36000.0333,62,3.82,14.24,3.82,9.7404,2.0702,2.0549,2.0197,0.8856,-0.5397,3.93E-03,2.26E+00,3.0017,237,175,18,255,116
36601.1333,36600.0333,63,3.784,14.11,3.784,9.6703,2.0719,2.0587,2.0177,0.8837,-0.5426,3.54E-03,2.26E+00,2.9987,237,173,18,255,116
37201.1333,37200.0333,64,3.909,11.92,3.909,9.9266,2.0716,2.0621,2.018,0.8813,-0.5493,4.42E-03,2.26E+00,3.009,235,170,20,255,117
37801.1333,37800.0333,65,3.907,14.04,3.907,9.9196,2.0713,2.0627,2.0184,0.8834,-0.5447,3.62E-03,2.26E+00,3.0046,237,168,18,255,116
38401.1333,38400.0333,66,3.806,14.07,3.806,9.7145,2.0721,2.0643,2.0182,0.8834,-0.5437,3.76E-03,2.26E+00,3.0059,235,172,20,255,117
39001.1333,39000.0333,67,3.866,14.06,3.866,9.8357,2.0703,2.0634,2.0194,0.8838,-0.5446,3.66E-03,2.26E+00,3.0086,238,172,17,255,115
39601.1333,39600.0333,68,3.795,14.07,3.795,9.6911,2.071,2.0599,2.0188,0.8837,-0.5441,3.72E-03,2.26E+00,3.0103,237,172,18,255,116
40201.1333,40200.0333,69,3.83,14.09,3.83,9.7622,2.0712,2.0643,2.0188,0.8839,-0.5434,3.66E-03,2.26E+00,3.0047,239,177,16,255,115
40801.1333,40800.0333,70,3.854,14.1,3.854,9.808,2.0709,2.0636,2.0188,0.8841,-0.5432,3.40E-03,2.26E+00,3.012,237,167,18,255,116
41401.1333,41400.0333,71,3.765,14.24,3.765,9.6307,2.0711,2.0588,2.0189,0.8853,-0.5396,3.71E-03,2.26E+00,3.0087,237,168,18,255,116
42001.1333,42000.0333,72,3.894,14.01,3.894,9.892,2.0706,2.062,2.0198,0.8834,-0.5457,4.13E-03,2.26E+00,3.0176,235,176,20,255,117
42601.1333,42600.0333,73,3.747,14.06,3.747,9.5927,2.0703,2.0542,2.0199,0.884,-0.5445,3.69E-03,2.26E+00,3.0107,237,175,18,255,116
43201.1333,43200.0333,74,3.846,14.09,3.846,9.7935,2.0707,2.0611,2.019,0.8841,-0.5435,3.56E-03,2.26E+00,3.0179,239,174,16,255,115
43801.1333,43800.0333,75,3.857,14.09,3.857,9.8171,2.0714,2.0643,2.0186,0.8838,-0.5433,3.44E-03,2.26E+00,3.0135,237,171,18,255,116
44401.1333,44400.0333,76,3.865,13.37,3.865,9.8423,2.071,2.0587,2.0131,0.8748,-0.5608,3.80E-03,2.26E+00,3.0428,237,176,18,255,116
45001.1333,45000.0333,77,4.024,12.68,4.024,10.18,2.0742,2.0688,2.0126,0.8646,-0.5779,3.71E-03,2.26E+00,3.0794,237,179,18,255,116
45601.1333,45600.0333,78,3.867,12.71,3.867,9.8538,2.0732,2.0618,2.0064,0.8655,-0.5774,3.55E-03,2.26E+00,3.0943,237,175,18,255,116
46201.1333,46200.0333,79,3.936,12.7,3.936,9.9935,2.0737,2.0683,2.0068,0.8651,-0.5777,3.75E-03,2.27E+00,3.092,238,168,17,255,115
46801.1333,46800.0333,80,3.924,12.73,3.924,9.9703,2.0733,2.063,2.007,0.8658,-0.5769,3.32E-03,2.26E+00,3.1036,237,174,18,255,116
47401.1333,47400.0333,81,3.93,12.66,3.93,9.9814,2.0739,2.0666,2.0067,0.8647,-0.5787,3.67E-03,2.27E+00,3.1068,239,171,16,255,115
48001.1333,48000.0333,82,3.883,12.7,3.883,9.884,2.0727,2.068,2.008,0.8655,-0.5783,3.79E-03,2.27E+00,3.1157,239,174,16,255,115
48601.1333,48600.0333,83,4.031,12.67,4.031,10.191,2.0733,2.0689,2.0124,0.8651,-0.5788,3.83E-03,2.27E+00,3.1137,237,169,18,255,116
49201.1333,49200.0333,84,4.031,12.66,4.031,10.192,2.0733,2.07,2.0162,0.8649,-0.5791,4.10E-03,2.27E+00,3.114,238,177,17,255,115
49801.1333,49800.0333,85,3.974,12.71,3.974,10.069,2.0729,2.0674,2.0079,0.8656,-0.5778,3.71E-03,2.27E+00,3.1201,237,169,18,255,116
50401.1333,50400.0333,86,3.841,12.68,3.841,9.8015,2.0735,2.0666,2.0065,0.8651,-0.5785,3.89E-03,2.27E+00,3.1192,242,178,13,255,113
51001.1333,51000.0333,87,3.948,12.7,3.948,10.018,2.0727,2.0681,2.0082,0.8656,-0.578,3.68E-03,2.27E+00,3.1288,239,167,16,255,115
51601.1333,51600.0333,88,3.943,12.71,3.943,10.005,2.0724,2.0666,2.0079,0.8657,-0.5778,3.81E-03,2.27E+00,3.1271,237,172,18,255,116
52201.1333,52200.0333,89,3.903,12.72,3.903,9.9259,2.0731,2.068,2.007,0.8657,-0.5775,3.54E-03,2.27E+00,3.1304,237,173,18,255,116
52801.1333,52800.0333,90,3.922,12.7,3.922,9.9645,2.0731,2.0669,2.007,0.8654,-0.5779,3.82E-03,2.27E+00,3.1285,241,176,14,255,113
