Run,Graph,Index,Y_Axis          Y2_Axis,Data            Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data
Secs,Secs,,PndVol,IFT,PndVol,PndArea,TipWdth,WetTipW,Diam,LYb,LYBeta,LYErr,ApexX,ApexY,Contrst,Sharp,Black,White,Edge
1.1,0,1,4.521,28.1,4.521,10.959,2.0622,2.06E+00,2.14E+00,0.9982,-0.3474,2.88E-03,2.0745,2.2215,251,171,4,255,108
1.1333,0.0333,2,4.5,28.29,4.5,10.92,2.0633,2.0465,2.14E+00,0.9984,-0.3452,2.65E-03,2.0728,2.216,247,165,8,255,110
601.1333,600.0333,3,4.473,28.04,4.473,10.865,2.0631,2.0481,2.14E+00,0.9976,-0.3479,2.99E-03,2.0771,2.2159,248,165,7,255,109
1201.1333,1200.0333,4,4.504,28.11,4.504,10.93,2.0639,2.05,2.14E+00,0.9975,-0.3468,3.10E-03,2.0719,2.2188,247,165,8,255,110
1801.1333,1800.0333,5,4.461,28.01,4.461,10.838,2.0361,2.0287,2.14E+00,0.9978,-0.3484,2.52E-03,2.0759,2.2193,251,172,4,255,108
2401.1333,2400.0333,6,4.538,27.78,4.538,10.998,2.0364,2.0298,2.14E+00,0.9966,-0.3503,2.78E-03,2.0784,2.2211,249,171,6,255,109
3001.1333,3000.0333,7,4.529,27.95,4.529,10.981,2.0365,2.0294,2.14E+00,0.997,-0.3484,2.69E-03,2.0777,2.2185,251,172,4,255,108
3601.1333,3600.0333,8,4.403,28.02,4.403,10.724,2.0363,2.0304,2.14E+00,0.9973,-0.3478,2.41E-03,2.0773,2.2201,249,170,6,255,109
4201.1333,4200.0333,9,4.485,27.86,4.485,10.895,2.0639,2.0493,2.14E+00,0.9962,-0.3491,2.79E-03,2.0771,2.2135,251,172,4,255,108
4801.1333,4800.0333,10,4.512,27.8,4.512,10.953,2.0652,2.0562,2.14E+00,0.9955,-0.3494,2.77E-03,2.0733,2.2151,249,173,6,255,109
5401.1333,5400.0333,11,4.502,28.21,4.502,10.932,2.0649,2.0557,2.14E+00,0.997,-0.3452,3.59E-03,2.0756,2.2183,250,172,5,255,108
6001.1333,6000.0333,12,4.456,28,4.456,10.836,2.0638,2.0483,2.14E+00,0.9968,-0.3478,3.16E-03,2.0786,2.2208,251,172,4,255,108
6601.1333,6600.0333,13,4.422,27.68,4.422,10.747,2.0572,2.0455,2.15E+00,0.9986,-0.3531,3.12E-03,2.0822,2.2297,251,174,4,255,108
7201.1333,7200.0333,14,4.456,27.92,4.456,10.835,2.0642,2.0542,2.14E+00,0.9965,-0.3485,2.42E-03,2.0767,2.2209,251,170,4,255,108
7801.1333,7800.0333,15,4.448,27.76,4.448,10.816,2.0363,2.031,2.14E+00,0.9966,-0.3506,3.71E-03,2.0786,2.2254,251,176,4,255,108
8401.1333,8400.0333,16,4.541,27.97,4.541,11.005,2.0366,2.0319,2.14E+00,0.9971,-0.3484,2.41E-03,2.0801,2.2215,251,173,4,255,108
9001.1333,9000.0333,17,4.542,28,4.542,11.006,2.0369,2.0319,2.14E+00,0.9971,-0.348,2.57E-03,2.0778,2.2218,251,173,4,255,108
9601.1333,9600.0333,18,4.412,27.57,4.412,10.745,2.064,2.0505,2.14E+00,0.9957,-0.3523,3.51E-03,2.0776,2.2243,251,172,4,255,108
