Run,Graph,Index,Y_Axis          Y2_Axis,Data,Data,Data,Data,Data,Data,Data,Data,Data
Secs,Secs,,PndVol,PndVol,PndArea,TipWdth,WetTipW,Contrst,Sharp,Black,White,Edge
1.1,0,1,4.647,4.647,11.14,2.05,2.0327,255,172,0,255,105
1.1333,0.0333,2,4.697,4.697,11.225,2.056,2.0294,255,170,0,255,105
601.1333,600.0333,3,4.667,4.667,11.165,2.0551,2.0379,255,170,0,255,105
1201.1333,1200.0333,4,4.678,4.678,11.187,2.0565,2.0379,255,171,0,255,105
1801.1333,1800.0333,5,4.679,4.679,11.188,2.0569,2.0379,255,173,0,255,105
2401.1333,2400.0333,6,4.678,4.678,11.19,2.056,2.0379,255,173,0,255,105
3001.1333,3000.0333,7,4.669,4.669,11.172,2.0564,2.0379,255,172,0,255,105
3601.1333,3600.0333,8,4.676,4.676,11.186,2.0574,2.0379,255,172,0,255,105
4201.1333,4200.0333,9,4.657,4.657,11.149,2.0568,2.0379,255,171,0,255,105
4801.1333,4800.0333,10,4.667,4.667,11.168,2.0558,2.0379,255,174,0,255,105
5401.1333,5400.0333,11,4.681,4.681,11.198,2.0563,2.0379,255,172,0,255,105
6001.1333,6000.0333,12,4.683,4.683,11.2,2.0574,2.0379,255,174,0,255,105
6601.1333,6600.0333,13,4.687,4.687,11.208,2.0563,2.0379,255,173,0,255,105
7201.1333,7200.0333,14,4.685,4.685,11.203,2.0574,2.0379,255,174,0,255,105
7801.1333,7800.0333,15,4.695,4.695,11.224,2.0561,2.0379,255,175,0,255,105
8401.1333,8400.0333,16,4.683,4.683,11.199,2.0568,2.0294,255,174,0,255,105
9001.1333,9000.0333,17,4.685,4.685,11.203,2.0573,2.0379,255,176,0,255,105
9601.1333,9600.0333,18,4.694,4.694,11.221,2.0566,2.0379,255,176,0,255,105
10201.1333,10200.0333,19,4.695,4.695,11.222,2.0578,2.0379,255,176,0,255,105
10801.1333,10800.0333,20,4.696,4.696,11.224,2.0577,2.0379,255,176,0,255,105
11401.1333,11400.0333,21,4.701,4.701,11.234,2.0576,2.0379,255,176,0,255,105
12001.1333,12000.0333,22,4.71,4.71,11.252,2.0569,2.0379,255,178,0,255,105
12601.1333,12600.0333,23,4.684,4.684,11.2,2.0576,2.0379,255,176,0,255,105
13201.1333,13200.0333,24,4.691,4.691,11.214,2.0572,2.0379,255,177,0,255,105
13801.1333,13800.0333,25,4.717,4.717,11.264,2.0576,2.0379,255,175,0,255,105
14401.1333,14400.0333,26,4.706,4.706,11.241,2.0581,2.0379,255,175,0,255,105
15001.1333,15000.0333,27,4.702,4.702,11.235,2.0574,2.0379,255,176,0,255,105
15601.1333,15600.0333,28,4.709,4.709,11.248,2.0574,2.0379,255,177,0,255,105
16201.1333,16200.0333,29,4.723,4.723,11.275,2.0575,2.0379,255,176,0,255,105
16801.1333,16800.0333,30,4.714,4.714,11.257,2.0577,2.0379,255,174,0,255,105
17401.1333,17400.0333,31,4.694,4.694,11.216,2.0578,2.0379,255,176,0,255,105
18001.1333,18000.0333,32,4.696,4.696,11.22,2.0569,2.0379,255,179,0,255,105
18601.1333,18600.0333,33,4.705,4.705,11.24,2.0586,2.0379,255,175,0,255,105
19201.1333,19200.0333,34,4.71,4.71,11.249,2.0587,2.0379,255,176,0,255,105
19801.1333,19800.0333,35,4.708,4.708,11.243,2.0579,2.0379,255,177,0,255,105
20401.1333,20400.0333,36,4.717,4.717,11.26,2.0583,2.0379,255,175,0,255,105
21001.1333,21000.0333,37,4.723,4.723,11.271,2.0578,2.0379,255,177,0,255,105
21601.1333,21600.0333,38,4.726,4.726,11.278,2.0588,2.0379,255,175,0,255,105
22201.1333,22200.0333,39,4.724,4.724,11.274,2.0582,2.0379,255,177,0,255,105
22801.1333,22800.0333,40,4.725,4.725,11.278,2.0591,2.0379,255,177,0,255,105
23401.1333,23400.0333,41,4.733,4.733,11.292,2.0589,2.0379,255,176,0,255,105
24001.1333,24000.0333,42,4.739,4.739,11.304,2.0583,2.0379,255,176,0,255,105
24601.1333,24600.0333,43,4.707,4.707,11.24,2.0589,2.0379,255,176,0,255,105
25201.1333,25200.0333,44,4.724,4.724,11.273,2.0588,2.0379,255,178,0,255,105
25801.1333,25800.0333,45,4.737,4.737,11.3,2.0595,2.0379,255,178,0,255,105
26401.1333,26400.0333,46,4.724,4.724,11.273,2.0593,2.0379,255,177,0,255,105
27001.1333,27000.0333,47,4.734,4.734,11.293,2.0581,2.0379,255,176,0,255,105
27601.1333,27600.0333,48,4.731,4.731,11.286,2.0583,2.0379,255,178,0,255,105
