Time ADSA [s],Time Gravimetry [s],CO2 Density [g/mL],Sample Density [g/mL],Interfacial Tension [mN/m]
0,450,0.000243323,0.998793367,27.83
0.0333,450,0.000243323,0.998793367,27.86
600.0333,1050,3.18E-08,0.998793367,27.51
1200.0333,1650,0,0.998793367,27.86
1800.0333,2250,0,0.998793367,27.66
2400.0333,2850,0,0.998793367,27.74
3000.0333,3450,0,0.998793367,27.63
3600.0333,4050,0,0.998793367,31.31
4200.0333,4650,0,0.998793367,27.45
4800.0333,5250,0,0.998793367,27.33
5400.0333,5850,0,0.998793367,27.26
6000.0333,6450,0,0.998793367,27.23
6600.0333,7050,0,0.998793367,27.07
7200.0333,7650,0,0.998793367,27.19
7800.0333,8250,0,0.998793367,27.12
8400.0333,8850,0,0.998793367,27.39
9000.0333,9450,0,0.998793367,26.93
9600.0333,10050,0,0.998793367,26.81
10200.0333,10650,0,0.998793367,27.06
10800.0333,11250,0,0.998793367,26.67
11400.0333,11850,0,0.998793367,27.19
12000.0333,12450,0,0.998793367,26.86
12600.0333,13050,0,0.998793367,26.94
13200.0333,13650,0,0.998793367,27.25
13800.0333,14250,0,0.998793367,26.97
14400.0333,14850,0,0.998793367,26.71
15000.0333,15450,0,0.998793367,26.76
15600.0333,16050,0,0.998793367,27.06
16200.0333,16650,0,0.998793367,27.19
16800.0333,17250,0,0.998793367,26.99
17400.0333,17850,0,0.998793367,26.92
18000.0333,18450,0,0.998793367,26.9
18600.0333,19050,0,0.998793367,28.14
19200.0333,19650,0,0.998793367,27.15
19800.0333,20250,0,0.998793367,26.86
20400.0333,20850,0,0.998793367,26.76
21000.0333,21450,0,0.998793367,26.72
21600.0333,22050,0,0.998793367,27.11
22200.0333,22650,0,0.998793367,26.86
22800.0333,23250,0,0.998793367,26.55
23400.0333,23850,0,0.998793367,26.73
24000.0333,24450,0,0.998793367,26.91
24600.0333,25050,0,0.998793367,26.87
25200.0333,25650,0,0.998793367,27.11
25800.0333,26250,0,0.998793367,26.71
26400.0333,26850,0,0.998793367,26.84
27000.0333,27450,0,0.998793367,27.09
27600.0333,28050,0,0.998793367,27.28
28200.0333,28650,0,0.998793367,27.06
28800.0333,29250,0,0.998793367,26.81
29400.0333,29850,0,0.998793367,27.03
30000.0333,30450,0,0.998793367,27.24
30600.0333,31050,0,0.998793367,27.01
31200.0333,31650,0,0.998793367,26.98
31800.0333,32250,0,0.998793367,27.18
32400.0333,32850,0,0.998793367,27.25
33000.0333,33450,0,0.998793367,27.03
33600.0333,34050,0,0.998793367,26.94
34200.0333,34650,0,0.998793367,27.32
34800.0333,35250,0,0.998793367,27.18
35400.0333,35850,0,0.998793367,26.9
36000.0333,36450,0,0.998793367,26.89
36600.0333,37050,0,0.998793367,26.93
37200.0333,37650,0,0.998793367,27.13
37800.0333,38250,0,0.998793367,26.64
38400.0333,38850,0,0.998793367,27.05
39000.0333,39450,0,0.998793367,27
39600.0333,40050,0,0.998793367,28.11
40200.0333,40650,0,0.998793367,26.98
40800.0333,41250,0,0.998793367,26.78
41400.0333,41850,0,0.998793367,26.93
42000.0333,42450,0,0.998793367,27
42600.0333,43050,0,0.998793367,27.09
43200.0333,43650,0,0.998793367,27.53
43800.0333,44250,0,0.998793367,27.02
44400.0333,44850,0,0.998793367,27.02
45000.0333,45450,0,0.998793367,26.93
45600.0333,46050,0,0.998793367,26.68
46200.0333,46650,0,0.998793367,27.06
46800.0333,47250,0,0.998793367,27.19
47400.0333,47850,0,0.998793367,27.03
48000.0333,48450,0,0.998793367,27.1
48600.0333,49050,0,0.998793367,26.79
49200.0333,49650,0,0.998793367,27.01
49800.0333,50250,0,0.998793367,27.11
50400.0333,50850,0,0.998793367,26.93
51000.0333,51450,0,0.998793367,26.96
51600.0333,52050,0,0.998793367,26.96
52200.0333,52650,0,0.998793367,27.11
52800.0333,53250,0,0.998793367,26.76
53400.0333,53850,0,0.998793367,26.96
54000.0333,54450,0,0.998793367,26.7
54600.0333,55050,0,0.998793367,27.12
55200.0333,55650,0,0.998793367,26.95
55800.0333,56250,0,0.998793367,26.74
56400.0333,56850,0,0.998793367,26.95
57000.0333,57450,0,0.998793367,26.93
57600.0333,58050,0,0.998793367,26.83
58200.0333,58650,0,0.998793367,26.95
58800.0333,59250,0,0.998793367,27.12
59400.0333,59850,0,0.998793367,26.84
60000.0333,60450,0,0.998793367,27.02
60600.0333,61050,0,0.998793367,27
61200.0333,61650,0,0.998793367,26.98
61800.0333,62250,0,0.998793367,26.95
62400.0333,62850,0,0.998793367,26.83
63000.0333,63450,0,0.998793367,26.95
63600.0333,64050,0,0.998793367,26.99
64200.0333,64650,0,0.998793367,26.99
64800.0333,65250,0,0.998793367,26.98
65400.0333,65850,0,0.998793367,26.98
66000.0333,66450,0,0.998793367,27.13
66600.0333,67050,0,0.998793367,27.09
67200.0333,67650,0,0.998793367,26.96
67800.0333,68250,0,0.998793367,26.96
68400.0333,68850,0,0.998793367,26.73
69000.0333,69450,0,0.998793367,26.79
69600.0333,70050,0,0.998793367,26.88
70200.0333,70650,0,0.998793367,27.11
70800.0333,71250,0,0.998793367,26.63
71400.0333,71850,0,0.998793367,26.7
72000.0333,72450,0,0.998793367,26.66
72600.0333,73050,0,0.998793367,26.78
73200.0333,73650,0,0.998793367,27.02
73800.0333,74250,0,0.998793367,26.67
74400.0333,74850,0,0.998793367,26.84
75000.0333,75450,0,0.998793367,26.83
75600.0333,76050,0,0.998793367,26.54
76200.0333,76650,0,0.998793367,26.75
76800.0333,77250,0,0.998793367,26.68
77400.0333,77850,0,0.998793367,26.47
78000.0333,78450,0,0.998793367,26.7
78600.0333,79050,0,0.998793367,26.87
79200.0333,79650,0,0.998793367,26.76
79800.0333,80250,0,0.998793367,26.59
80400.0333,80850,0,0.998793367,26.63
81000.0333,81450,0,0.998793367,26.64
81600.0333,82050,0,0.998793367,26.58
82200.0333,82650,0,0.998793367,26.46
82800.0333,83250,0,0.998793367,26.7
83400.0333,83850,0,0.998793367,26.69
84000.0333,84450,0,0.998793367,26.55
84600.0333,85050,0,0.998793367,26.23
85200.0333,85650,0,0.998793367,26.59
85800.0333,86250,0,0.998793367,26.38
86400.0333,86850,0,0.998793367,26.47
87000.0333,87450,0,0.998793367,26.84
87600.0333,88050,0,0.998793367,26.26
88200.0333,88650,0,0.998793367,26.57
88800.0333,89250,0,0.998793367,26.51
89400.0333,89850,0,0.998793367,26.79
90000.0333,90450,0,0.998793367,26.54
90600.0333,91050,0,0.998793367,26.89
91200.0333,91650,0,0.998793367,26.86
91800.0333,92250,0,0.998793367,27.26
92400.0333,92850,0,0.998793367,27.09
93000.0333,93450,0,0.998793367,26.99
93600.0333,94050,0,0.998793367,26.86
94200.0333,94650,0,0.998793367,27.04
94800.0333,95250,0,0.998793367,26.77
95400.0333,95850,0,0.998793367,27
96000.0333,96450,0,0.998793367,26.67
96600.0333,97050,0,0.998793367,26.92
97200.0333,97650,0,0.998793367,26.77
97800.0333,98250,0,0.998793367,26.86
98400.0333,98850,0,0.998793367,27.04
99000.0333,99450,0,0.998793367,26.82
99600.0333,100050,0,0.998793367,26.97
100200.0333,100650,0,0.998793367,27.32
100800.0333,101250,0,0.998793367,26.89
101400.0333,101850,0,0.998793367,26.85
102000.0333,102450,0,0.998793367,26.89
102600.0333,103050,0,0.998793367,26.87
103200.0333,103650,0,0.998793367,26.77
103800.0333,104250,0,0.998793367,26.82
104400.0333,104850,0,0.998793367,26.98
105000.0333,105450,0,0.998793367,26.66
105600.0333,106050,0,0.998793367,26.77
106200.0333,106650,0,0.998793367,26.55
106800.0333,107250,0,0.998793367,27.08
107400.0333,107850,0,0.998793367,26.95
108000.0333,108450,0,0.998793367,26.89
108600.0333,109050,0,0.998793367,26.84
109200.0333,109650,0,0.998793367,28.65
109800.0333,110250,0,0.998793367,26.82
110400.0333,110850,0,0.998793367,26.69
111000.0333,111450,0,0.998793367,27.46
111600.0333,112050,0,0.998793367,26.72
112200.0333,112650,0,0.998793367,26.86
112800.0333,113250,0,0.998793367,26.54
113400.0333,113850,0,0.998793367,26.7
114000.0333,114450,0,0.998793367,26.83
114600.0333,115050,0,0.998793367,26.76
115200.0333,115650,0,0.998793367,26.81
115800.0333,116250,0,0.998793367,26.91
116400.0333,116850,0,0.998793367,26.63
117000.0333,117450,0,0.998793367,26.4
117600.0333,118050,0,0.998793367,26.63
118200.0333,118650,0,0.998793367,26.79
118800.0333,119250,0,0.998793367,26.64
119400.0333,119850,0,0.998793367,26.5
120000.0333,120450,0,0.998793367,26.55
120600.0333,121050,0,0.998793367,26.58
121200.0333,121650,0,0.998793367,26.67
121800.0333,122250,0,0.998793367,26.68
122400.0333,122850,0,0.998793367,26.84
123000.0333,123450,0,0.998793367,26.7
123600.0333,124050,0,0.998793367,26.75
124200.0333,124650,0,0.998793367,26.54
124800.0333,125250,0,0.998793367,26.69
125400.0333,125850,0,0.998793367,26.48
126000.0333,126450,0,0.998793367,26.2
126600.0333,127050,0,0.998793367,26.42
127200.0333,127650,0,0.998793367,26.65
127800.0333,128250,0,0.998793367,26.53
128400.0333,128850,0,0.998793367,28.06
129000.0333,129450,0,0.998793367,26.9
129600.0333,130050,0,0.998793367,26.6
130200.0333,130650,0,0.998793367,26.64
130800.0333,131250,0,0.998793367,26.65
131400.0333,131850,0,0.998793367,26.64
132000.0333,132450,0,0.998793367,26.63
132600.0333,133050,0,0.998793367,26.55
133200.0333,133650,0,0.998793367,26.77
133800.0333,134250,0,0.998793367,26.37
134400.0333,134850,0,0.998793367,26.49
135000.0333,135450,0,0.998793367,26.7
135600.0333,136050,0,0.998793367,26.73
136200.0333,136650,0,0.998793367,26.71
136800.0333,137250,0,0.998793367,26.59
137400.0333,137850,0,0.998793367,26.77
138000.0333,138450,0,0.998793367,26.8
138600.0333,139050,0,0.998793367,26.69
139200.0333,139650,0,0.998793367,26.71
139800.0333,140250,0,0.998793367,26.79
140400.0333,140850,0,0.998793367,29.49
141000.0333,141450,0,0.998793367,26.39
141600.0333,142050,0,0.998793367,26.77
142200.0333,142650,0,0.998793367,26.69
142800.0333,143250,0,0.998793367,26.43
143400.0333,143850,0,0.998793367,26.56
144000.0333,144450,0,0.998793367,26.63
144600.0333,145050,0,0.998793367,26.65
145200.0333,145650,0,0.998793367,26.41
145800.0333,146250,0,0.998793367,26.51
146400.0333,146850,0,0.998793367,26.62
147000.0333,147450,0,0.998793367,26.58
147600.0333,148050,0.000825487,1.0007743,26.31
148200.0333,148650,0.000825296,1.0007743,26.39
148800.0333,149250,0.000825152,1.0007743,26.4
149400.0333,149850,0.000825025,1.0007743,26.71
150000.0333,150450,0.000824897,1.0007743,26.29
150600.0333,151050,0.00082477,1.0007743,26.32
151200.0333,151650,0.000824706,1.0007743,26.8
151800.0333,152250,0.002459447,1.005338115,26.59
152400.0333,152850,0.00245601,1.005338115,26.59
153000.0333,153450,0.00245601,1.005338115,26.26
153600.0333,154050,0.002454308,1.005338115,26.41
154200.0333,154650,0.002454308,1.005338115,26.29
154800.0333,155250,0.002454308,1.005338115,26.46
155400.0333,155850,0.00245259,1.005338115,26.64
156000.0333,156450,0.00245259,1.005338115,26.35
156600.0333,157050,0.00245259,1.005338115,26.21
157200.0333,157650,0.00245259,1.005338115,26.3
157800.0333,158250,0.008151809,0.998730863,25.3
158400.0333,158850,0.00814478,0.998730863,25.58
159000.0333,159450,0.008139513,0.998730863,25.48
159600.0333,160050,0.008137751,0.998730863,25.71
160200.0333,160650,0.008134229,0.998730863,25.48
160800.0333,161250,0.008132468,0.998730863,25.66
161400.0333,161850,0.008130707,0.998730863,25.48
162000.0333,162450,0.008128962,0.998730863,25.43
162600.0333,163050,0.008127201,0.998730863,27.08
163200.0333,163650,0.008127201,0.998730863,25.73
163800.0333,164250,0.00812544,0.998730863,25.67
164400.0333,164850,0.00812544,0.998730863,25.52
165000.0333,165450,0.008123679,0.998730863,25.39
165600.0333,166050,0.008123679,0.998730863,25.69
166200.0333,166650,0.008123679,0.998730863,25.51
166800.0333,167250,0.008123679,0.998730863,25.54
167400.0333,167850,0.008128962,0.998730863,25.6
168000.0333,168450,0.016487061,1.001153824,24.27
168600.0333,169050,0.016474293,1.001153824,24.76
169200.0333,169650,0.016467004,1.001153824,24.54
169800.0333,170250,0.016463351,1.001153824,24.51
170400.0333,170850,0.016461525,1.001153824,24.5
171000.0333,171450,0.016457889,1.001153824,24.54
171600.0333,172050,0.016456063,1.001153824,24.49
172200.0333,172650,0.01645241,1.001153824,24.45
172800.0333,173250,0.01645241,1.001153824,24.4
173400.0333,173850,0.016450584,1.001153824,24.64
174000.0333,174450,0.01645241,1.001153824,24.41
174600.0333,175050,0.016450584,1.001153824,24.29
175200.0333,175650,0.016448758,1.001153824,24.45
175800.0333,176250,0.016448758,1.001153824,24.61
176400.0333,176850,0.016446949,1.001153824,24.62
177000.0333,177450,0.016445122,1.001153824,24.43
177600.0333,178050,0.016446949,1.001153824,25.73
178200.0333,178650,0.025139821,0.998512531,23.51
178800.0333,179250,0.025120872,0.998512531,23.46
179400.0333,179850,0.025113296,0.998512531,23.54
180000.0333,180450,0.025111398,0.998512531,26.06
180600.0333,181050,0.025105703,0.998512531,23.49
181200.0333,181650,0.025103805,0.998512531,23.49
181800.0333,182250,0.025101925,0.998512531,23.41
182400.0333,182850,0.025103805,0.998512531,23.34
183000.0333,183450,0.025098129,0.998512531,23.45
183600.0333,184050,0.025098129,0.998512531,23.42
184200.0333,184650,0.02509623,0.998512531,23.35
184800.0333,185250,0.025094332,0.998512531,23.41
185400.0333,185850,0.025092452,0.998512531,23.5
186000.0333,186450,0.025092452,0.998512531,23.45
186600.0333,187050,0.025092452,0.998512531,24.53
187200.0333,187650,0.025090554,0.998512531,23.2
187800.0333,188250,0.025090554,0.998512531,23.47
188400.0333,188850,0.034121869,0.996439651,22.37
189000.0333,189450,0.034108052,0.996439651,22.28
189600.0333,190050,0.034102141,0.996439651,22.42
190200.0333,190650,0.03409623,0.996439651,22.28
190800.0333,191250,0.0340903,0.996439651,22.19
191400.0333,191850,0.034086366,0.996439651,22.4
192000.0333,192450,0.034074526,0.996439651,22.45
192600.0333,193050,0.034074526,0.996439651,22.29
193200.0333,193650,0.034074526,0.996439651,22.4
193800.0333,194250,0.034070574,0.996439651,22.38
194400.0333,194850,0.034066621,0.996439651,22.37
195000.0333,195450,0.034058735,0.996439651,22.27
195600.0333,196050,0.034050849,0.996439651,22.36
196200.0333,196650,0.03404492,0.996439651,22.21
196800.0333,197250,0.03404492,0.996439651,22.35
197400.0333,197850,0.03403901,0.996439651,22.42
198000.0333,198450,0.034035058,0.996439651,22.35
198600.0333,199050,0.034033082,0.996439651,22.45
199200.0333,199650,0.034029149,0.996439651,21.8
199800.0333,200250,0.043373429,0.995961473,21.46
200400.0333,200850,0.043359013,0.995961473,21.36
201000.0333,201450,0.043354909,0.995961473,21.3
201600.0333,202050,0.04334668,0.995961473,21.24
202200.0333,202650,0.04334668,0.995961473,21.21
202800.0333,203250,0.04334668,0.995961473,21.39
203400.0333,203850,0.04334668,0.995961473,21.25
204000.0333,204450,0.043340494,0.995961473,21.5
204600.0333,205050,0.043340494,0.995961473,21.26
205200.0333,205650,0.043340494,0.995961473,21.24
205800.0333,206250,0.043338432,0.995961473,21.3
206400.0333,206850,0.043336371,0.995961473,21.34
207000.0333,207450,0.043338432,0.995961473,21.28
207600.0333,208050,0.043338432,0.995961473,21.31
208200.0333,208650,0.043340494,0.995961473,21.81
208800.0333,209250,0.043342556,0.995961473,21.31
209400.0333,209850,0.053131616,0.993034592,20.31
210000.0333,210450,0.053099323,0.993034592,20.22
210600.0333,211050,0.05309501,0.993034592,20.12
211200.0333,211650,0.05309501,0.993034592,20.29
211800.0333,212250,0.05308854,0.993034592,20.2
212400.0333,212850,0.053075641,0.993034592,20.08
213000.0333,213450,0.053069172,0.993034592,20.31
213600.0333,214050,0.053067015,0.993034592,20.17
214200.0333,214650,0.053064879,0.993034592,20.3
214800.0333,215250,0.053060566,0.993034592,20.12
215400.0333,215850,0.053054097,0.993034592,20.45
216000.0333,216450,0.053054097,0.993034592,20.35
216600.0333,217050,0.05305841,0.993034592,20.2
217200.0333,217650,0.053051961,0.993034592,20.16
217800.0333,218250,0.053049805,0.993034592,20.27
218400.0333,218850,0.053049805,0.993034592,20.25
219000.0333,219450,0.053054097,0.993034592,20.26
219600.0333,220050,0.061022065,0.994387867,19.27
220200.0333,220650,0.063255821,0.994387867,19.27
220800.0333,221250,0.063247118,0.994387867,19.36
221400.0333,221850,0.06322101,0.994387867,19.36
222000.0333,222450,0.06322101,0.994387867,19.27
222600.0333,223050,0.06322101,0.994387867,19.42
223200.0333,223650,0.063212309,0.994387867,19.09
223800.0333,224250,0.063203607,0.994387867,19.3
224400.0333,224850,0.063194906,0.994387867,19.2
225000.0333,225450,0.063186205,0.994387867,19.29
225600.0333,226050,0.063177505,0.994387867,19.23
226200.0333,226650,0.063177505,0.994387867,19.22
226800.0333,227250,0.063177505,0.994387867,19.67
227400.0333,227850,0.063186205,0.994387867,19.22
228000.0333,228450,0.063177505,0.994387867,19.18
228600.0333,229050,0.063177505,0.994387867,19.4
229200.0333,229650,0.063194906,0.994387867,19.24
229800.0333,230250,0.073918444,0.99158452,18.27
230400.0333,230850,0.073854396,0.99158452,18.42
231000.0333,231450,0.073845248,0.99158452,18.33
231600.0333,232050,0.073817784,0.99158452,18.38
232200.0333,232650,0.073808637,0.99158452,18.25
232800.0333,233250,0.073808637,0.99158452,18.25
233400.0333,233850,0.073817784,0.99158452,18.1
234000.0333,234450,0.073826931,0.99158452,18.22
234600.0333,235050,0.073826931,0.99158452,18.18
235200.0333,235650,0.073817784,0.99158452,18.38
235800.0333,236250,0.073790345,0.99158452,18.25
236400.0333,236850,0.073790345,0.99158452,18.24
237000.0333,237450,0.073790345,0.99158452,18.27
237600.0333,238050,0.0737812,0.99158452,18.12
238200.0333,238650,0.073790345,0.99158452,18.42
238800.0333,239250,0.073799491,0.99158452,18.25
239400.0333,239850,0.073790345,0.99158452,18.2
240000.0333,240450,0.085108898,0.991257019,17.24
240600.0333,241050,0.085060654,0.991257019,17.24
241200.0333,241650,0.085051007,0.991257019,17.22
241800.0333,242250,0.085022068,0.991257019,17.17
242400.0333,242850,0.085012422,0.991257019,17.92
243000.0333,243450,0.08504136,0.991257019,17.2
243600.0333,244050,0.085031714,0.991257019,17.24
244200.0333,244650,0.085031714,0.991257019,17.24
244800.0333,245250,0.08504136,0.991257019,17.19
245400.0333,245850,0.085031714,0.991257019,17.17
246000.0333,246450,0.085031714,0.991257019,17.33
246600.0333,247050,0.085031714,0.991257019,17.21
247200.0333,247650,0.085031714,0.991257019,17.59
247800.0333,248250,0.085012422,0.991257019,17.41
248400.0333,248850,0.085022068,0.991257019,17.2
249000.0333,249450,0.085002777,0.991257019,17.14
249600.0333,250050,0.096974107,0.99239016,16.33
250200.0333,250650,0.096902603,0.99239016,16.36
250800.0333,251250,0.096882178,0.99239016,16.29
251400.0333,251850,0.096861755,0.99239016,16.3
252000.0333,252450,0.096841334,0.99239016,16.36
252600.0333,253050,0.096820916,0.99239016,16.39
253200.0333,253650,0.096810707,0.99239016,16.24
253800.0333,254250,0.096800499,0.99239016,16.32
254400.0333,254850,0.096780085,0.99239016,16.21
255000.0333,255450,0.096769879,0.99239016,16.59
255600.0333,256050,0.096790292,0.99239016,16.24
256200.0333,256650,0.096769879,0.99239016,16.37
256800.0333,257250,0.096769879,0.99239016,16.3
257400.0333,257850,0.096759673,0.99239016,16.29
258000.0333,258450,0.096759673,0.99239016,16.3
258600.0333,259050,0.096759673,0.99239016,16.25
259200.0333,259650,0.096739263,0.99239016,16.18
259800.0333,260250,0.096759673,0.99239016,16.31
260400.0333,260850,0.104170021,0.986904123,15.5
261000.0333,261450,0.106728402,0.986904123,15.48
261600.0333,262050,0.107842112,0.986904123,15.36
262200.0333,262650,0.107391717,0.986904123,15.45
262800.0333,263250,0.106931509,0.986904123,15.67
263400.0333,263850,0.106931509,0.986904123,15.45
264000.0333,264450,0.106920816,0.986904123,15.6
264600.0333,265050,0.106910123,0.986904123,15.44
265200.0333,265650,0.106888739,0.986904123,15.44
265800.0333,266250,0.106910123,0.986904123,15.42
266400.0333,266850,0.106899431,0.986904123,15.83
267000.0333,267450,0.106878048,0.986904123,15.42
267600.0333,268050,0.106888739,0.986904123,15.45
268200.0333,268650,0.106878048,0.986904123,15.46
268800.0333,269250,0.106867357,0.986904123,15.44
269400.0333,269850,0.106845975,0.986904123,15.35
270000.0333,270450,0.106845975,0.986904123,15.39
270600.0333,271050,0.088504747,0.991359745,16.79
271200.0333,271650,0.088553813,0.991359745,16.92
271800.0333,272250,0.088573442,0.991359745,16.92
272400.0333,272850,0.088563627,0.991359745,16.92
273000.0333,273450,0.088563627,0.991359745,17.08
273600.0333,274050,0.088543999,0.991359745,17.16
274200.0333,274650,0.088543999,0.991359745,16.8
274800.0333,275250,0.088534185,0.991359745,16.88
275400.0333,275850,0.088524372,0.991359745,16.95
276000.0333,276450,0.088543999,0.991359745,16.96
276600.0333,277050,0.088543999,0.991359745,16.9
277200.0333,277650,0.088543999,0.991359745,16.87
277800.0333,278250,0.088543999,0.991359745,16.92
278400.0333,278850,0.088514559,0.991359745,16.91
279000.0333,279450,0.088534185,0.991359745,16.94
279600.0333,280050,0.088543999,0.991359745,17.07
280200.0333,280650,0.088543999,0.991359745,16.94
280800.0333,281250,0.088534185,0.991359745,17.1
281400.0333,281850,0.071624562,0.99213317,18.45
282000.0333,282450,0.071660778,0.99213317,18.34
282600.0333,283050,0.071669833,0.99213317,18.43
283200.0333,283650,0.071669833,0.99213317,18.2
283800.0333,284250,0.071687944,0.99213317,18.65
284400.0333,284850,0.071706056,0.99213317,18.37
285000.0333,285450,0.071715113,0.99213317,18.58
285600.0333,286050,0.071706056,0.99213317,18.45
286200.0333,286650,0.071706056,0.99213317,18.65
286800.0333,287250,0.071706056,0.99213317,18.42
287400.0333,287850,0.071706056,0.99213317,18.65
288000.0333,288450,0.071697,0.99213317,18.43
