Time ADSA [s],Time Gravimetry [s],CO2 Density [g/mL],Sample Density [g/mL],Interfacial Tension [mN/m]
0,30,8.79E-05,0.986352006,25.21
0.0333,30,8.79E-05,0.986352006,25.29
600.0333,630,4.80E-06,0.986352006,24.97
1200.0333,1230,3.18E-08,0.986352006,25.15
1800.0333,1830,0,0.986352006,25.12
2400.0333,2430,0,0.986352006,25.18
3000.0333,3030,0,0.986352006,25.3
3600.0333,3630,0,0.986352006,25.18
4200.0333,4230,0,0.986352006,24.88
4800.0333,4830,0,0.986352006,25.16
5400.0333,5430,0,0.986352006,25.02
6000.0333,6030,0,0.986352006,25.18
6600.0333,6630,0,0.986352006,25.24
7200.0333,7230,0,0.986352006,25.07
7800.0333,7830,0,0.986352006,25.04
8400.0333,8430,0,0.986352006,25.09
9000.0333,9030,0,0.986352006,25.05
9600.0333,9630,0,0.986352006,25.14
10200.0333,10230,0,0.986352006,25.24
10800.0333,10830,0,0.986352006,25.3
11400.0333,11430,0,0.986352006,25.14
12000.0333,12030,0,0.986352006,24.86
12600.0333,12630,0,0.986352006,25.15
13200.0333,13230,0,0.986352006,25.31
13800.0333,13830,0,0.986352006,25.13
14400.0333,14430,0,0.986352006,25.26
15000.0333,15030,0,0.986352006,25.3
15600.0333,15630,0,0.986352006,25.14
16200.0333,16230,0,0.986352006,25.44
16800.0333,16830,0,0.986352006,25.3
17400.0333,17430,0,0.986352006,25.26
18000.0333,18030,0,0.986352006,25.12
18600.0333,18630,0,0.986352006,25.13
19200.0333,19230,0,0.986352006,25.16
19800.0333,19830,0,0.986352006,25.44
20400.0333,20430,0,0.986352006,25.03
21000.0333,21030,0,0.986352006,25.09
21600.0333,21630,0,0.986352006,24.92
22200.0333,22230,0,0.986352006,25.12
22800.0333,22830,1.98E-05,0.986352006,25.11
23400.0333,23430,0.000793073,0.9847466,24.91
24000.0333,24030,0.000793201,0.9847466,25.01
24600.0333,24630,0.000793265,0.9847466,24.7
25200.0333,25230,0.000793201,0.9847466,24.86
25800.0333,25830,0.000793265,0.9847466,25.06
26400.0333,26430,0.000793392,0.9847466,25.06
27000.0333,27030,0.0015947,0.979921702,24.92
27600.0333,27630,0.001593724,0.979921702,24.85
28200.0333,28230,0.001593004,0.979921702,24.79
28800.0333,28830,0.001592364,0.979921702,24.84
29400.0333,29430,0.001592156,0.979921702,24.71
30000.0333,30030,0.001591836,0.979921702,24.69
30600.0333,30630,0.001591516,0.979921702,24.61
31200.0333,31230,0.001591452,0.979921702,24.77
31800.0333,31830,0.001794751,0.979921702,24.8
32400.0333,32430,0.003216116,0.981778051,24.77
33000.0333,33030,0.003212685,0.981778051,24.42
33600.0333,33630,0.003210961,0.981778051,24.52
34200.0333,34230,0.003210961,0.981778051,24.64
34800.0333,34830,0.003209237,0.981778051,24.35
35400.0333,35430,0.003209237,0.981778051,24.48
36000.0333,36030,0.003209237,0.981778051,24.64
36600.0333,36630,0.003207513,0.981778051,24.61
37200.0333,37230,0.003207513,0.981778051,24.56
37800.0333,37830,0.003207513,0.981778051,24.58
38400.0333,38430,0.003207513,0.981778051,24.61
39000.0333,39030,0.008932701,0.979745988,23.85
39600.0333,39630,0.008925649,0.979745988,23.94
40200.0333,40230,0.008920364,0.979745988,23.89
40800.0333,40830,0.008918596,0.979745988,23.89
41400.0333,41430,0.008916829,0.979745988,23.85
42000.0333,42030,0.008915062,0.979745988,23.9
42600.0333,42630,0.008911544,0.979745988,23.89
43200.0333,43230,0.008909777,0.979745988,23.66
43800.0333,43830,0.008909777,0.979745988,24.07
44400.0333,44430,0.00890801,0.979745988,24.25
45000.0333,45030,0.00890801,0.979745988,23.85
45600.0333,45630,0.008906243,0.979745988,24.01
46200.0333,46230,0.008904476,0.979745988,23.85
46800.0333,46830,0.008904476,0.979745988,23.94
47400.0333,47430,0.008904476,0.979745988,23.85
48000.0333,48030,0.008902725,0.979745988,23.6
48600.0333,48630,0.017331429,0.976808352,22.82
49200.0333,49230,0.017300325,0.976808352,22.87
49800.0333,49830,0.017289347,0.976808352,22.88
50400.0333,50430,0.01728385,0.976808352,22.77
51000.0333,51030,0.017278369,0.976808352,22.88
51600.0333,51630,0.017274705,0.976808352,22.83
52200.0333,52230,0.017272872,0.976808352,22.97
52800.0333,52830,0.017269225,0.976808352,22.78
53400.0333,53430,0.01726556,0.976808352,22.79
54000.0333,54030,0.01726556,0.976808352,22.84
54600.0333,54630,0.017261913,0.976808352,22.91
55200.0333,55230,0.017260081,0.976808352,22.83
55800.0333,55830,0.017260081,0.976808352,22.83
56400.0333,56430,0.017258249,0.976808352,23.01
57000.0333,57030,0.017256416,0.976808352,22.7
57600.0333,57630,0.017254584,0.976808352,23.04
58200.0333,58230,0.017252769,0.976808352,23.01
58800.0333,58830,0.017260081,0.976808352,22.54
59400.0333,59430,0.025972179,0.977676083,21.95
60000.0333,60030,0.025958853,0.977676083,21.83
60600.0333,60630,0.025951246,0.977676083,21.87
61200.0333,61230,0.025943639,0.977676083,21.84
61800.0333,61830,0.025937921,0.977676083,21.84
62400.0333,62430,0.025936015,0.977676083,21.89
63000.0333,63030,0.025932221,0.977676083,21.95
63600.0333,63630,0.025930315,0.977676083,21.79
64200.0333,64230,0.025928409,0.977676083,21.99
64800.0333,64830,0.025926503,0.977676083,22.08
65400.0333,65430,0.025920803,0.977676083,22.03
66000.0333,66030,0.025920803,0.977676083,21.86
66600.0333,66630,0.025915085,0.977676083,21.82
67200.0333,67230,0.025911291,0.977676083,21.96
67800.0333,67830,0.025911291,0.977676083,21.81
68400.0333,68430,0.02590748,0.977676083,21.97
69000.0333,69030,0.025903668,0.977676083,21.99
69600.0333,69630,0.025903668,0.977676083,22.01
70200.0333,70230,0.031688424,0.978761642,21.19
70800.0333,70830,0.034912673,0.978761642,21.07
71400.0333,71430,0.034900796,0.978761642,21.07
72000.0333,72030,0.034890903,0.978761642,21.11
72600.0333,72630,0.034884974,0.978761642,21.11
73200.0333,73230,0.034879027,0.978761642,21
73800.0333,73830,0.034871117,0.978761642,21.06
74400.0333,74430,0.034865188,0.978761642,21.17
75000.0333,75030,0.034861224,0.978761642,21.19
75600.0333,75630,0.034859242,0.978761642,20.93
76200.0333,76230,0.034853314,0.978761642,21.03
76800.0333,76830,0.03484935,0.978761642,21.63
77400.0333,77430,0.034843422,0.978761642,21.08
78000.0333,78030,0.03484144,0.978761642,21.11
78600.0333,78630,0.034839459,0.978761642,21.21
79200.0333,79230,0.034833531,0.978761642,21.25
79800.0333,79830,0.034831549,0.978761642,20.93
80400.0333,80430,0.034829567,0.978761642,20.93
81000.0333,81030,0.044250316,0.976269175,19.82
81600.0333,81630,0.044217253,0.976269175,20.05
82200.0333,82230,0.044206923,0.976269175,19.85
82800.0333,82830,0.044202784,0.976269175,19.85
83400.0333,83430,0.044198663,0.976269175,20.1
84000.0333,84030,0.044194524,0.976269175,20.14
84600.0333,84630,0.044192454,0.976269175,20.09
85200.0333,85230,0.044182125,0.976269175,20.06
85800.0333,85830,0.044178005,0.976269175,20.01
86400.0333,86430,0.044173866,0.976269175,20.1
87000.0333,87030,0.044175936,0.976269175,20.07
87600.0333,87630,0.044169727,0.976269175,20.12
88200.0333,88230,0.044165608,0.976269175,20
88800.0333,88830,0.044163538,0.976269175,19.89
89400.0333,89430,0.044163538,0.976269175,20.17
90000.0333,90030,0.044163538,0.976269175,20.03
90600.0333,90630,0.044153211,0.976269175,19.98
91200.0333,91230,0.044153211,0.976269175,20.09
91800.0333,91830,0.053962239,0.978058005,19.26
92400.0333,92430,0.053929813,0.978058005,19.18
93000.0333,93030,0.053921176,0.978058005,19.13
93600.0333,93630,0.053914704,0.978058005,19.27
94200.0333,94230,0.053914704,0.978058005,19.25
94800.0333,94830,0.05389094,0.978058005,19.15
95400.0333,95430,0.05389094,0.978058005,19.22
96000.0333,96030,0.053888776,0.978058005,19.29
96600.0333,96630,0.053882284,0.978058005,19.35
97200.0333,97230,0.053882284,0.978058005,19.16
97800.0333,97830,0.053875813,0.978058005,19.2
98400.0333,98430,0.053867178,0.978058005,19.07
99000.0333,99030,0.053871485,0.978058005,19.1
99600.0333,99630,0.053867178,0.978058005,19.16
100200.0333,100230,0.053865014,0.978058005,19.33
100800.0333,100830,0.053862851,0.978058005,19.32
101400.0333,101430,0.053858523,0.978058005,19.15
102000.0333,102030,0.053862851,0.978058005,19.09
102600.0333,102630,0.056519796,0.976802326,19.04
103200.0333,103230,0.064100113,0.974951594,18.27
103800.0333,103830,0.064082646,0.974951594,18.13
104400.0333,104430,0.06406518,0.974951594,18.23
105000.0333,105030,0.06406518,0.974951594,18.31
105600.0333,105630,0.064056448,0.974951594,18.18
106200.0333,106230,0.064038984,0.974951594,18.24
106800.0333,106830,0.064047716,0.974951594,18.17
107400.0333,107430,0.064056448,0.974951594,18.16
108000.0333,108030,0.06400406,0.974951594,18.3
108600.0333,108630,0.064021521,0.974951594,18.24
109200.0333,109230,0.064021521,0.974951594,18.27
109800.0333,109830,0.064012791,0.974951594,18.17
110400.0333,110430,0.064030252,0.974951594,18.2
111000.0333,111030,0.064030252,0.974951594,18.15
111600.0333,111630,0.064030252,0.974951594,18.07
112200.0333,112230,0.064012791,0.974951594,18.2
112800.0333,112830,0.064012791,0.974951594,18.25
113400.0333,113430,0.06406518,0.974951594,18
114000.0333,114030,0.074742632,0.972086051,17.13
114600.0333,114630,0.074733446,0.972086051,17.24
115200.0333,115230,0.074705891,0.972086051,17.17
115800.0333,115830,0.074696707,0.972086051,17.34
116400.0333,116430,0.074687523,0.972086051,17.38
117000.0333,117030,0.074669157,0.972086051,17.43
117600.0333,117630,0.07467834,0.972086051,17.37
118200.0333,118230,0.074650791,0.972086051,17.3
118800.0333,118830,0.074650791,0.972086051,17.34
119400.0333,119430,0.074650791,0.972086051,17.46
120000.0333,120030,0.074632428,0.972086051,17.46
120600.0333,120630,0.07464161,0.972086051,17.21
121200.0333,121230,0.07464161,0.972086051,17.37
121800.0333,121830,0.074623247,0.972086051,17.32
122400.0333,122430,0.074632428,0.972086051,17.41
123000.0333,123030,0.074604863,0.972086051,17.31
123600.0333,123630,0.074871297,0.972086051,16.98
124200.0333,124230,0.085969053,0.970025638,16.31
124800.0333,124830,0.08591092,0.970025638,16.42
125400.0333,125430,0.08591092,0.970025638,16.3
126000.0333,126030,0.08588186,0.970025638,16.41
126600.0333,126630,0.08588186,0.970025638,16.34
127200.0333,127230,0.085872175,0.970025638,16.29
127800.0333,127830,0.085843097,0.970025638,16.24
128400.0333,128430,0.085814046,0.970025638,16.22
129000.0333,129030,0.085823729,0.970025638,17.16
129600.0333,129630,0.085833413,0.970025638,16.32
130200.0333,130230,0.085823729,0.970025638,16.28
130800.0333,130830,0.085843097,0.970025638,16.41
131400.0333,131430,0.085833413,0.970025638,16.3
132000.0333,132030,0.085804364,0.970025638,16.44
132600.0333,132630,0.085823729,0.970025638,16.39
133200.0333,133230,0.085804364,0.970025638,16.41
133800.0333,133830,0.085804364,0.970025638,16.33
134400.0333,134430,0.097844602,0.971813689,15.5
135000.0333,135030,0.097741995,0.971813689,15.35
135600.0333,135630,0.097721455,0.971813689,15.44
136200.0333,136230,0.097690687,0.971813689,15.52
136800.0333,136830,0.097670178,0.971813689,15.51
137400.0333,137430,0.097700942,0.971813689,15.37
138000.0333,138030,0.097680432,0.971813689,15.43
138600.0333,138630,0.097659924,0.971813689,15.44
139200.0333,139230,0.097659924,0.971813689,15.55
139800.0333,139830,0.097639418,0.971813689,15.47
140400.0333,140430,0.097618915,0.971813689,15.49
141000.0333,141030,0.097629166,0.971813689,15.51
141600.0333,141630,0.097629166,0.971813689,15.52
142200.0333,142230,0.097629166,0.971813689,15.37
142800.0333,142830,0.097629166,0.971813689,15.38
143400.0333,143430,0.097608664,0.971813689,15.39
144000.0333,144030,0.097608664,0.971813689,15.46
144600.0333,144630,0.097588164,0.971813689,15.47
145200.0333,145230,0.097721455,0.971813689,15.33
145800.0333,145830,0.105917255,0.969869965,14.71
146400.0333,146430,0.106771618,0.969869965,14.81
147000.0333,147030,0.107499379,0.969869965,14.72
147600.0333,147630,0.106985472,0.969869965,14.63
148200.0333,148230,0.106964083,0.969869965,14.76
148800.0333,148830,0.106953389,0.969869965,14.81
