Time ADSA [s],Time Gravimetry [s],CO2 Density [g/mL],Sample Density [g/mL],Interfacial Tension [mN/m],,,,,,,,,,,,,
0,370020,0.188545277,0.95603602,10.76,,,,,,,,,,,,,
0.0333,370140,0.188549826,0.95603602,10.78,,,,,,,,,,,,,
300.0333,370380,0.188569937,0.95603602,10.35,,,,,,,,,,,,,
600.0333,370740,0.188623048,0.95603602,10.37,,,,,,,,,,,,,
900.0333,371040,0.188629832,0.95603602,10.34,,,,,,,,,,,,,
1200.0333,371280,0.188609715,0.95603602,10.32,,,,,,,,,,,,,
1500.0333,371640,0.188579539,0.95603602,10.32,,,,,,,,,,,,,
1800.0333,371880,0.188559427,0.95603602,10.36,,,,,,,,,,,,,
2100.0333,372120,0.188539316,0.95603602,10.36,,,,,,,,,,,,,
2400.0333,372540,0.188509151,0.95603602,10.31,,,,,,,,,,,,,
2700.0333,372780,0.18848905,0.95603602,10.35,,,,,,,,,,,,,
3000.0333,373140,0.188458897,0.95603602,10.33,,,,,,,,,,,,,
3300.0333,373380,0.188438798,0.95603602,10.38,,,,,,,,,,,,,
3600.0333,373680,0.188418702,0.95603602,10.35,,,,,,,,,,,,,
3900.0333,374040,0.188388559,0.95603602,10.35,,,,,,,,,,,,,
4200.0333,374280,0.188368466,0.95603602,10.36,,,,,,,,,,,,,
4500.0333,374520,0.188348377,0.95603602,10.36,,,,,,,,,,,,,
4800.0333,374940,0.188314343,0.95603602,10.34,,,,,,,,,,,,,
5100.0333,375180,0.18827418,0.95603602,10.37,,,,,,,,,,,,,
5400.0333,375540,0.188213952,0.95603602,10.36,,,,,,,,,,,,,
5700.0333,375780,0.188184298,0.95603602,10.37,,,,,,,,,,,,,
6000.0333,376080,0.188164228,0.95603602,10.39,,,,,,,,,,,,,
6300.0333,376440,0.188134132,0.95603602,10.38,,,,,,,,,,,,,
6600.0333,376680,0.188131134,0.95603602,10.38,,,,,,,,,,,,,
6900.0333,377040,0.188115793,0.95603602,10.38,,,,,,,,,,,,,
7200.0333,377340,0.188095731,0.95603602,10.37,,,,,,,,,,,,,
7500.0333,377580,0.188075672,0.95603602,10.39,,,,,,,,,,,,,
7800.0333,377940,0.188023677,0.95603602,10.37,,,,,,,,,,,,,
8100.0333,378180,0.188003895,0.95603602,10.34,,,,,,,,,,,,,
8400.0333,378480,0.188003895,0.95603602,10.39,,,,,,,,,,,,,
8700.0333,378840,0.188003895,0.95603602,10.4,,,,,,,,,,,,,
9000.0333,379080,0.188003895,0.95603602,10.37,,,,,,,,,,,,,
9300.0333,379440,0.188003895,0.95603602,10.37,,,,,,,,,,,,,
9600.0333,379740,0.188003895,0.95603602,10.37,,,,,,,,,,,,,
9900.0333,379980,0.188003895,0.95603602,10.38,,,,,,,,,,,,,
10200.0333,380340,0.188003895,0.95603602,10.38,,,,,,,,,,,,,
10500.0333,380580,0.187994055,0.95603602,10.36,,,,,,,,,,,,,
10800.0333,380880,0.187974009,0.95603602,10.38,,,,,,,,,,,,,
11100.0333,381240,0.187972102,0.95603602,10.38,,,,,,,,,,,,,
11400.0333,381480,0.187972102,0.95603602,10.37,,,,,,,,,,,,,
11700.0333,381840,0.18795741,0.95603602,10.4,,,,,,,,,,,,,
12000.0333,382140,0.18794031,0.95603602,10.37,,,,,,,,,,,,,
12300.0333,382380,0.18794031,0.95603602,10.39,,,,,,,,,,,,,
12600.0333,382740,0.18794031,0.95603602,10.38,,,,,,,,,,,,,
12900.0333,382980,0.187930792,0.95603602,10.35,,,,,,,,,,,,,
13200.0333,383280,0.187910753,0.95603602,10.49,,,,,,,,,,,,,
13500.0333,383640,0.187908528,0.95603602,10.39,,,,,,,,,,,,,
13800.0333,383880,0.187908528,0.95603602,10.37,,,,,,,,,,,,,
14100.0333,384240,0.187908528,0.95603602,10.35,,,,,,,,,,,,,
14400.0333,384540,0.187908528,0.95603602,10.38,,,,,,,,,,,,,
14700.0333,384780,0.187908528,0.95603602,10.27,,,,,,,,,,,,,
15000.0333,385140,0.187908528,0.95603602,10.4,,,,,,,,,,,,,
