Time ADSA [s],Time Gravimetry [s],CO2 Density [g/mL],Sample Density [g/mL],Interfacial Tension [mN/m]
0,634500,0.098662438,0.949527727,14.46
0.0333,634500,0.098662438,0.949527727,14.44
120.0333,634620,0.098662438,0.949527727,14.61
240.0333,634740,0.098662438,0.949527727,15.04
360.0333,634860,0.098662438,0.949527727,15.31
480.0333,634980,0.098662438,0.949527727,15.38
600.0333,635100,0.098662438,0.949527727,15.34
720.0333,635280,0.098662438,0.949527727,15.36
840.0333,635400,0.098662438,0.949527727,15.37
960.0333,635520,0.098662438,0.949527727,15.35
1080.0333,635640,0.098662438,0.949527727,15.34
1200.0333,635760,0.098662438,0.949527727,15.36
1320.0333,635880,0.098662438,0.949527727,15.33
1440.0333,636000,0.098662438,0.949527727,15.37
1560.0333,636120,0.098662438,0.949527727,15.33
1680.0333,636240,0.098662438,0.949527727,15.35
1800.0333,636360,0.098662438,0.949527727,15.36
1920.0333,636360,0.098662438,0.949527727,15.37
2040.0333,636540,0.098662438,0.949527727,15.37
2160.0333,636660,0.098662438,0.949527727,15.37
2280.0333,636780,0.098662438,0.949527727,15.36
2400.0333,636900,0.098662438,0.949527727,15.38
2520.0333,637020,0.098662438,0.949527727,15.39
2640.0333,637140,0.098662438,0.949527727,15.42
2760.0333,637260,0.098662438,0.949527727,15.38
2880.0333,637380,0.098662438,0.949527727,15.51
3000.0333,637500,0.098662438,0.949527727,15.38
3120.0333,637680,0.098662438,0.949527727,15.34
3240.0333,637800,0.098662438,0.949527727,15.4
3360.0333,637920,0.098662438,0.949527727,15.38
3480.0333,638040,0.098662438,0.949527727,15.36
3600.0333,638160,0.098662438,0.949527727,15.35
3720.0333,638280,0.098662438,0.949527727,15.4
3840.0333,638400,0.098662438,0.949527727,15.36
3960.0333,638520,0.098662438,0.949527727,15.38
4080.0333,638640,0.098662438,0.949527727,15.39
4200.0333,638760,0.098662438,0.949527727,15.37
4320.0333,638760,0.098662438,0.949527727,15.37
4440.0333,638940,0.098662438,0.949527727,15.39
4560.0333,639060,0.098662438,0.949527727,15.38
4680.0333,639180,0.098662438,0.949527727,15.38
4800.0333,639300,0.098662438,0.949527727,15.38
4920.0333,639420,0.098662438,0.949527727,15.37
5040.0333,639540,0.098662438,0.949527727,15.34
5160.0333,639660,0.098662438,0.949527727,15.33
5280.0333,639780,0.098662438,0.949527727,15.39
5400.0333,639900,0.098662438,0.949527727,15.39
5520.0333,640080,0.098662438,0.949527727,15.37
5640.0333,640200,0.098662438,0.949527727,15.33
5760.0333,640320,0.098662438,0.949527727,15.38
5880.0333,640440,0.098662438,0.949527727,15.34
6000.0333,640560,0.098662438,0.949527727,15.3
6120.0333,640680,0.098662438,0.949527727,15.36
6240.0333,640800,0.098662438,0.949527727,15.37
6360.0333,640920,0.098662438,0.949527727,15.36
6480.0333,641040,0.098662438,0.949527727,15.36
6600.0333,641160,0.098662438,0.949527727,15.33
6720.0333,641160,0.098662438,0.949527727,15.37
6840.0333,641340,0.098662438,0.949527727,15.34
6960.0333,641460,0.098662438,0.949527727,15.35
7080.0333,641580,0.098662438,0.949527727,15.38
7200.0333,641700,0.098662438,0.949527727,15.34
7320.0333,641820,0.098662438,0.949527727,15.29
7440.0333,641940,0.098662438,0.949527727,15.37
7560.0333,642060,0.098662438,0.949527727,15.37
7680.0333,642180,0.098662438,0.949527727,15.33
7800.0333,642300,0.098662438,0.949527727,15.35
7920.0333,642420,0.098662438,0.949527727,15.39
8040.0333,642600,0.098662438,0.949527727,15.35
8160.0333,642720,0.098662438,0.949527727,15.36
8280.0333,642840,0.098662438,0.949527727,15.38
8400.0333,642960,0.098662438,0.949527727,15.37
8520.0333,643080,0.098662438,0.949527727,15.4
8640.0333,643200,0.098662438,0.949527727,15.28
8760.0333,643320,0.098662438,0.949527727,15.37
8880.0333,643440,0.098662438,0.949527727,15.4
9000.0333,643560,0.098662438,0.949527727,15.33
9120.0333,643560,0.098662438,0.949527727,15.39
9240.0333,643740,0.098662438,0.949527727,15.38
9360.0333,643860,0.098662438,0.949527727,15.36
9480.0333,643980,0.098662438,0.949527727,15.34
9600.0333,644100,0.098662438,0.949527727,15.37
9720.0333,644220,0.098662438,0.949527727,15.38
9840.0333,644340,0.098662438,0.949527727,15.36
9960.0333,644460,0.098662438,0.949527727,15.37
10080.0333,644580,0.098662438,0.949527727,15.4
10200.0333,644700,0.098662438,0.949527727,15.38
10320.0333,644820,0.098662438,0.949527727,15.34
10440.0333,645000,0.098662438,0.949527727,15.37
10560.0333,645120,0.098662438,0.949527727,15.38
10680.0333,645240,0.098662438,0.949527727,15.37
10800.0333,645360,0.098662438,0.949527727,15.37
10920.0333,645480,0.098662438,0.949527727,15.37
11040.0333,645600,0.098662438,0.949527727,15.35
11160.0333,645720,0.098662438,0.949527727,15.35
11280.0333,645840,0.098662438,0.949527727,15.36
11400.0333,645960,0.098662438,0.949527727,15.38
11520.0333,646080,0.098662438,0.949527727,15.39
11640.0333,646080,0.098662438,0.949527727,15.35
11760.0333,646260,0.098662438,0.949527727,15.57
11880.0333,646380,0.098605431,0.949527727,15.37
12000.0333,646500,0.098569979,0.949527727,15.33
12120.0333,646620,0.098569979,0.949527727,15.33
12240.0333,646740,0.09862636,0.949527727,15.29
12360.0333,646860,0.098662438,0.949527727,15.39
12480.0333,646980,0.098662438,0.949527727,15.35
12600.0333,647100,0.098662438,0.949527727,15.38
12720.0333,647220,0.098662438,0.949527727,15.37
12840.0333,647400,0.098569979,0.949527727,15.36
12960.0333,647520,0.098569979,0.949527727,15.29
13080.0333,647640,0.098569979,0.949527727,15.32
13200.0333,647760,0.098662438,0.949527727,15.38
13320.0333,647880,0.098662438,0.949527727,15.37
13440.0333,648000,0.098662438,0.949527727,15.4
13560.0333,648120,0.098662438,0.949527727,15.38
13680.0333,648240,0.098662438,0.949527727,15.38
13800.0333,648360,0.098662438,0.949527727,15.38
13920.0333,648480,0.098662438,0.949527727,15.37
14040.0333,648480,0.098662438,0.949527727,15.36
14160.0333,648660,0.098662438,0.949527727,15.38
14280.0333,648780,0.098662438,0.949527727,15.44
14400.0333,648900,0.098662438,0.949527727,15.38
14520.0333,649020,0.098662438,0.949527727,15.37
14640.0333,649140,0.098662438,0.949527727,15.38
14760.0333,649260,0.098662438,0.949527727,15.41
14880.0333,649380,0.098662438,0.949527727,15.38
15000.0333,649500,0.098662438,0.949527727,15.36
15120.0333,649620,0.098662438,0.949527727,15.37
15240.0333,649800,0.098662438,0.949527727,15.35
15360.0333,649920,0.098662438,0.949527727,15.39
15480.0333,650040,0.098662438,0.949527727,15.36
15600.0333,650160,0.098611597,0.949527727,15.37
15720.0333,650280,0.098569979,0.949527727,15.37
15840.0333,650400,0.098569979,0.949527727,15.35
15960.0333,650520,0.098569979,0.949527727,15.35
16080.0333,650640,0.098569979,0.949527727,15.41
16200.0333,650760,0.098569979,0.949527727,15.35
16320.0333,650880,0.098569979,0.949527727,15.36
16440.0333,650880,0.098569979,0.949527727,15.38
16560.0333,651060,0.098569979,0.949527727,15.35
16680.0333,651180,0.098569979,0.949527727,15.36
16800.0333,651300,0.098569979,0.949527727,15.37
16920.0333,651420,0.098569979,0.949527727,15.37
17040.0333,651540,0.098569979,0.949527727,15.43
17160.0333,651660,0.098569979,0.949527727,15.38
17280.0333,651780,0.098569979,0.949527727,15.41
17400.0333,651900,0.098569979,0.949527727,15.38
17520.0333,652020,0.098569979,0.949527727,15.41
17640.0333,652140,0.098569979,0.949527727,15.36
17760.0333,652320,0.098569979,0.949527727,15.37
17880.0333,652440,0.098569979,0.949527727,15.37
18000.0333,652560,0.098569979,0.949527727,15.36
18120.0333,652680,0.098569979,0.949527727,15.36
18240.0333,652800,0.098569979,0.949527727,15.4
18360.0333,652920,0.098569979,0.949527727,15.39
18480.0333,653040,0.098569979,0.949527727,15.38
18600.0333,653160,0.098569979,0.949527727,15.37
18720.0333,653280,0.098569979,0.949527727,15.36
18840.0333,653280,0.098569979,0.949527727,15.31
18960.0333,653460,0.098569979,0.949527727,15.38
19080.0333,653580,0.098615268,0.949527727,15.37
19200.0333,653700,0.098662438,0.949527727,15.38
19320.0333,653820,0.098662438,0.949527727,15.39
19440.0333,653940,0.098617757,0.949527727,15.36
19560.0333,654060,0.098569979,0.949527727,15.39
19680.0333,654180,0.098569979,0.949527727,15.38
19800.0333,654300,0.098569979,0.949527727,15.37
19920.0333,654420,0.098569979,0.949527727,15.36
20040.0333,654540,0.098569979,0.949527727,15.36
20160.0333,654720,0.098613415,0.949527727,15.38
20280.0333,654840,0.098662438,0.949527727,15.37
20400.0333,654960,0.098569979,0.949527727,15.37
20520.0333,655080,0.098569979,0.949527727,15.33
20640.0333,655200,0.098569979,0.949527727,15.34
20760.0333,655320,0.098569979,0.949527727,15.34
20880.0333,655440,0.098569979,0.949527727,15.31
