Time ADSA [s],Time Gravimetry [s],CO2 Density [g/mL],Sample Density [g/mL],Interfacial Tension [mN/m]
0,604860,0.149720447,0.945720442,10.87
0.0333,604980,0.149680972,0.945720442,10.86
120.0333,605100,0.149483563,0.945720442,10.86
240.0333,605220,0.149286282,0.945720442,10.87
360.0333,605220,0.149286282,0.945720442,10.86
480.0333,605400,0.149286282,0.945720442,10.87
600.0333,605520,0.14908912,0.945720442,10.88
720.0333,605640,0.14908912,0.945720442,10.87
840.0333,605760,0.14908912,0.945720442,10.87
960.0333,605880,0.148892082,0.945720442,10.89
1080.0333,606000,0.148746337,0.945720442,10.88
1200.0333,606120,0.148695149,0.945720442,11.47
1320.0333,606240,0.148695149,0.945720442,11.72
1440.0333,606360,0.148695149,0.945720442,11.77
1560.0333,606540,0.148695149,0.945720442,11.83
1680.0333,606660,0.148498347,0.945720442,11.88
1800.0333,606780,0.148301666,0.945720442,11.94
1920.0333,606900,0.148301666,0.945720442,11.94
2040.0333,607020,0.148301666,0.945720442,11.94
2160.0333,607140,0.148301666,0.945720442,11.99
2280.0333,607260,0.148169311,0.945720442,11.98
2400.0333,607380,0.148105119,0.945720442,11.97
2520.0333,607500,0.147908715,0.945720442,12.01
2640.0333,607620,0.147908715,0.945720442,12.02
2760.0333,607620,0.147908715,0.945720442,12
2880.0333,607800,0.147908715,0.945720442,12
3000.0333,607920,0.147908715,0.945720442,12.01
3120.0333,608040,0.147908715,0.945720442,12.04
3240.0333,608160,0.147712454,0.945720442,12.04
3360.0333,608280,0.147712454,0.945720442,12.02
3480.0333,608400,0.147712454,0.945720442,12.03
3600.0333,608520,0.147712454,0.945720442,12.05
3720.0333,608640,0.147712454,0.945720442,12.08
3840.0333,608760,0.147516346,0.945720442,12.09
3960.0333,608880,0.1473204,0.945720442,12.09
4080.0333,609060,0.1473204,0.945720442,12.1
4200.0333,609180,0.1473204,0.945720442,12.12
4320.0333,609300,0.147516346,0.945720442,12.1
4440.0333,609420,0.1473204,0.945720442,12.1
4560.0333,609540,0.1473204,0.945720442,12.12
4680.0333,609660,0.147124615,0.945720442,12.12
4800.0333,609780,0.147124615,0.945720442,12.11
4920.0333,609900,0.1473204,0.945720442,12.14
5040.0333,610020,0.147217248,0.945720442,12.14
5160.0333,610020,0.147217248,0.945720442,12.12
5280.0333,610200,0.147124615,0.945720442,12.12
5400.0333,610320,0.147124615,0.945720442,12.15
5520.0333,610440,0.147124615,0.945720442,12.15
5640.0333,610560,0.147124615,0.945720442,12.17
5760.0333,610680,0.147124615,0.945720442,12.17
5880.0333,610800,0.146929002,0.945720442,12.17
6000.0333,610920,0.146929002,0.945720442,12.16
6120.0333,611040,0.146929002,0.945720442,12.17
6240.0333,611160,0.147124615,0.945720442,12.19
6360.0333,611280,0.146929002,0.945720442,12.17
6480.0333,611460,0.146929002,0.945720442,12.15
6600.0333,611580,0.14673357,0.945720442,12.16
6720.0333,611700,0.146929002,0.945720442,12.15
6840.0333,611820,0.146929002,0.945720442,12.17
6960.0333,611940,0.14673357,0.945720442,12.17
7080.0333,612060,0.14673357,0.945720442,12.21
7200.0333,612180,0.14673357,0.945720442,12.19
7320.0333,612300,0.14673357,0.945720442,12.21
7440.0333,612420,0.14673357,0.945720442,12.2
7560.0333,612420,0.14673357,0.945720442,12.19
7680.0333,612600,0.14673357,0.945720442,12.17
7800.0333,612720,0.146538319,0.945720442,12.21
7920.0333,612840,0.146538319,0.945720442,12.19
8040.0333,612960,0.146538319,0.945720442,12.24
8160.0333,613080,0.146538319,0.945720442,12.22
8280.0333,613200,0.146538319,0.945720442,12.2
8400.0333,613320,0.146538319,0.945720442,12.19
8520.0333,613440,0.146343257,0.945720442,12.23
8640.0333,613560,0.146343257,0.945720442,12.25
8760.0333,613680,0.146343257,0.945720442,12.23
8880.0333,613860,0.146406958,0.945720442,12.23
9000.0333,613980,0.146475861,0.945720442,12.25
9120.0333,614040,0.146323763,0.945720442,12.23
9240.0333,614220,0.146343257,0.945720442,12.24
9360.0333,614340,0.146343257,0.945720442,12.27
9480.0333,614460,0.146343257,0.945720442,12.24
9600.0333,614580,0.146343257,0.945720442,12.25
9720.0333,614700,0.146343257,0.945720442,12.24
9840.0333,614820,0.146148396,0.945720442,12.26
9960.0333,614940,0.146148396,0.945720442,12.26
10080.0333,615060,0.146245803,0.945720442,12.25
10200.0333,615120,0.146343257,0.945720442,12.26
10320.0333,615240,0.146343257,0.945720442,12.22
10440.0333,615360,0.146148396,0.945720442,12.26
10560.0333,615480,0.146148396,0.945720442,12.26
10680.0333,615600,0.146148396,0.945720442,12.27
10800.0333,615720,0.146148396,0.945720442,12.27
10920.0333,615840,0.146148396,0.945720442,12.23
11040.0333,615960,0.146148396,0.945720442,12.28
11160.0333,616080,0.146148396,0.945720442,12.27
11280.0333,616200,0.146012112,0.945720442,12.29
11400.0333,616320,0.146089974,0.945720442,12.26
11520.0333,616440,0.146089974,0.945720442,12.28
11640.0333,616620,0.145953734,0.945720442,12.24
11760.0333,616740,0.145934279,0.945720442,12.29
11880.0333,616860,0.145934279,0.945720442,12.28
12000.0333,616980,0.146012112,0.945720442,12.26
12120.0333,617100,0.146012112,0.945720442,12.26
