Run,Graph,Index,Y_Axis          Y2_Axis,Data,Data,Data,Data,Data,Data,Data,Data,Data
Secs,Secs,,PndVol,PndVol,PndArea,TipWdth,WetTipW,Contrst,Sharp,Black,White,Edge
1.1,0,1,5.099,5.099,12.1,2.0887,2.0333,255,227,0,255,105
1.1333,0.0333,2,5.083,5.083,12.07,2.0888,2.0333,255,212,0,255,105
121.1333,120.0333,3,5.071,5.071,12.047,2.088,2.0333,255,217,0,255,105
241.1333,240.0333,4,5.093,5.093,12.089,2.0884,2.0333,255,212,0,255,105
361.1333,360.0333,5,5.098,5.098,12.099,2.0884,2.0505,255,211,0,255,105
481.1333,480.0333,6,5.098,5.098,12.099,2.0883,2.0591,255,226,0,255,105
601.1333,600.0333,7,5.075,5.075,12.054,2.0881,2.0333,255,219,0,255,105
721.1333,720.0333,8,5.071,5.071,12.048,2.088,2.0333,255,211,0,255,105
841.1333,840.0333,9,5.079,5.079,12.062,2.088,2.0333,255,211,0,255,105
961.1333,960.0333,10,5.104,5.104,12.11,2.0886,2.0333,255,228,0,255,105
1081.1333,1080.0333,11,5.084,5.084,12.073,2.0881,2.0333,255,211,0,255,105
1201.1333,1200.0333,12,5.027,5.027,11.934,2.0873,2.0333,255,232,0,255,105
1321.1333,1320.0333,13,4.977,4.977,11.826,2.0881,2.0333,255,214,0,255,105
1441.1333,1440.0333,14,4.956,4.956,11.787,2.0866,2.0333,255,212,0,255,105
1561.1333,1560.0333,15,5.016,5.016,11.903,2.0861,2.0419,255,212,0,255,105
1681.1333,1680.0333,16,4.941,4.941,11.756,2.0862,2.0676,255,211,0,255,105
1801.1333,1800.0333,17,4.951,4.951,11.774,2.0862,2.0676,255,215,0,255,105
1921.1333,1920.0333,18,4.937,4.937,11.749,2.0857,2.0676,255,219,0,255,105
2041.1333,2040.0333,19,4.926,4.926,11.729,2.0842,2.0676,255,211,0,255,105
2161.1333,2160.0333,20,4.968,4.968,11.808,2.0854,2.0505,255,219,0,255,105
2281.1333,2280.0333,21,4.959,4.959,11.791,2.0848,2.0505,255,210,0,255,105
2401.1333,2400.0333,22,4.944,4.944,11.761,2.0851,2.0505,255,212,0,255,105
2521.1333,2520.0333,23,4.946,4.946,11.764,2.0857,2.0505,255,220,0,255,105
2641.1333,2640.0333,24,4.948,4.948,11.769,2.0852,2.0247,255,210,0,255,105
2761.1333,2760.0333,25,4.947,4.947,11.768,2.0849,2.0247,255,222,0,255,105
2881.1333,2880.0333,26,4.951,4.951,11.776,2.0846,2.0247,255,212,0,255,105
3001.1333,3000.0333,27,4.933,4.933,11.741,2.0844,2.0247,255,211,0,255,105
3121.1333,3120.0333,28,4.949,4.949,11.772,2.0842,2.0247,255,220,0,255,105
