,Time Gravimetry [s],CO2 Density [g/mL],Sample Density [g/mL],Interfacial Tension [mN/m],,,,,Run,,Graph,,Index,,Y_Axis,,Y2_Axis,,,Data,,Data,,Data,,Data,,Data,,Data,,Data,,Data,,Data,,Data,,Data,,Data,,Data,,Data,,Data,,Data
0,712860,0.074959206,0.952803387,17.76,,17.14,,,Secs,,Secs,, ,,IFT,, ,,,IFT,,PndVol,,PndArea,,TipWdth,,WetTipW,,Diam,,LYb,,LYBeta,,LYErr,,ApexX,,ApexY,,Contrst,,Sharp,,Black,,White,,Edge
0.0333,712980,0.074953058,0.952803387,17.77,,17.15,,,1.1,,0,,1,,17.76,, ,,,17.76,,4.611,,11.101,,2.0681,,2.0419,,2.1349,,0.9618,,-0.4632,,3.45E-03,2.8921,,2.5441,,255,,210,,0,,255,,105,
120.0333,713100,0.074950041,0.952803387,18.01,,17.36,,,1.1333,,0.0333,,2,,17.77,, ,,,17.77,,4.625,,11.128,,2.0685,,2.0333,,2.1351,,0.9619,,-0.4631,,3.95E-03,2.8905,,2.5397,,255,,229,,0,,255,,105,
240.0333,713220,0.074950032,0.952803387,18.57,,17.94,,,121.1333,120.0333,3,,18.01,,18.01,,,,,4.614,,11.104,,2.0684,,2.0419,,2.1362,,0.9638,,-0.4587,,3.46E-03,2.8932,,2.5342,,255,,210,,0,,255,,105,,,
360.0333,713340,0.074950023,0.952803387,19.15,,18.46,,,241.1333,240.0333,4,,18.57,,18.57,,,,,4.583,,11.043,,2.068,,2.0419,,2.1383,,0.9678,,-0.4487,,3.50E-03,2.8954,,2.5219,,255,,217,,0,,255,,105,,,
480.0333,713460,0.074950013,0.952803387,19.64,,18.71,,,361.1333,360.0333,5,,19.15,,19.15,,,,,4.536,,10.954,,2.0671,,2.0247,,2.1388,,0.9712,,-0.438,,3.53E-03,2.8989,,2.4972,,255,,225,,0,,255,,105,,,
600.0333,713460,0.074950013,0.952803387,19.74,,19.1,,,481.1333,480.0333,6,,19.64,,19.64,,,,,4.492,,10.872,,2.0658,,2.0247,,2.1383,,0.9735,,-0.4291,,3.36E-03,2.8968,,2.4841,,255,,212,,0,,255,,105,,,
720.0333,713460,0.074950013,0.952803387,19.81,,19.11,,,601.1333,600.0333,7,,19.74,,19.74,,,,,4.45,,10.792,,2.0653,,2.0333,,2.1374,,0.9737,,-0.4271,,3.41E-03,2.8931,,2.4723,,255,,216,,0,,255,,105,,,
840.0333,713460,0.074950013,0.952803387,19.76,,19.05,,,721.1333,720.0333,8,,19.81,,19.81,,,,,4.467,,10.827,,2.0654,,2.0333,,2.1368,,0.9738,,-0.4257,,3.23E-03,2.8874,,2.4688,,255,,221,,0,,255,,105,,,
960.0333,713460,0.074950013,0.952803387,19.83,,19.1,,,841.1333,840.0333,9,,19.76,,19.76,,,,,4.448,,10.792,,2.0645,,2.0333,,2.136,,0.9733,,-0.4265,,4.07E-03,2.8878,,2.464,,255,,212,,0,,255,,105,,,
