Time ADSA [s],Time Gravimetry [s],CO2 Density [g/mL],Sample Density [g/mL],Interfacial Tension [mN/m]
0,712860,0.074959206,0.952803387,17.14
0.0333,712980,0.074953058,0.952803387,17.15
120.0333,713100,0.074950041,0.952803387,17.36
240.0333,713220,0.074950032,0.952803387,17.94
360.0333,713340,0.074950023,0.952803387,18.46
480.0333,713460,0.074950013,0.952803387,18.71
600.0333,713460,0.074950013,0.952803387,19.1
720.0333,713460,0.074950013,0.952803387,19.11
840.0333,713460,0.074950013,0.952803387,19.05
960.0333,713460,0.074950013,0.952803387,19.1
1080.0333,714480,0.043980528,0.951088364,19.81
1200.0333,714480,0.043980528,0.951088364,19.75
1320.0333,714480,0.043980528,0.951088364,19.81
1440.0333,714480,0.043980528,0.951088364,19.73
1560.0333,714480,0.043980528,0.951088364,19.79
1680.0333,714660,0.043546629,0.951088364,19.85
1800.0333,714780,0.043546561,0.951088364,19.77
1920.0333,714900,0.043546495,0.951088364,19.75
2040.0333,715020,0.043546428,0.951088364,19.8
2160.0333,715140,0.043546362,0.951088364,19.72
2280.0333,715260,0.043546296,0.951088364,19.74
2400.0333,715380,0.043546228,0.951088364,19.72
2520.0333,715500,0.043546163,0.951088364,19.77
2640.0333,715620,0.043546095,0.951088364,19.74
2760.0333,715620,0.043546095,0.951088364,19.77
2880.0333,715800,0.043672542,0.951088364,19.75
3000.0333,715920,0.043672475,0.951088364,19.75
3120.0333,716040,0.043672409,0.951088364,19.73
3240.0333,716160,0.043672341,0.951088364,19.79
3360.0333,716280,0.043672275,0.951088364,19.72
3480.0333,716400,0.043672209,0.951088364,19.88
3600.0333,716520,0.043672142,0.951088364,19.78
3720.0333,716640,0.043672076,0.951088364,19.74
3840.0333,716760,0.04367201,0.951088364,19.84
3960.0333,716880,0.043671943,0.951088364,19.82
4080.0333,717060,0.043671877,0.951088364,19.71
4200.0333,717180,0.043671809,0.951088364,19.71
4320.0333,717300,0.043671742,0.951088364,19.77
4440.0333,717420,0.043671676,0.951088364,19.68
4560.0333,717540,0.043671608,0.951088364,19.83
4680.0333,717660,0.043671544,0.951088364,19.8
4800.0333,717780,0.043671475,0.951088364,19.79
4920.0333,717900,0.04367141,0.951088364,19.83
5040.0333,718020,0.043671343,0.951088364,19.78
5160.0333,718140,0.043671277,0.951088364,19.76
5280.0333,718140,0.043671277,0.951088364,19.8
5400.0333,718320,0.04367121,0.951088364,19.78
5520.0333,718440,0.043671143,0.951088364,19.74
5640.0333,718560,0.043671078,0.951088364,19.82
5760.0333,718680,0.043671008,0.951088364,19.75
5880.0333,718800,0.043670944,0.951088364,19.82
6000.0333,718920,0.043670875,0.951088364,19.6
6120.0333,719040,0.043670811,0.951088364,19.68
6240.0333,719160,0.043670744,0.951088364,19.8
6360.0333,719280,0.043670676,0.951088364,19.81
6480.0333,719460,0.043670611,0.951088364,19.78
6600.0333,719580,0.043670544,0.951088364,19.77
6720.0333,719700,0.043670478,0.951088364,19.75
6840.0333,719820,0.043670411,0.951088364,19.78
6960.0333,719940,0.043670344,0.951088364,19.74
7080.0333,720000,0.07494906,0.952803387,18.93
7200.0333,720180,0.043670211,0.951088364,19.78
7320.0333,720300,0.043670145,0.951088364,19.8
7440.0333,720420,0.043670077,0.951088364,19.81
7560.0333,720540,0.043670011,0.951088364,19.82
7680.0333,720540,0.043670011,0.951088364,19.82
7800.0333,720720,0.043669945,0.951088364,19.73
7920.0333,720840,0.043669878,0.951088364,19.84
8040.0333,720960,0.043669812,0.951088364,19.66
8160.0333,721080,0.043669744,0.951088364,19.81
8280.0333,721200,0.043669679,0.951088364,19.59
8400.0333,721320,0.043669611,0.951088364,19.81
8520.0333,721440,0.043669545,0.951088364,19.8
8640.0333,721560,0.043669479,0.951088364,19.69
8760.0333,721680,0.043669412,0.951088364,19.84
8880.0333,721860,0.043669346,0.951088364,19.66
9000.0333,721980,0.043669278,0.951088364,19.8
9120.0333,722100,0.043669212,0.951088364,19.75
9240.0333,722220,0.043669145,0.951088364,19.78
9360.0333,722340,0.043669079,0.951088364,19.8
9480.0333,722460,0.043669013,0.951088364,19.76
9600.0333,722580,0.043668945,0.951088364,19.92
9720.0333,722700,0.043668879,0.951088364,19.76
9840.0333,722820,0.043668812,0.951088364,19.8
9960.0333,722940,0.043668746,0.951088364,19.8
10080.0333,722940,0.043668746,0.951088364,19.75
10200.0333,723120,0.043668679,0.951088364,19.89
10320.0333,723240,0.043668612,0.951088364,19.73
10440.0333,723360,0.043668547,0.951088364,19.79
10560.0333,723480,0.043668479,0.951088364,19.7
10680.0333,723600,0.043668413,0.951088364,19.77
10800.0333,723720,0.043668346,0.951088364,19.7
10920.0333,723840,0.04366828,0.951088364,19.7
11040.0333,723960,0.043668213,0.951088364,19.82
11160.0333,724080,0.043668146,0.951088364,19.74
11280.0333,724200,0.04366808,0.951088364,19.79
11400.0333,724380,0.043668013,0.951088364,19.81
11520.0333,724500,0.043667946,0.951088364,19.79
11640.0333,724620,0.043667879,0.951088364,19.58
11760.0333,724740,0.043667813,0.951088364,19.82
11880.0333,724860,0.043667746,0.951088364,19.79
12000.0333,724980,0.04366768,0.951088364,19.81
12120.0333,725100,0.043667613,0.951088364,19.8
12240.0333,725220,0.043667546,0.951088364,19.82
12360.0333,725340,0.04366748,0.951088364,19.74
12480.0333,725340,0.04366748,0.951088364,19.79
12600.0333,725520,0.043667413,0.951088364,19.79
12720.0333,725640,0.043667347,0.951088364,19.8
12840.0333,725760,0.043667281,0.951088364,19.77
12960.0333,725880,0.043667214,0.951088364,19.84
13080.0333,726000,0.043667148,0.951088364,19.78
13200.0333,726120,0.043667081,0.951088364,19.81
13320.0333,726240,0.043667014,0.951088364,19.86
13440.0333,726360,0.043666948,0.951088364,19.82
13560.0333,726480,0.04366688,0.951088364,19.82
13680.0333,726600,0.043666815,0.951088364,19.78
13800.0333,726780,0.043666747,0.951088364,19.76
13920.0333,726900,0.04366668,0.951088364,19.83
14040.0333,727020,0.043666615,0.951088364,19.87
14160.0333,727140,0.043666548,0.951088364,19.83
14280.0333,727260,0.043666482,0.951088364,19.64
14400.0333,727380,0.043666414,0.951088364,19.78
14520.0333,727500,0.043666349,0.951088364,19.67
14640.0333,727620,0.043666281,0.951088364,19.82
14760.0333,727740,0.043666215,0.951088364,19.77
14880.0333,727860,0.043666148,0.951088364,19.78
15000.0333,727860,0.043666148,0.951088364,19.82
15120.0333,728040,0.043666081,0.951088364,19.79
15240.0333,728160,0.043666016,0.951088364,19.81
15360.0333,728280,0.043665947,0.951088364,19.85
15480.0333,728400,0.043665882,0.951088364,19.83
15600.0333,728520,0.043665815,0.951088364,19.78
15720.0333,728640,0.043665749,0.951088364,19.82
15840.0333,728760,0.043665683,0.951088364,19.92
15960.0333,728880,0.043665615,0.951088364,19.86
16080.0333,729000,0.043665549,0.951088364,19.9
16200.0333,729180,0.043665482,0.951088364,19.71
16320.0333,729300,0.043665416,0.951088364,19.85
16440.0333,729420,0.043665349,0.951088364,19.89
16560.0333,729540,0.043665282,0.951088364,20.12
16680.0333,729660,0.043665217,0.951088364,19.85
16800.0333,729780,0.043665149,0.951088364,19.8
16920.0333,729900,0.043665083,0.951088364,19.77
17040.0333,730020,0.043665016,0.951088364,20.06
17160.0333,730140,0.04366495,0.951088364,19.88
17280.0333,730260,0.043664883,0.951088364,19.75
17400.0333,730260,0.043664883,0.951088364,19.81
17520.0333,730440,0.043664816,0.951088364,19.79
17640.0333,730560,0.04366475,0.951088364,19.91
17760.0333,730680,0.043664683,0.951088364,19.87
17880.0333,730800,0.043664617,0.951088364,19.84
18000.0333,730920,0.04366455,0.951088364,19.8
18120.0333,731040,0.043664483,0.951088364,19.82
18240.0333,731160,0.043664417,0.951088364,19.8
18360.0333,731280,0.04366435,0.951088364,19.84
18480.0333,731400,0.043664284,0.951088364,19.84
18600.0333,731580,0.043664216,0.951088364,19.82
18720.0333,731700,0.043664151,0.951088364,19.82
18840.0333,731820,0.043664084,0.951088364,19.81
18960.0333,731940,0.043664017,0.951088364,19.8
19080.0333,732060,0.043663951,0.951088364,19.89
19200.0333,732180,0.043663884,0.951088364,20.02
19320.0333,732300,0.043663818,0.951088364,19.8
19440.0333,732420,0.04366375,0.951088364,19.93
19560.0333,732540,0.043663684,0.951088364,19.79
19680.0333,732660,0.043663618,0.951088364,19.75
19800.0333,732660,0.043663618,0.951088364,19.88
