Run,Graph,Index,Y_Axis          Y2_Axis,Data,Data,Data,Data,Data,Data,Data,Data,Data
Secs,Secs,,PndVol,PndVol,PndArea,TipWdth,WetTipW,Contrst,Sharp,Black,White,Edge
1.1,0,1,4.611,4.611,11.101,2.0681,2.0419,255,210,0,255,105
1.1333,0.0333,2,4.625,4.625,11.128,2.0685,2.0333,255,229,0,255,105
121.1333,120.0333,3,4.614,4.614,11.104,2.0684,2.0419,255,210,0,255,105
241.1333,240.0333,4,4.583,4.583,11.043,2.068,2.0419,255,217,0,255,105
361.1333,360.0333,5,4.536,4.536,10.954,2.0671,2.0247,255,225,0,255,105
481.1333,480.0333,6,4.492,4.492,10.872,2.0658,2.0247,255,212,0,255,105
601.1333,600.0333,7,4.45,4.45,10.792,2.0653,2.0333,255,216,0,255,105
721.1333,720.0333,8,4.467,4.467,10.827,2.0654,2.0333,255,221,0,255,105
841.1333,840.0333,9,4.448,4.448,10.792,2.0645,2.0333,255,212,0,255,105
961.1333,960.0333,10,4.468,4.468,10.83,2.0649,2.0247,255,213,0,255,105
1081.1333,1080.0333,11,4.468,4.468,10.83,2.0646,2.0247,255,231,0,255,105
1201.1333,1200.0333,12,4.455,4.455,10.806,2.0636,2.0247,255,210,0,255,105
1321.1333,1320.0333,13,4.473,4.473,10.842,2.064,2.0162,255,227,0,255,105
1441.1333,1440.0333,14,4.454,4.454,10.804,2.0637,2.0247,255,212,0,255,105
1561.1333,1560.0333,15,4.471,4.471,10.838,2.0637,2.0162,255,227,0,255,105
1681.1333,1680.0333,16,4.463,4.463,10.823,2.0636,2.0247,255,211,0,255,105
1801.1333,1800.0333,17,4.452,4.452,10.8,2.0634,2.0419,255,211,0,255,105
1921.1333,1920.0333,18,4.471,4.471,10.837,2.0636,2.0247,255,225,0,255,105
2041.1333,2040.0333,19,4.451,4.451,10.799,2.0635,2.0247,255,223,0,255,105
2161.1333,2160.0333,20,4.452,4.452,10.8,2.0636,2.0247,255,208,0,255,105
2281.1333,2280.0333,21,4.454,4.454,10.804,2.0633,2.0247,255,215,0,255,105
2401.1333,2400.0333,22,4.456,4.456,10.81,2.0626,2.0333,255,216,0,255,105
2521.1333,2520.0333,23,4.463,4.463,10.822,2.0632,2.0333,255,216,0,255,105
2641.1333,2640.0333,24,4.46,4.46,10.816,2.063,2.0333,255,225,0,255,105
2761.1333,2760.0333,25,4.443,4.443,10.784,2.0626,2.0333,255,210,0,255,105
2881.1333,2880.0333,26,4.45,4.45,10.797,2.0677,2.0333,255,217,0,255,105
3001.1333,3000.0333,27,4.454,4.454,10.806,2.0625,2.0247,255,216,0,255,105
3121.1333,3120.0333,28,4.438,4.438,10.776,2.062,2.0419,255,216,0,255,105
3241.1333,3240.0333,29,4.471,4.471,10.839,2.0674,2.0247,255,214,0,255,105
3361.1333,3360.0333,30,4.461,4.461,10.819,2.0628,2.0247,255,211,0,255,105
3481.1333,3480.0333,31,4.451,4.451,10.798,2.063,2.0247,255,211,0,255,105
3601.1333,3600.0333,32,4.445,4.445,10.787,2.0624,1.999,255,210,0,255,105
3721.1333,3720.0333,33,4.462,4.462,10.823,2.0615,2.0333,255,234,0,255,105
3841.1333,3840.0333,34,4.439,4.439,10.775,2.0626,2.0247,255,210,0,255,105
3961.1333,3960.0333,35,4.436,4.436,10.77,2.0628,2.0247,255,209,0,255,105
4081.1333,4080.0333,36,4.434,4.434,10.771,2.0605,2.0247,255,225,0,255,105
4201.1333,4200.0333,37,4.457,4.457,10.812,2.0617,2.0247,255,216,0,255,105
4321.1333,4320.0333,38,4.452,4.452,10.801,2.0624,2.0247,255,210,0,255,105
4441.1333,4440.0333,39,4.441,4.441,10.781,2.0623,2.0247,255,234,0,255,105
4561.1333,4560.0333,40,4.436,4.436,10.77,2.0623,2.0247,255,220,0,255,105
4681.1333,4680.0333,41,4.448,4.448,10.794,2.0623,2.0247,255,212,0,255,105
4801.1333,4800.0333,42,4.447,4.447,10.791,2.0625,2.0247,255,209,0,255,105
4921.1333,4920.0333,43,4.439,4.439,10.776,2.0621,2.0247,255,209,0,255,105
5041.1333,5040.0333,44,4.45,4.45,10.8,2.0644,2.0162,255,211,0,255,105
5161.1333,5160.0333,45,4.452,4.452,10.803,2.0615,2.0162,255,214,0,255,105
5281.1333,5280.0333,46,4.444,4.444,10.786,2.0623,2.0162,255,216,0,255,105
5401.1333,5400.0333,47,4.45,4.45,10.797,2.0625,2.0162,255,209,0,255,105
5521.1333,5520.0333,48,4.439,4.439,10.777,2.062,2.0162,255,210,0,255,105
5641.1333,5640.0333,49,4.451,4.451,10.799,2.0629,2.0162,255,213,0,255,105
5761.1333,5760.0333,50,4.456,4.456,10.81,2.0617,2.0247,255,215,0,255,105
5881.1333,5880.0333,51,4.445,4.445,10.789,2.0621,2.0162,255,218,0,255,105
6001.1333,6000.0333,52,4.448,4.448,10.796,2.0629,2.0247,255,218,0,255,105
6121.1333,6120.0333,53,4.466,4.466,10.829,2.0618,2.0247,255,210,0,255,105
6241.1333,6240.0333,54,4.472,4.472,10.84,2.0625,2.0247,255,209,0,255,105
6361.1333,6360.0333,55,4.469,4.469,10.835,2.0625,2.0247,255,223,0,255,105
6481.1333,6480.0333,56,4.451,4.451,10.8,2.0622,2.0333,255,212,0,255,105
6601.1333,6600.0333,57,4.454,4.454,10.804,2.0639,2.0247,255,212,0,255,105
6721.1333,6720.0333,58,4.454,4.454,10.806,2.0616,2.0247,255,212,0,255,105
6841.1333,6840.0333,59,4.449,4.449,10.796,2.0622,2.0247,255,210,0,255,105
6961.1333,6960.0333,60,4.442,4.442,10.782,2.062,2.0247,255,212,0,255,105
7081.1333,7080.0333,61,4.441,4.441,10.778,2.0643,2.0247,255,237,0,255,105
7201.1333,7200.0333,62,4.455,4.455,10.808,2.0621,2.0333,255,211,0,255,105
7321.1333,7320.0333,63,4.447,4.447,10.791,2.0618,2.0162,255,215,0,255,105
7441.1333,7440.0333,64,4.457,4.457,10.811,2.0623,2.0333,255,211,0,255,105
7561.1333,7560.0333,65,4.447,4.447,10.792,2.0621,2.0419,255,221,0,255,105
7681.1333,7680.0333,66,4.465,4.465,10.827,2.0639,2.0247,255,226,0,255,105
7801.1333,7800.0333,67,4.466,4.466,10.829,2.0623,2.0247,255,209,0,255,105
7921.1333,7920.0333,68,4.464,4.464,10.823,2.0624,2.0247,255,223,0,255,105
8041.1333,8040.0333,69,4.445,4.445,10.788,2.0621,2.0247,255,220,0,255,105
8161.1333,8160.0333,70,4.462,4.462,10.821,2.0636,2.0247,255,214,0,255,105
8281.1333,8280.0333,71,4.434,4.434,10.771,2.0595,2.0247,255,211,0,255,105
8401.1333,8400.0333,72,4.461,4.461,10.82,2.0618,2.0162,255,212,0,255,105
8521.1333,8520.0333,73,4.477,4.477,10.85,2.0621,2.0162,255,208,0,255,105
8641.1333,8640.0333,74,4.454,4.454,10.805,2.0623,2.0333,255,209,0,255,105
8761.1333,8760.0333,75,4.456,4.456,10.807,2.0628,2.0247,255,215,0,255,105
8881.1333,8880.0333,76,4.449,4.449,10.796,2.0619,2.0247,255,209,0,255,105
9001.1333,9000.0333,77,4.45,4.45,10.798,2.0622,2.0247,255,210,0,255,105
