Time ADSA [s],Time Gravimetry [s],CO2 Density [g/mL],Sample Density [g/mL],Interfacial Tension [mN/m]
0,15000,1.93E-05,0.983832509,25.33
0.0333,15000,1.93E-05,0.983832509,25.31
120.0333,15000,1.93E-05,0.983832509,25.14
240.0333,15000,1.93E-05,0.983832509,25.28
360.0333,15000,1.93E-05,0.983832509,25.33
480.0333,15000,1.93E-05,0.983832509,25.44
600.0333,15000,1.93E-05,0.983832509,25.24
720.0333,15120,1.93E-05,0.983832509,24.93
840.0333,15240,1.93E-05,0.983832509,25.17
960.0333,15360,1.93E-05,0.983832509,25.22
1080.0333,15480,1.93E-05,0.983832509,25.32
1200.0333,15600,1.92E-05,0.983832509,25.09
1320.0333,15780,1.92E-05,0.983832509,25.39
1440.0333,15900,2.47E-05,0.983832509,25.42
1560.0333,16020,2.46E-05,0.983832509,25.54
1680.0333,16140,2.63E-05,0.983832509,25.38
1800.0333,16260,1.91E-05,0.983832509,25.24
1920.0333,16380,2.63E-05,0.983832509,25.44
2040.0333,16500,2.62E-05,0.983832509,25.11
2160.0333,16500,2.62E-05,0.983832509,25.24
2280.0333,16680,2.62E-05,0.983832509,25.14
2400.0333,16800,2.62E-05,0.983832509,25.61
2520.0333,16920,2.62E-05,0.983832509,25.54
2640.0333,17040,2.61E-05,0.983832509,25.37
2760.0333,17160,2.61E-05,0.983832509,25.42
2880.0333,17280,2.41E-05,0.983832509,25.44
3000.0333,17400,2.61E-05,0.983832509,25.41
3120.0333,17580,2.60E-05,0.983832509,25.23
3240.0333,17700,3.32E-05,0.983832509,25.31
3360.0333,17820,2.60E-05,0.983832509,25.37
3480.0333,17940,2.60E-05,0.983832509,25.47
3600.0333,18060,2.80E-05,0.983832509,25.1
3720.0333,18180,2.59E-05,0.983832509,25.5
3840.0333,18300,2.09E-05,0.983832509,24.9
3960.0333,18300,2.09E-05,0.983832509,25.13
4080.0333,18480,2.80E-05,0.983832509,25.42
4200.0333,18600,2.58E-05,0.983832509,25.75
4320.0333,18720,2.58E-05,0.983832509,25.32
4440.0333,18840,2.58E-05,0.983832509,25.16
4560.0333,18960,3.29E-05,0.983832509,25.6
4680.0333,19080,3.29E-05,0.983832509,25.58
4800.0333,19200,3.06E-05,0.983832509,25.49
4920.0333,19320,2.80E-05,0.983832509,25.29
5040.0333,19500,2.57E-05,0.983832509,25.36
5160.0333,19620,3.28E-05,0.983832509,25.22
5280.0333,19740,2.56E-05,0.983832509,25.34
5400.0333,19860,2.56E-05,0.983832509,25.29
5520.0333,19980,3.27E-05,0.983832509,25.08
5640.0333,20100,3.27E-05,0.983832509,25.11
5760.0333,20220,3.27E-05,0.983832509,25.46
5880.0333,20220,3.27E-05,0.983832509,25.27
6000.0333,20400,2.55E-05,0.983832509,25.27
6120.0333,20520,3.26E-05,0.983832509,25.29
6240.0333,20640,3.26E-05,0.983832509,25.08
6360.0333,20760,3.26E-05,0.983832509,25.42
6480.0333,20880,3.26E-05,0.983832509,25.46
6600.0333,21000,2.54E-05,0.983832509,25.67
6720.0333,21120,2.54E-05,0.983832509,25.46
6840.0333,21300,2.80E-05,0.983832509,25.38
6960.0333,21420,3.25E-05,0.983832509,24.94
7080.0333,21540,3.25E-05,0.983832509,25.5
7200.0333,21660,3.24E-05,0.983832509,25.43
7320.0333,21780,3.24E-05,0.983832509,25.16
