Run,Graph,Index,Y_Axis          Y2_Axis,Data,Data,Data,Data,Data,Data,Data,Data,Data
Secs,Secs,,PndVol,PndVol,PndArea,TipWdth,WetTipW,Contrst,Sharp,Black,White,Edge
1.1,0,1,3.568,3.568,9.1525,2.046,2.0295,255,203,0,255,105
1.1333,0.0333,2,3.576,3.576,9.1682,2.0471,2.0295,255,210,0,255,105
121.1333,120.0333,3,3.578,3.578,9.1722,2.0476,2.0295,255,204,0,255,105
241.1333,240.0333,4,3.575,3.575,9.1649,2.0467,2.0295,255,205,0,255,105
361.1333,360.0333,5,3.573,3.573,9.1618,2.047,2.0295,255,204,0,255,105
481.1333,480.0333,6,3.577,3.577,9.1714,2.0458,2.0295,255,217,0,255,105
601.1333,600.0333,7,3.591,3.591,9.1975,2.0482,2.0295,255,205,0,255,105
721.1333,720.0333,8,3.607,3.607,9.2268,2.0483,2.0295,255,217,0,255,105
841.1333,840.0333,9,3.618,3.618,9.2483,2.0486,2.0295,255,208,0,255,105
961.1333,960.0333,10,3.607,3.607,9.2259,2.0492,2.0295,255,214,0,255,105
1081.1333,1080.0333,11,3.614,3.614,9.2396,2.0486,2.0295,255,202,0,255,105
1201.1333,1200.0333,12,3.611,3.611,9.236,2.0482,2.0295,255,221,0,255,105
1321.1333,1320.0333,13,3.597,3.597,9.2067,2.0468,2.0295,255,204,0,255,105
1441.1333,1440.0333,14,3.603,3.603,9.2188,2.047,2.0295,255,206,0,255,105
1561.1333,1560.0333,15,3.629,3.629,9.2696,2.0483,2.0295,255,203,0,255,105
1681.1333,1680.0333,16,3.623,3.623,9.2573,2.0486,2.0295,255,201,0,255,105
1801.1333,1800.0333,17,3.613,3.613,9.2389,2.0475,2.0295,255,219,0,255,105
1921.1333,1920.0333,18,3.635,3.635,9.282,2.049,2.0295,255,206,0,255,105
2041.1333,2040.0333,19,3.599,3.599,9.21,2.0477,2.0295,255,213,0,255,105
2161.1333,2160.0333,20,3.615,3.615,9.2433,2.0486,2.0295,255,225,0,255,105
