Time ADSA [s],Time Gravimetry [s],CO2 Density [g/mL],Sample Density [g/mL],Interfacial Tension [mN/m]
0,82800,0.002465093,0.983679693,24.89
0.0333,82800,0.002465093,0.983679693,25.16
120.0333,82980,0.002465088,0.983679693,25.22
240.0333,83100,0.002465083,0.983679693,25
360.0333,83220,0.002465078,0.983679693,25.09
480.0333,83340,0.002465072,0.983679693,25
600.0333,83460,0.002465066,0.983679693,24.55
720.0333,83580,0.00246506,0.983679693,24.67
840.0333,83700,0.002465054,0.983679693,24.63
960.0333,83700,0.002465054,0.983679693,24.25
1080.0333,83880,0.002467861,0.983679693,24.59
1200.0333,83880,0.002467861,0.983679693,24.55
1320.0333,84360,0.008090387,0.98488868,24.25
1440.0333,84360,0.008090387,0.98488868,24.15
1560.0333,84360,0.008090387,0.98488868,24.53
1680.0333,84480,0.00813656,0.98488868,24.47
1800.0333,84660,0.00814422,0.98488868,24.46
1920.0333,84780,0.008144156,0.98488868,24.35
2040.0333,84900,0.008144092,0.98488868,24.33
2160.0333,85020,0.008144028,0.98488868,24.29
2280.0333,85140,0.008143964,0.98488868,24.39
2400.0333,85260,0.008143899,0.98488868,24.51
2520.0333,85380,0.008143835,0.98488868,24.62
2640.0333,85500,0.008143771,0.98488868,24.34
2760.0333,85500,0.008143771,0.98488868,24.5
2880.0333,85680,0.008143707,0.98488868,24.6
3000.0333,85800,0.008143643,0.98488868,24.66
3120.0333,85920,0.008143577,0.98488868,24.46
3240.0333,86040,0.008143513,0.98488868,24.58
3360.0333,86160,0.008143447,0.98488868,24.27
3480.0333,86280,0.008143384,0.98488868,24.34
3600.0333,86400,0.008116339,0.98488868,24.34
3720.0333,86520,0.008116275,0.98488868,24.42
3840.0333,86700,0.00811621,0.98488868,24.33
3960.0333,86820,0.008116145,0.98488868,24.47
4080.0333,86940,0.008116082,0.98488868,24.51
4200.0333,87060,0.008116018,0.98488868,24.3
4320.0333,87180,0.008115953,0.98488868,24.53
4440.0333,87300,0.008115889,0.98488868,24.24
4560.0333,87420,0.008115824,0.98488868,24.57
4680.0333,87540,0.00811576,0.98488868,24.49
4800.0333,87540,0.00811576,0.98488868,24.46
4920.0333,87720,0.008115695,0.98488868,24.52
5040.0333,87840,0.008115631,0.98488868,24.47
5160.0333,87960,0.008115567,0.98488868,24.55
5280.0333,88080,0.008115502,0.98488868,24.63
5400.0333,88200,0.008115439,0.98488868,24.49
5520.0333,88320,0.008115373,0.98488868,24.52
5640.0333,88440,0.00811531,0.98488868,24.08
5760.0333,88560,0.008115245,0.98488868,24.28
5880.0333,88740,0.008115182,0.98488868,24.29
6000.0333,88860,0.008115118,0.98488868,24.6
6120.0333,88980,0.008115054,0.98488868,24.28
6240.0333,89100,0.00811499,0.98488868,24.28
6360.0333,89220,0.008114925,0.98488868,24.43
6480.0333,89340,0.008114861,0.98488868,24.51
6600.0333,89460,0.008114797,0.98488868,24.42
6720.0333,89580,0.008114733,0.98488868,24.23
6840.0333,89580,0.008114733,0.98488868,24.4
6960.0333,89760,0.008114669,0.98488868,24.54
7080.0333,89880,0.008114603,0.98488868,24.39
7200.0333,90000,0.008114539,0.98488868,24.47
7320.0333,90120,0.008114475,0.98488868,24.2
7440.0333,90240,0.008114411,0.98488868,24.47
7560.0333,90360,0.008114346,0.98488868,24.37
7680.0333,90480,0.008114281,0.98488868,24.42
7800.0333,90600,0.008114218,0.98488868,24.26
7920.0333,90780,0.008114153,0.98488868,24.52
8040.0333,90900,0.00811409,0.98488868,24.5
8160.0333,91020,0.008114026,0.98488868,24.66
8280.0333,91140,0.008113961,0.98488868,24.38
8400.0333,91260,0.008113897,0.98488868,24.38
8520.0333,91380,0.008113833,0.98488868,24.13
8640.0333,91500,0.008113769,0.98488868,24.08
8760.0333,91620,0.008113705,0.98488868,24.19
8880.0333,91620,0.008113705,0.98488868,24.43
9000.0333,91800,0.008113641,0.98488868,24.25
9120.0333,91920,0.008113577,0.98488868,24.43
9240.0333,92040,0.008113512,0.98488868,24.56
9360.0333,92160,0.008113447,0.98488868,24.64
9480.0333,92280,0.008113384,0.98488868,24.23
9600.0333,92400,0.008113318,0.98488868,24.34
9720.0333,92520,0.008113255,0.98488868,24.09
9840.0333,92640,0.00811319,0.98488868,24.32
9960.0333,92820,0.008113126,0.98488868,24.43
10080.0333,92940,0.008113062,0.98488868,24.32
10200.0333,93060,0.008112997,0.98488868,24.54
10320.0333,93180,0.008112933,0.98488868,23.89
10440.0333,93300,0.008112869,0.98488868,24.35
10560.0333,93420,0.008112805,0.98488868,24.58
10680.0333,93540,0.008112741,0.98488868,24.17
10800.0333,93660,0.008112677,0.98488868,24.5
10920.0333,93660,0.008112677,0.98488868,24.56
11040.0333,93840,0.008112612,0.98488868,24.56
11160.0333,93960,0.008112547,0.98488868,24.37
11280.0333,94080,0.008112484,0.98488868,24.49
11400.0333,94200,0.00811242,0.98488868,24.57
11520.0333,94320,0.008112356,0.98488868,24.3
11640.0333,94440,0.008112292,0.98488868,24.49
11760.0333,94560,0.008112226,0.98488868,24.37
11880.0333,94680,0.008112163,0.98488868,24.43
12000.0333,94860,0.008112099,0.98488868,24.34
12120.0333,94980,0.008112035,0.98488868,25.62
12240.0333,95100,0.008111971,0.98488868,24.47
12360.0333,95220,0.008111906,0.98488868,24.35
12480.0333,95340,0.008111841,0.98488868,24.32
12600.0333,95460,0.008111777,0.98488868,24.44
12720.0333,95580,0.008111713,0.98488868,24.5
12840.0333,95700,0.008111648,0.98488868,24.8
12960.0333,95700,0.008111648,0.98488868,24.54
13080.0333,95880,0.008111584,0.98488868,24.27
13200.0333,96000,0.00811152,0.98488868,24.49
13320.0333,96120,0.008111455,0.98488868,24.44
13440.0333,96240,0.008111392,0.98488868,24.42
13560.0333,96360,0.008111326,0.98488868,24
13680.0333,96480,0.008111264,0.98488868,24.4
13800.0333,96600,0.008111199,0.98488868,24.29
13920.0333,96720,0.008111135,0.98488868,23.92
14040.0333,96900,0.008111071,0.98488868,23.78
14160.0333,96900,0.008111071,0.98488868,23.95
14280.0333,96900,0.008111071,0.98488868,23.4
14400.0333,96900,0.008111071,0.98488868,23.39
14520.0333,96900,0.008111071,0.98488868,23.58
14640.0333,97980,0.016209463,0.985439344,23.55
14760.0333,97980,0.016209463,0.985439344,23.54
14880.0333,97980,0.016209463,0.985439344,23.33
15000.0333,97980,0.016209463,0.985439344,23.47
15120.0333,97980,0.016209463,0.985439344,23.52
15240.0333,98100,0.016244306,0.985439344,23.46
15360.0333,98220,0.016244204,0.985439344,23.38
15480.0333,98340,0.016244101,0.985439344,23.62
15600.0333,98340,0.016244101,0.985439344,23.59
15720.0333,98520,0.016243998,0.985439344,23.45
15840.0333,98640,0.016243895,0.985439344,23.49
15960.0333,98760,0.016243792,0.985439344,23.42
16080.0333,98880,0.01624369,0.985439344,23.52
16200.0333,99000,0.016243587,0.985439344,23.51
16320.0333,99120,0.016243484,0.985439344,23.47
16440.0333,99240,0.016243381,0.985439344,23.45
16560.0333,99360,0.016243278,0.985439344,23.27
16680.0333,99540,0.016243176,0.985439344,23.25
16800.0333,99660,0.016208127,0.985439344,23.23
16920.0333,99780,0.016208024,0.985439344,23.22
17040.0333,99900,0.016207922,0.985439344,23.43
17160.0333,100020,0.016207819,0.985439344,23.45
17280.0333,100140,0.016207715,0.985439344,23.5
17400.0333,100260,0.016207613,0.985439344,23.23
17520.0333,100260,0.016207613,0.985439344,23.15
17640.0333,100440,0.016207511,0.985439344,23.53
17760.0333,100560,0.016207408,0.985439344,23.49
17880.0333,100680,0.016207304,0.985439344,23.34
18000.0333,100800,0.016207201,0.985439344,23.42
18120.0333,100920,0.0162071,0.985439344,23.44
18240.0333,101040,0.016206997,0.985439344,23.37
18360.0333,101160,0.016206894,0.985439344,23.49
18480.0333,101280,0.016206791,0.985439344,23.49
18600.0333,101460,0.016206688,0.985439344,23.4
18720.0333,101580,0.016206586,0.985439344,23.42
18840.0333,101700,0.016206482,0.985439344,23.48
18960.0333,101820,0.01620638,0.985439344,23.25
19080.0333,101940,0.016206277,0.985439344,23.38
19200.0333,102060,0.016206173,0.985439344,23.41
19320.0333,102180,0.016206071,0.985439344,23.55
19440.0333,102300,0.016205968,0.985439344,23.54
19560.0333,102300,0.016205968,0.985439344,23.41
19680.0333,102480,0.016205866,0.985439344,23.41
19800.0333,102600,0.016205763,0.985439344,22.97
19920.0333,102720,0.01620566,0.985439344,23.55
20040.0333,102840,0.016205557,0.985439344,23.32
20160.0333,102960,0.016205454,0.985439344,23.35
20280.0333,103080,0.016205353,0.985439344,23.56
20400.0333,103200,0.016205249,0.985439344,23.33
20520.0333,103320,0.016205146,0.985439344,23.44
20640.0333,103500,0.016205044,0.985439344,23.32
20760.0333,103620,0.016204939,0.985439344,23.43
20880.0333,103740,0.016204837,0.985439344,23.08
21000.0333,103860,0.016204735,0.985439344,23.51
21120.0333,103980,0.016204632,0.985439344,23.3
21240.0333,104100,0.01620453,0.985439344,23.57
21360.0333,104220,0.016204426,0.985439344,23.59
