*.txt,Time Gravimetry [s],CO2 Density [g/mL],Sample Density [g/mL]
0,10182,0.001695112,0.984926618
0.0334,10182,0.001695112,0.984926618
300.0334,10182,0.001695112,0.984926618
600.0334,10182,0.001695112,0.984926618
900.0334,10182,0.001695112,0.984926618
1200.0334,10182,0.001695112,0.984926618
1500.0334,10182,0.001695112,0.984926618
1800.0334,10182,0.001695112,0.984926618
2100.0334,10182,0.001695112,0.984926618
2400.0334,10182,0.001695112,0.984926618
2700.0334,10182,0.001695112,0.984926618
3000.0334,10182,0.001695112,0.984926618
3300.0334,10182,0.001695112,0.984926618
3600.0334,10182,0.001695112,0.984926618
3900.0334,10182,0.001695112,0.984926618
4200.0334,10182,0.001695112,0.984926618
4500.0334,10182,0.001695112,0.984926618
4800.0334,10182,0.001695112,0.984926618
5100.0334,10182,0.001695112,0.984926618
5400.0334,10182,0.001695112,0.984926618
5700.0334,10182,0.001695112,0.984926618
6000.0334,10182,0.001695112,0.984926618
6300.0334,10182,0.001695112,0.984926618
6600.0334,10182,0.001695112,0.984926618
6900.0334,10182,0.001695112,0.984926618
7200.0334,10182,0.001695112,0.984926618
7500.0334,10182,0.001695112,0.984926618
7800.0334,10182,0.001695112,0.984926618
8100.0334,10182,0.001695112,0.984926618
8400.0334,10182,0.001695112,0.984926618
8700.0334,10182,0.001695112,0.984926618
9000.0334,10182,0.001695112,0.984926618
9300.0334,10182,0.001695112,0.984926618
9600.0334,10182,0.001695112,0.984926618
9900.0334,10182,0.001695112,0.984926618
10200.0334,10182,0.001695112,0.984926618
10500.0334,10182,0.001695112,0.984926618
10800.0334,10182,0.001695112,0.984926618
11100.0334,10182,0.001695112,0.984926618
11400.0334,10182,0.001695112,0.984926618
11700.0334,10182,0.001695112,0.984926618
12000.0334,10182,0.001695112,0.984926618
12300.0334,10182,0.001695112,0.984926618
12600.0334,10182,0.001695112,0.984926618
12900.0334,10182,0.001695112,0.984926618
13200.0334,10182,0.001695112,0.984926618
13500.0334,10182,0.001695112,0.984926618
13800.0334,10182,0.001695112,0.984926618
14100.0334,10182,0.001695112,0.984926618
14400.0334,10182,0.001695112,0.984926618
14700.0334,10182,0.001695112,0.984926618
15000.0334,10182,0.001695112,0.984926618
15300.0334,10182,0.001695112,0.984926618
15600.0334,10182,0.001695112,0.984926618
15900.0334,10182,0.001695112,0.984926618
16200.0334,10182,0.001695112,0.984926618
16500.0334,10182,0.001695112,0.984926618
16800.0334,10182,0.001695112,0.984926618
17100.0334,10182,0.001695112,0.984926618
17400.0334,10182,0.001695112,0.984926618
17700.0334,10182,0.001695112,0.984926618
18000.0334,10182,0.001695112,0.984926618
18300.0334,10182,0.001695112,0.984926618
18600.0334,10182,0.001695112,0.984926618
18900.0334,10182,0.001695112,0.984926618
19200.0334,10182,0.001695112,0.984926618
19500.0334,10182,0.001695112,0.984926618
19800.0334,10182,0.001695112,0.984926618
20100.0334,10182,0.001695112,0.984926618
20400.0334,10182,0.001695112,0.984926618
20700.0334,10182,0.001695112,0.984926618
21000.0334,10182,0.001695112,0.984926618
21300.0334,10182,0.001695112,0.984926618
21600.0334,10182,0.001695112,0.984926618
21900.0334,10182,0.001695112,0.984926618
22200.0334,10182,0.001695112,0.984926618
22500.0334,10182,0.001695112,0.984926618
22800.0334,10182,0.001695112,0.984926618
23100.0334,10182,0.001695112,0.984926618
23400.0334,10182,0.001695112,0.984926618
23700.0334,10182,0.001695112,0.984926618
24000.0334,10182,0.001695112,0.984926618
24300.0334,10182,0.001695112,0.984926618
24600.0334,10182,0.001695112,0.984926618
24900.0334,10182,0.001695112,0.984926618
25200.0334,10182,0.001695112,0.984926618
25500.0334,10182,0.001695112,0.984926618
25800.0334,10182,0.001695112,0.984926618
26100.0334,10182,0.001695112,0.984926618
26400.0334,10182,0.001695112,0.984926618
26700.0334,10182,0.001695112,0.984926618
27000.0334,10182,0.001695112,0.984926618
27300.0334,10182,0.001695112,0.984926618
27600.0334,10182,0.001695112,0.984926618
27900.0334,10182,0.001695112,0.984926618
