Run,Graph,Index,Y_Axis          Y2_Axis,Data,Data,Data,Data,Data,Data,Data,Data,Data
Secs,Secs,,PndVol,PndVol,PndArea,TipWdth,WetTipW,Contrst,Sharp,Black,White,Edge
1.1,0,1,3.964,3.964,9.9529,2.0662,2.0637,255,208,0,255,105
1.1333,0.0333,2,3.997,3.997,9.9682,2.065,2.0637,255,213,0,255,105
301.1333,300.0333,3,3.988,3.988,9.9507,2.0654,2.0637,255,230,0,255,105
601.1333,600.0333,4,3.987,3.987,9.9862,2.0669,2.0637,255,202,0,255,105
901.1333,900.0333,5,4.066,4.066,10.104,2.0678,2.0637,255,213,0,255,105
1201.1333,1200.0333,6,4.05,4.05,10.109,2.0683,2.0637,255,211,0,255,105
1501.1333,1500.0333,7,4.056,4.056,10.083,2.0674,2.038,255,227,0,255,105
1801.1333,1800.0333,8,4.028,4.028,10.069,2.0704,2.038,255,208,0,255,105
2101.1333,2100.0333,9,4.039,4.039,10.073,2.0693,2.038,255,213,0,255,105
2401.1333,2400.0333,10,4.08,4.08,10.132,2.0681,2.038,255,202,0,255,105
2701.1333,2700.0333,11,4.066,4.066,10.136,2.0699,2.038,255,229,0,255,105
3001.1333,3000.0333,12,4.09,4.09,10.15,2.0689,2.038,255,234,0,255,105
3301.1333,3300.0333,13,4.064,4.064,10.1,2.0674,2.038,255,224,0,255,105
3601.1333,3600.0333,14,4.039,4.039,10.087,2.0675,2.038,255,204,0,255,105
3901.1333,3900.0333,15,4.049,4.049,10.109,2.0687,2.038,255,238,0,255,105
4201.1333,4200.0333,16,4.061,4.061,10.095,2.0676,2.038,255,200,0,255,105
4501.1333,4500.0333,17,4.079,4.079,10.13,2.0684,2.038,255,202,0,255,105
4801.1333,4800.0333,18,4.039,4.039,10.084,2.0698,2.038,255,201,0,255,105
5101.1333,5100.0333,19,4.046,4.046,10.102,2.069,2.038,255,229,0,255,105
5401.1333,5400.0333,20,4.054,4.054,10.116,2.0693,2.038,255,208,0,255,105
5701.1333,5700.0333,21,4.089,4.089,10.148,2.068,2.038,255,218,0,255,105
6001.1333,6000.0333,22,4.047,4.047,10.105,2.0692,2.038,255,207,0,255,105
6301.1333,6300.0333,23,4.054,4.054,10.118,2.0696,2.038,255,208,0,255,105
6601.1333,6600.0333,24,4.068,4.068,10.148,2.0698,2.038,255,228,0,255,105
6901.1333,6900.0333,25,4.05,4.05,10.107,2.069,2.038,255,206,0,255,105
7201.1333,7200.0333,26,4.058,4.058,10.126,2.0693,2.038,255,227,0,255,105
7501.1333,7500.0333,27,4.111,4.111,10.192,2.0696,2.038,255,208,0,255,105
7801.1333,7800.0333,28,4.085,4.085,10.174,2.071,2.038,255,205,0,255,105
8101.1333,8100.0333,29,4.131,4.131,10.237,2.0692,2.038,255,211,0,255,105
8401.1333,8400.0333,30,4.06,4.06,10.127,2.0683,2.038,255,212,0,255,105
8701.1333,8700.0333,31,4.072,4.072,10.152,2.068,2.038,255,231,0,255,105
9001.1333,9000.0333,32,4.046,4.046,10.104,2.0687,2.0209,255,205,0,255,105
9301.1333,9300.0333,33,4.051,4.051,10.112,2.0697,2.0209,255,203,0,255,105
9601.1333,9600.0333,34,4.086,4.086,10.144,2.0681,2.0209,255,200,0,255,105
9901.1333,9900.0333,35,4.059,4.059,10.128,2.0695,2.0209,255,223,0,255,105
10201.1333,10200.0333,36,4.091,4.091,10.147,2.0694,2.0637,255,208,0,255,105
10501.1333,10500.0333,37,4.1,4.1,10.167,2.069,2.0637,255,215,0,255,105
