3.639,Time Gravimetry [s],CO2 Density [g/mL],Sample Density [g/mL],,,,,,,
0,508980,0.187472841,0.951892844,,,,,,,
0.0333,509100,0.187472762,0.951892844,,,,,,,
300.0333,509100,0.187472762,0.951892844,,,,,,,
600.0333,509100,0.187472762,0.951892844,,,,,,,
900.0333,510480,0.172996928,0.956788488,,,,,,,
1200.0333,510480,0.172996928,0.956788488,,,,,,,
1500.0333,510600,0.172554238,0.956788488,,,,,,,
1800.0333,510840,0.171671486,0.956788488,,,,,,,
2100.0333,511200,0.171318821,0.956788488,,,,,,,45.9
2400.0333,511500,0.171318334,0.956788488,,,,,,,46
2700.0333,511740,0.170878707,0.956788488,,,,,,,46
3000.0333,512100,0.170965737,0.956788488,,,,,,,46.1
3300.0333,512400,0.170614423,0.956788488,,,,,,,46.2
3600.0333,512640,0.170613932,0.956788488,,,,,,,40
3900.0333,513000,0.170262928,0.956788488,,,,,,,40
4200.0333,513240,0.17034996,0.956788488,,,,,,,46.3
4500.0333,513540,0.170524611,0.956788488,,,,,,,
4800.0333,513900,0.170348741,0.956788488,,,,,,,
5100.0333,514140,0.170348257,0.956788488,,,,,,,
5400.0333,514380,0.170172769,0.956788488,,,,,,,
5700.0333,514800,0.17051757,0.956788488,,,,,,,
6000.0333,515040,0.170259038,0.956788488,,,,,,,
6300.0333,515400,0.170258306,0.956788488,,,,,,,
6600.0333,515700,0.169908096,0.956788488,,,,,,,
6900.0333,515940,0.170084385,0.956788488,,,,,,,
7200.0333,516300,0.169994263,0.956788488,,,,,,,
7500.0333,516540,0.170256121,0.956788488,,,,,,,
7800.0333,516840,0.169993291,0.956788488,,,,,,,
8100.0333,517200,0.170342422,0.956788488,,,,,,,
8400.0333,517440,0.170166938,0.956788488,,,,,,,
8700.0333,517740,0.170369477,0.956788488,,,,,,,
9000.0333,518100,0.170165724,0.956788488,,,,,,,
9300.0333,518340,0.170340232,0.956788488,,,,,,,
9600.0333,518700,0.17025199,0.956788488,,,,,,,
9900.0333,519000,0.170339019,0.956788488,,,,,,,
10200.0333,519240,0.170338528,0.956788488,,,,,,,
10500.0333,519600,0.17042535,0.956788488,,,,,,,
10800.0333,519900,0.170162321,0.956788488,,,,,,,
11100.0333,520140,0.170161836,0.956788488,,,,,,,
11400.0333,520440,0.170026097,0.956788488,,,,,,,
11700.0333,520440,0.170026097,0.956788488,,,,,,,
12000.0333,521100,0.140191368,0.964750186,,,,,,,
12300.0333,521340,0.139881505,0.964750186,,,,,,,
12600.0333,521640,0.139741521,0.964750186,,,,,,,
12900.0333,522000,0.139323656,0.964750186,,,,,,,
13200.0333,522240,0.139739206,0.964750186,,,,,,,
13500.0333,522480,0.139599343,0.964750186,,,,,,,
13800.0333,522900,0.139459133,0.964750186,,,,,,,
14100.0333,523140,0.139319497,0.964750186,,,,,,,
14400.0333,523500,0.139179513,0.964750186,,,,,,,
14700.0333,523800,0.139137515,0.964750186,,,,,,,
15000.0333,524040,0.139177667,0.964750186,,,,,,,
15300.0333,524400,0.138622949,0.964750186,,,,,,,
15600.0333,524640,0.13862203,0.964750186,,,,,,,
15900.0333,524940,0.138483028,0.964750186,,,,,,,
16200.0333,525300,0.138481647,0.964750186,,,,,,,
16500.0333,525540,0.13834274,0.964750186,,,,,,,
16800.0333,525780,0.13820393,0.964750186,,,,,,,
17100.0333,526200,0.13806475,0.964750186,,,,,,,
17400.0333,526440,0.13792612,0.964750186,,,,,,,
17700.0333,526800,0.137924744,0.964750186,,,,,,,
18000.0333,527100,0.137923821,0.964750186,,,,,,,
18300.0333,527340,0.137785282,0.964750186,,,,,,,
18600.0333,527700,0.137783904,0.964750186,,,,,,,
18900.0333,527940,0.13764545,0.964750186,,,,,,,
19200.0333,528240,0.137507074,0.964750186,,,,,,,
19500.0333,528600,0.137505699,0.964750186,,,,,,,
19800.0333,528840,0.137367401,0.964750186,,,,,,,
20100.0333,529140,0.137503867,0.964750186,,,,,,,
20400.0333,529500,0.137227809,0.964750186,,,,,,,
20700.0333,529620,0.137364655,0.964750186,,,,,,,
21000.0333,529620,0.137364655,0.964750186,,,,,,,
21300.0333,529620,0.137364655,0.964750186,,,,,,,
21600.0333,529620,0.137364655,0.964750186,,,,,,,
21900.0333,529620,0.137364655,0.964750186,,,,,,,
22200.0333,529620,0.137364655,0.964750186,,,,,,,
22500.0333,529620,0.137364655,0.964750186,,,,,,,
22800.0333,529620,0.137364655,0.964750186,,,,,,,
23100.0333,529620,0.137364655,0.964750186,,,,,,,
23400.0333,529620,0.137364655,0.964750186,,,,,,,
23700.0333,535800,0.063642427,0.984050386,,,,,,,
24000.0333,535800,0.063642427,0.984050386,,,,,,,
24300.0333,535800,0.063642427,0.984050386,,,,,,,
24600.0333,535800,0.063642427,0.984050386,,,,,,,
24900.0333,535800,0.063642427,0.984050386,,,,,,,
25200.0333,535800,0.063642427,0.984050386,,,,,,,
25500.0333,535800,0.063642427,0.984050386,,,,,,,
25800.0333,535800,0.063642427,0.984050386,,,,,,,
26100.0333,535800,0.063642427,0.984050386,,,,,,,
26400.0333,535800,0.063642427,0.984050386,,,,,,,
26700.0333,535800,0.063642427,0.984050386,,,,,,,
27000.0333,536040,0.061947761,0.984050386,,,,,,,
27300.0333,536400,0.062111383,0.984050386,,,,,,,
27600.0333,536640,0.06211028,0.984050386,,,,,,,
27900.0333,536940,0.062109179,0.984050386,,,,,,,
28200.0333,537300,0.062107524,0.984050386,,,,,,,
28500.0333,537540,0.062106423,0.984050386,,,,,,,
28800.0333,537780,0.062105321,0.984050386,,,,,,,
29100.0333,538200,0.062103668,0.984050386,,,,,,,
29400.0333,538440,0.062102566,0.984050386,,,,,,,
29700.0333,538800,0.062100912,0.984050386,,,,,,,
30000.0333,539100,0.06209981,0.984050386,,,,,,,
30300.0333,539340,0.062098708,0.984050386,,,,,,,
30600.0333,539700,0.062097053,0.984050386,,,,,,,
30900.0333,539940,0.062095951,0.984050386,,,,,,,
31200.0333,540240,0.062094849,0.984050386,,,,,,,
31500.0333,540600,0.062093197,0.984050386,,,,,,,
31800.0333,540840,0.062092094,0.984050386,,,,,,,
32100.0333,541140,0.062090992,0.984050386,,,,,,,
32400.0333,541500,0.062089337,0.984050386,,,,,,,
32700.0333,541740,0.062088236,0.984050386,,,,,,,
33000.0333,542100,0.062086583,0.984050386,,,,,,,
33300.0333,542400,0.06208548,0.984050386,,,,,,,
33600.0333,542640,0.062084378,0.984050386,,,,,,,
33900.0333,543000,0.062082726,0.984050386,,,,,,,
34200.0333,543300,0.062081623,0.984050386,,,,,,,
34500.0333,543540,0.062080522,0.984050386,,,,,,,
34800.0333,543900,0.062078868,0.984050386,,,,,,,
35100.0333,544080,0.062062565,0.984050386,,,,,,,
35400.0333,544080,0.062062565,0.984050386,,,,,,,
35700.0333,545280,0.040777086,0.984812834,,,,,,,
36000.0333,545280,0.040777086,0.984812834,,,,,,,
36300.0333,545280,0.040777086,0.984812834,,,,,,,
36600.0333,545700,0.030624398,0.987294373,,,,,,,
36900.0333,545940,0.030624248,0.987294373,,,,,,,
37200.0333,546300,0.030624026,0.987294373,,,,,,,
37500.0333,546600,0.030623877,0.987294373,,,,,,,
37800.0333,546840,0.030750456,0.987294373,,,,,,,
38100.0333,547200,0.030750232,0.987294373,,,,,,,
38400.0333,547440,0.030750083,0.987294373,,,,,,,
38700.0333,547740,0.030749933,0.987294373,,,,,,,
39000.0333,548100,0.030749709,0.987294373,,,,,,,
39300.0333,548340,0.03074956,0.987294373,,,,,,,
39600.0333,548640,0.030749411,0.987294373,,,,,,,
39900.0333,549000,0.030749188,0.987294373,,,,,,,
40200.0333,549240,0.030749039,0.987294373,,,,,,,
40500.0333,549480,0.03074889,0.987294373,,,,,,,
40800.0333,549900,0.030748665,0.987294373,,,,,,,
41100.0333,550140,0.030748516,0.987294373,,,,,,,
41400.0333,550500,0.030748293,0.987294373,,,,,,,
41700.0333,550800,0.030748144,0.987294373,,,,,,,
42000.0333,551040,0.030747995,0.987294373,,,,,,,
42300.0333,551400,0.030747772,0.987294373,,,,,,,
42600.0333,551640,0.030747623,0.987294373,,,,,,,
42900.0333,551940,0.030747472,0.987294373,,,,,,,
43200.0333,552300,0.030747249,0.987294373,,,,,,,
43500.0333,552540,0.030747098,0.987294373,,,,,,,
43800.0333,552840,0.030746951,0.987294373,,,,,,,
44100.0333,553200,0.030746727,0.987294373,,,,,,,
44400.0333,553440,0.030746578,0.987294373,,,,,,,
44700.0333,553800,0.030746354,0.987294373,,,,,,,
45000.0333,554100,0.030746205,0.987294373,,,,,,,
45300.0333,554340,0.030746056,0.987294373,,,,,,,
45600.0333,554700,0.030745832,0.987294373,,,,,,,
45900.0333,555000,0.030745683,0.987294373,,,,,,,
46200.0333,555240,0.030745534,0.987294373,,,,,,,
46500.0333,555600,0.030745309,0.987294373,,,,,,,
46800.0333,555840,0.030745162,0.987294373,,,,,,,
47100.0333,556140,0.030745012,0.987294373,,,,,,,
47400.0333,556500,0.030744788,0.987294373,,,,,,,
47700.0333,556740,0.030744639,0.987294373,,,,,,,
48000.0333,556980,0.030744489,0.987294373,,,,,,,
48300.0333,557400,0.030744267,0.987294373,,,,,,,
48600.0333,557640,0.030744118,0.987294373,,,,,,,
48900.0333,558000,0.030743895,0.987294373,,,,,,,
49200.0333,558300,0.030743745,0.987294373,,,,,,,
49500.0333,558540,0.030743594,0.987294373,,,,,,,
49800.0333,558900,0.030743372,0.987294373,,,,,,,
50100.0333,559200,0.030743223,0.987294373,,,,,,,
50400.0333,559440,0.030743074,0.987294373,,,,,,,
50700.0333,559800,0.03074285,0.987294373,,,,,,,
51000.0333,560040,0.030742701,0.987294373,,,,,,,
51300.0333,560340,0.030742553,0.987294373,,,,,,,
51600.0333,560700,0.030742327,0.987294373,,,,,,,
51900.0333,560940,0.030742178,0.987294373,,,,,,,
52200.0333,561180,0.03074203,0.987294373,,,,,,,
52500.0333,561600,0.030741805,0.987294373,,,,,,,
52800.0333,561840,0.030741657,0.987294373,,,,,,,
53100.0333,562200,0.030741434,0.987294373,,,,,,,
53400.0333,562500,0.030741285,0.987294373,,,,,,,
53700.0333,562740,0.030741134,0.987294373,,,,,,,
54000.0333,563100,0.030740911,0.987294373,,,,,,,
54300.0333,563340,0.030740762,0.987294373,,,,,,,
54600.0333,563640,0.030740613,0.987294373,,,,,,,
54900.0333,564000,0.03074039,0.987294373,,,,,,,
55200.0333,564240,0.030740241,0.987294373,,,,,,,
55500.0333,564540,0.030740092,0.987294373,,,,,,,
55800.0333,564900,0.030739867,0.987294373,,,,,,,
56100.0333,565140,0.030739718,0.987294373,,,,,,,
56400.0333,565380,0.030739569,0.987294373,,,,,,,
56700.0333,565800,0.030739346,0.987294373,,,,,,,
57000.0333,566040,0.030739197,0.987294373,,,,,,,
57300.0333,566400,0.030738973,0.987294373,,,,,,,
57600.0333,566700,0.030738824,0.987294373,,,,,,,
57900.0333,566940,0.030738674,0.987294373,,,,,,,
58200.0333,567300,0.03073845,0.987294373,,,,,,,
58500.0333,567540,0.030738301,0.987294373,,,,,,,
58800.0333,567840,0.030738153,0.987294373,,,,,,,
59100.0333,568200,0.030737929,0.987294373,,,,,,,
59400.0333,568440,0.03073778,0.987294373,,,,,,,
59700.0333,568740,0.030737631,0.987294373,,,,,,,
60000.0333,569100,0.030737406,0.987294373,,,,,,,
60300.0333,569340,0.030737257,0.987294373,,,,,,,
60600.0333,569700,0.030737033,0.987294373,,,,,,,
60900.0333,570000,0.030736885,0.987294373,,,,,,,
61200.0333,570240,0.030736736,0.987294373,,,,,,,
61500.0333,570600,0.030736513,0.987294373,,,,,,,
61800.0333,570900,0.030736364,0.987294373,,,,,,,
62100.0333,571140,0.030736215,0.987294373,,,,,,,
62400.0333,571500,0.03073599,0.987294373,,,,,,,
62700.0333,571740,0.030735841,0.987294373,,,,,,,
63000.0333,572040,0.030735692,0.987294373,,,,,,,
63300.0333,572400,0.030735469,0.987294373,,,,,,,
63600.0333,572640,0.03073532,0.987294373,,,,,,,
63900.0333,572940,0.030735171,0.987294373,,,,,,,
64200.0333,573300,0.030734946,0.987294373,,,,,,,
64500.0333,573540,0.030734797,0.987294373,,,,,,,
64800.0333,573900,0.030734573,0.987294373,,,,,,,
65100.0333,574200,0.030734425,0.987294373,,,,,,,
65400.0333,574440,0.030734276,0.987294373,,,,,,,
65700.0333,574800,0.030734052,0.987294373,,,,,,,
66000.0333,575100,0.030733902,0.987294373,,,,,,,
66300.0333,575340,0.030733755,0.987294373,,,,,,,
66600.0333,575700,0.030733529,0.987294373,,,,,,,
66900.0333,575940,0.03073338,0.987294373,,,,,,,
67200.0333,576240,0.030733232,0.987294373,,,,,,,
67500.0333,576600,0.030733008,0.987294373,,,,,,,
67800.0333,576840,0.030732858,0.987294373,,,,,,,
68100.0333,577080,0.03073271,0.987294373,,,,,,,
68400.0333,577500,0.030732487,0.987294373,,,,,,,
68700.0333,577740,0.030732336,0.987294373,,,,,,,
69000.0333,578100,0.030732113,0.987294373,,,,,,,
69300.0333,578400,0.030731963,0.987294373,,,,,,,
69600.0333,578640,0.030731815,0.987294373,,,,,,,
69900.0333,579000,0.030731592,0.987294373,,,,,,,
70200.0333,579300,0.030731443,0.987294373,,,,,,,
70500.0333,579540,0.030731294,0.987294373,,,,,,,
70800.0333,579900,0.030731069,0.987294373,,,,,,,
