,Graph,Index,Y_Axis          Y2_Axis,Data,Data,Data,Data,Data,Data,,Data,Data
Secs,Secs,,PndVol,PndVol,PndArea,TipWdth,WetTipW,Contrst,Sharp,,White,Edge
1.1333,0,1,3.566,3.566,9.1628,2.0409,2.0209,255,202,,255,105
1.1667,0.0334,2,3.578,3.578,9.187,2.0412,2.0209,255,216,,255,105
301.1667,300.0334,3,3.583,3.583,9.1957,2.0413,2.0038,255,221,,255,105
601.1667,600.0334,4,3.588,3.588,9.2031,2.0406,2.0038,255,193,,255,105
901.1667,900.0334,5,3.589,3.589,9.2058,2.0416,2.0038,255,192,,255,105
1201.1667,1200.0334,6,3.575,3.575,9.1763,2.0412,2.0038,255,193,,255,105
1501.1667,1500.0334,7,3.579,3.579,9.1859,2.0412,2.0038,255,197,,255,105
1801.1667,1800.0334,8,3.564,3.564,9.1562,2.0397,2.0038,255,197,,255,105
2101.1667,2100.0334,9,3.564,3.564,9.1573,2.0397,2.0038,255,199,0,255,105
2401.1667,2400.0334,10,3.568,3.568,9.1646,2.0394,2.0038,255,205,0,255,105
2701.1667,2700.0334,11,3.557,3.557,9.1442,2.0397,2.0038,255,192,,255,105
3001.1667,3000.0334,12,3.564,3.564,9.158,2.0397,2.0038,255,200,,255,105
3301.1667,3300.0334,13,3.575,3.575,9.1791,2.0402,2.0038,255,192,,255,105
3601.1667,3600.0334,14,3.556,3.556,9.1425,2.0401,2.0038,255,220,,255,105
3901.1667,3900.0334,15,3.585,3.585,9.1999,2.0403,2.0209,255,193,0,255,105
4201.1667,4200.0334,16,3.56,3.56,9.151,2.0398,2.0038,255,214,0,255,105
4501.1667,4500.0334,17,3.569,3.569,9.1686,2.0401,2.0295,255,199,0,255,105
4801.1667,4800.0334,18,3.555,3.555,9.1407,2.0391,2.0209,255,202,0,255,105
5101.1667,5100.0334,19,3.553,3.553,,2.04,2.0209,255,192,0,255,105
5401.1667,5400.0334,20,3.553,3.553,9.1353,2.0391,2.0209,255,202,0,255,105
5701.1667,5700.0334,21,3.56,3.56,9.1504,2.0389,2.0209,255,191,0,255,105
6001.1667,6000.0334,22,3.555,3.555,9.1406,2.0392,2.0209,255,197,0,255,105
6301.1667,6300.0334,23,3.562,3.562,9.1533,2.0397,2.0209,255,192,0,255,105
6601.1667,6600.0334,24,3.559,3.559,9.1476,2.0392,2.0209,255,194,0,255,105
6901.1667,6900.0334,25,3.555,3.555,9.1401,2.0394,2.0124,255,202,0,255,105
7201.1667,7200.0334,26,3.559,3.559,9.1465,2.0397,2.0124,255,199,0,255,105
7501.1667,7500.0334,27,3.56,3.56,9.1493,2.0395,2.0124,255,190,0,255,105
7801.1667,7800.0334,28,3.564,3.564,9.1579,2.0398,2.0124,255,198,0,255,105
