Time ADSA [s],Time Gravimetry [s],CO2 Density [g/mL],Sample Density [g/mL],Interfacial Tension [mN/m]
0,331200,0.011278382,0.997262037,24.14
0.0333,331200,0.011278382,0.997262037,24.38
300.0333,331200,0.011278382,0.997262037,24.89
600.0333,331200,0.011278382,0.997262037,23.58
900.0333,331740,0.018366867,1.002273478,23.66
1200.0333,331980,0.018366698,1.002273478,23.57
1500.0333,332220,0.018366528,1.002273478,23.55
1800.0333,332640,0.018335874,1.002273478,23.5
2100.0333,332880,0.018318706,1.002273478,23.5
2400.0333,333240,0.018318452,1.002273478,23.57
2700.0333,333540,0.018318281,1.002273478,23.45
3000.0333,333780,0.018318112,1.002273478,23.68
3300.0333,334140,0.018317859,1.002273478,23.22
3600.0333,334380,0.01831769,1.002273478,23.4
3900.0333,334680,0.018317521,1.002273478,23.46
4200.0333,335040,0.018317267,1.002273478,23.43
4500.0333,335280,0.018317097,1.002273478,23.58
4800.0333,335580,0.018316928,1.002273478,23.64
5100.0333,335940,0.018316674,1.002273478,23.4
5400.0333,336180,0.018316505,1.002273478,23.36
5700.0333,336540,0.018316251,1.002273478,23.34
6000.0333,336840,0.018316081,1.002273478,23.57
6300.0333,337080,0.018315912,1.002273478,23.42
6600.0333,337440,0.018315658,1.002273478,23.56
6900.0333,337680,0.018315489,1.002273478,23.27
7200.0333,337980,0.01831532,1.002273478,23.53
7500.0333,338340,0.018315065,1.002273478,23.5
7800.0333,338580,0.018314894,1.002273478,23.62
8100.0333,338880,0.018314726,1.002273478,23.38
8400.0333,339240,0.018314473,1.002273478,23.53
8700.0333,339480,0.018314304,1.002273478,23.28
9000.0333,339840,0.018314051,1.002273478,23.31
9300.0333,340140,0.01831388,1.002273478,23.58
9600.0333,340380,0.018313711,1.002273478,23.55
9900.0333,340740,0.018313458,1.002273478,23.61
10200.0333,341040,0.018313289,1.002273478,23.48
10500.0333,341280,0.01831312,1.002273478,23.36
10800.0333,341640,0.018312866,1.002273478,23.62
11100.0333,341880,0.018312697,1.002273478,23.45
11400.0333,342180,0.018312526,1.002273478,23.51
11700.0333,342540,0.018312273,1.002273478,23.35
12000.0333,342780,0.018312104,1.002273478,23.58
12300.0333,343140,0.018264465,1.002273478,23.38
12600.0333,343440,0.018264295,1.002273478,23.55
12900.0333,343680,0.018264126,1.002273478,23.64
13200.0333,344040,0.018263871,1.002273478,23.46
13500.0333,344340,0.018263703,1.002273478,23.54
13800.0333,344580,0.018263534,1.002273478,23.43
14100.0333,344940,0.01826328,1.002273478,23.54
14400.0333,345180,0.01826311,1.002273478,23.66
14700.0333,345480,0.01826294,1.002273478,23.3
15000.0333,345840,0.018262687,1.002273478,23.49
15300.0333,346080,0.018262518,1.002273478,23.25
15600.0333,346440,0.018262265,1.002273478,23.27
15900.0333,346740,0.018262096,1.002273478,23.71
16200.0333,346980,0.018261927,1.002273478,23.62
16500.0333,347340,0.018261672,1.002273478,23.39
16800.0333,347640,0.018261503,1.002273478,23.55
17100.0333,347880,0.018261334,1.002273478,23.67
17400.0333,348240,0.01826108,1.002273478,23.54
17700.0333,348480,0.018260911,1.002273478,23.49
18000.0333,348600,0.018260827,1.002273478,22.96
