Run,Graph,Index,Y_Axis          Y2_Axis,Data,Data,Data,Data,Data,Data,Data,Data,Data            Data            Data            Data            Data            Data            Data            Data            Data,Run,Graph,Index,Y_Axis          Y2_Axis,Data,Data,Data,Data,Data,Data,Data,Data,Data
Secs,Secs,,PndVol,PndVol,PndArea,TipWdth,WetTipW,Contrst,Sharp,Black,White,Edge            IFT             Diam            LYb             LYBeta          LYErr           ApexX           ApexY           A.R.,Secs,Secs,,PndVol,PndVol,PndArea,TipWdth,WetTipW,Contrst,Sharp,Black,White,Edge
1.1333,0,1,4.272,4.272,10.521,2.0641,2.0466,255,225,0,255,105,1.1333,0,1,4.272,4.272,10.521,2.0641,2.0466,255,225,0,255,105
1.1667,0.0334,2,4.268,4.268,10.513,2.0641,2.0466,255,204,0,255,105,1.1667,0.0334,2,4.268,4.268,10.513,2.0641,2.0466,255,204,0,255,105
301.1667,300.0334,3,4.354,4.354,10.702,2.0653,2.038,255,207,0,255,105,301.1667,300.0334,3,4.354,4.354,10.702,2.0653,2.038,255,207,0,255,105
601.1667,600.0334,4,4.424,4.424,10.84,2.067,2.038,255,213,0,255,105,601.1667,600.0334,4,4.424,4.424,10.84,2.067,2.038,255,213,0,255,105
901.1667,900.0334,5,4.42,4.42,10.832,2.0676,2.0295,255,230,0,255,105,901.1667,900.0334,5,4.42,4.42,10.832,2.0676,2.0295,255,230,0,255,105
1201.1667,1200.0334,6,4.43,4.43,10.852,2.0682,2.0466,255,207,0,255,105,1201.1667,1200.0334,6,4.43,4.43,10.852,2.0682,2.0466,255,207,0,255,105
1501.1667,1500.0334,7,4.441,4.441,10.872,2.0691,2.0466,255,237,0,255,105,1501.1667,1500.0334,7,4.441,4.441,10.872,2.0691,2.0466,255,237,0,255,105
1801.1667,1800.0334,8,4.435,4.435,10.86,2.0692,2.038,255,206,0,255,105,1801.1667,1800.0334,8,4.435,4.435,10.86,2.0692,2.038,255,206,0,255,105
2101.1667,2100.0334,9,4.427,4.427,10.845,2.0695,2.0466,255,208,0,255,105,2101.1667,2100.0334,9,4.427,4.427,10.845,2.0695,2.0466,255,208,0,255,105
2401.1667,2400.0334,10,4.417,4.417,10.824,2.0699,2.038,255,204,0,255,105,2401.1667,2400.0334,10,4.417,4.417,10.824,2.0699,2.038,255,204,0,255,105
2701.1667,2700.0334,11,4.41,4.41,10.812,2.0698,2.0466,255,231,0,255,105,2701.1667,2700.0334,11,4.41,4.41,10.812,2.0698,2.0466,255,231,0,255,105
3001.1667,3000.0334,12,4.384,4.384,10.79,2.0701,2.0466,255,231,0,255,105,3001.1667,3000.0334,12,4.384,4.384,10.79,2.0701,2.0466,255,231,0,255,105
3301.1667,3300.0334,13,4.408,4.408,10.807,2.0703,2.038,255,206,0,255,105,3301.1667,3300.0334,13,4.408,4.408,10.807,2.0703,2.038,255,206,0,255,105
3601.1667,3600.0334,14,4.414,4.414,10.82,2.0703,2.038,255,209,0,255,105,3601.1667,3600.0334,14,4.414,4.414,10.82,2.0703,2.038,255,209,0,255,105
3901.1667,3900.0334,15,4.369,4.369,10.763,2.0703,2.038,255,230,0,255,105,3901.1667,3900.0334,15,4.369,4.369,10.763,2.0703,2.038,255,230,0,255,105
4201.1667,4200.0334,16,4.416,4.416,10.822,2.0703,2.038,255,222,0,255,105,4201.1667,4200.0334,16,4.416,4.416,10.822,2.0703,2.038,255,222,0,255,105
4501.1667,4500.0334,17,4.424,4.424,10.84,2.0702,2.038,255,237,0,255,105,4501.1667,4500.0334,17,4.424,4.424,10.84,2.0702,2.038,255,237,0,255,105
4801.1667,4800.0334,18,4.414,4.414,10.818,2.0706,2.038,255,234,0,255,105,4801.1667,4800.0334,18,4.414,4.414,10.818,2.0706,2.038,255,234,0,255,105
5101.1667,5100.0334,19,4.409,4.409,10.81,2.0708,2.038,255,225,0,255,105,5101.1667,5100.0334,19,4.409,4.409,10.81,2.0708,2.038,255,225,0,255,105
