p set [kPa],date,time,zero [g],p actual [kPa],T [C],date dp,time dp start,time dp end
45,7/16/2019,14:35:00,5.63332,49.4,60.11,7/16/2019,14:33:00,14:34:00
1330,7/17/2019,10:28:52,5.61248,1327.9,59.98,7/16/2019,18:18:0,18:20:00
3500,7/17/2019,19:21:22,5.57332,3490.1,60.01,7/17/2019,10:31:00,10:43:00
5500,7/18/2019,10:02:14,5.52911,5428.8,60.00,7/17/2019,19:20:00,19:45:00
6200,7/18/2019,19:42:59,5.51185,6163.5,60.09,7/18/2019,14:20:00,14:34:00
6600,7/19/2019,9:16:57,5.49910,6615.1,59.98,7/18/2019,19:44:00,19:46:00
7200,7/19/2019,13:48:01,5.48156,7209.2,60.00,7/19/2019,9:17:00,9:19:00
7850,7/22/2019,10:19:15,5.46080,7840.4,59.97,7/19/2019,16:48:00,16:49:00
6700,7/22/2019,14:54:29,5.49653,6706.1,59.98,7/22/2019,10:21:00,10:31:00
6300,7/22/2019,17:08:52,5.50815,6292.9,60.03,7/22/2019,14:55:00,15:33:00
5000,7/23/2019,9:34:47,5.54037,5005.0,60.00,7/22/2019,18:16:00,18:20:00
4000,7/23/2019,18:00:29,5.56218,4010.0,60.02,7/23/2019,9:39:00,9:43:00
2500,7/24/2019,10:43:07,5.59147,2491.0,59.96,7/23/2019,18:03:00,18:11:00
1000,7/24/2019,15:32:54,5.61661,1008.2,59.95,7/24/2019,10:45:00,11:00:00
500,7/24/2019,18:51:43,5.62459,502.6,60.01,7/24/2019,15:36:00,15:52:00
