p set [kPa],date,time,zero [g],p actual [kPa],T [C],date dp,time dp start,time dp end
2,7/25/2019,18:18:45,5.63265,2.1,60.06,7/25/2019,15:58:00,16:00:00
150,7/26/2019,11:18:48,5.62995,154.5,59.96,7/25/2019,18:21:00,18:21:30
500,7/26/2019,14:55:15,5.62457,501.8,60.03,7/26/2019,11:20:00,11:22:00
1000,7/26/2019,17:49:56,5.61696,984.7,60.00,7/26/2019,15:00:00,15:09:00
1500,7/29/2019,9:52:21,5.608193,1488.1,59.94,7/26/2019,17:55:00,17:58:00
2300,7/29/2019,13:04:26,5.59469,2292.8,59.9,7/29/2019,9:55:00,9:59:00
3100,7/29/2019,15:47:05,5.57984,3097.8,60.05,7/29/2019,13:05:00,13:10:00
3900,7/29/2019,18:23:25,5.56401,3895.0,60.04,7/29/2019,15:49:00,15:54:00
4900,7/30/2019,9:28:47,5.54278,4876.4,59.95,7/30/2019,18:25:00,18:34:00
5500,7/30/2019,12:30:02,5.52799,5488.3,59.87,7/30/2019,9:36:00,9:43:00
6300,7/30/2019,15:51:47,5.50942,6213.0,59.87,7/30/2019,12:41:00,12:55:00
7100,7/30/2019,18:30:54,5.48349,7116.1,60.11,7/30/2019,15:53:00,16:02:00
7900,7/31/2019,9:25:20,5.45778,7897.6,59.99,7/30/2019,18:34:00,18:41:00
7500,7/31/2019,12:34:29,5.47387,7423.0,60.00,7/31/2019,9:28:00,9:46:00
6500,7/31/2019,15:07:39,5.50387,6418.1,60.05,7/31/2019,12:36:00,12:39:00
3400,7/31/2019,19:08:14,5.57364,3414.7,60.06,7/31/2019,16:39:00,16:47:00
1800,8/1/2019,9:55:15,5.60323,1803.3,59.95,7/31/2019,19:13:00,19:23:00
110,8/1/2019,13:42:51,5.63030,106.3,60.02,8/1/2019,10:05:00,11:25:00
