Temperature (C),Pressure (kPa),Density (g/ml),Volume (ml/g),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
30,0,0,infinite,19.969,22.49,477.34,29.055,37.369,271.41,undefined,15.166,0.017002,vapor
30,100,0.0017543,570.02,19.942,22.45,121.18,29.155,37.652,270.68,10.479,15.174,0.017046,vapor
30,200,0.0035254,283.65,19.914,22.411,115.33,29.257,37.942,269.95,10.483,15.182,0.01709,vapor
30,300,0.0053137,188.19,19.886,22.371,111.86,29.36,38.239,269.22,10.487,15.19,0.017136,vapor
30,400,0.0071197,140.46,19.858,22.33,109.38,29.463,38.543,268.48,10.491,15.199,0.017183,vapor
30,500,0.0089437,111.81,19.829,22.29,107.43,29.569,38.855,267.73,10.495,15.209,0.017231,vapor
30,600,0.010786,92.711,19.801,22.249,105.82,29.675,39.174,266.99,10.499,15.219,0.017281,vapor
30,700,0.012648,79.065,19.772,22.208,104.44,29.782,39.501,266.23,10.503,15.229,0.017333,vapor
30,800,0.014529,68.829,19.743,22.166,103.23,29.891,39.837,265.48,10.507,15.241,0.017385,vapor
30,900,0.01643,60.865,19.713,22.124,102.15,30.001,40.181,264.72,10.511,15.253,0.01744,vapor
30,1000,0.018352,54.491,19.683,22.081,101.18,30.113,40.535,263.95,10.515,15.265,0.017496,vapor
30,1100,0.020294,49.275,19.653,22.039,100.28,30.226,40.898,263.18,10.518,15.279,0.017553,vapor
30,1200,0.022259,44.926,19.623,21.995,99.459,30.34,41.271,262.4,10.522,15.293,0.017613,vapor
30,1300,0.024246,41.244,19.592,21.952,98.69,30.456,41.655,261.62,10.525,15.307,0.017674,vapor
30,1400,0.026255,38.087,19.561,21.908,97.97,30.574,42.05,260.83,10.529,15.323,0.017738,vapor
30,1500,0.028289,35.349,19.53,21.863,97.29,30.693,42.457,260.04,10.532,15.339,0.017803,vapor
30,1600,0.030347,32.952,19.498,21.818,96.647,30.814,42.875,259.25,10.535,15.356,0.01787,vapor
30,1700,0.03243,30.836,19.466,21.773,96.034,30.937,43.307,258.44,10.538,15.374,0.01794,vapor
30,1800,0.034539,28.953,19.433,21.727,95.449,31.062,43.752,257.63,10.541,15.393,0.018012,vapor
30,1900,0.036674,27.267,19.401,21.681,94.888,31.189,44.211,256.82,10.544,15.412,0.018086,vapor
30,2000,0.038837,25.748,19.367,21.634,94.349,31.318,44.685,256,10.546,15.433,0.018163,vapor
30,2100,0.041029,24.373,19.334,21.586,93.829,31.448,45.174,255.17,10.548,15.455,0.018243,vapor
30,2200,0.04325,23.121,19.3,21.538,93.327,31.582,45.68,254.33,10.55,15.477,0.018325,vapor
30,2300,0.045501,21.977,19.265,21.49,92.839,31.717,46.204,253.49,10.552,15.501,0.018411,vapor
30,2400,0.047784,20.927,19.231,21.441,92.366,31.855,46.746,252.65,10.554,15.525,0.018499,vapor
30,2500,0.0501,19.96,19.195,21.391,91.906,31.995,47.308,251.79,10.555,15.551,0.018591,vapor
30,2600,0.052449,19.066,19.159,21.341,91.457,32.138,47.89,250.93,10.556,15.578,0.018686,vapor
30,2700,0.054834,18.237,19.123,21.29,91.018,32.284,48.495,250.06,10.557,15.606,0.018785,vapor
30,2800,0.057254,17.466,19.086,21.239,90.589,32.432,49.122,249.18,10.557,15.635,0.018888,vapor
30,2900,0.059713,16.747,19.049,21.186,90.169,32.584,49.775,248.29,10.557,15.666,0.018995,vapor
30,3000,0.062211,16.074,19.011,21.134,89.756,32.738,50.454,247.4,10.557,15.698,0.019106,vapor
30,3100,0.064749,15.444,18.973,21.08,89.351,32.896,51.162,246.5,10.556,15.732,0.019222,vapor
30,3200,0.067331,14.852,18.934,21.026,88.951,33.058,51.9,245.58,10.555,15.767,0.019342,vapor
30,3300,0.069956,14.295,18.894,20.97,88.558,33.223,52.67,244.66,10.553,15.803,0.019468,vapor
30,3400,0.072628,13.769,18.854,20.914,88.169,33.392,53.474,243.73,10.551,15.842,0.019599,vapor
30,3500,0.075348,13.272,18.813,20.857,87.786,33.565,54.316,242.79,10.548,15.882,0.019737,vapor
30,3600,0.078119,12.801,18.772,20.8,87.406,33.742,55.198,241.84,10.545,15.924,0.01988,vapor
30,3700,0.080943,12.354,18.729,20.741,87.03,33.924,56.123,240.88,10.541,15.968,0.020031,vapor
30,3800,0.083822,11.93,18.686,20.681,86.657,34.111,57.095,239.91,10.536,16.013,0.020188,vapor
30,3900,0.08676,11.526,18.642,20.621,86.286,34.303,58.117,238.92,10.53,16.061,0.020354,vapor
30,4000,0.089759,11.141,18.598,20.559,85.918,34.5,59.194,237.93,10.524,16.112,0.020528,vapor
30,4100,0.092823,10.773,18.552,20.496,85.552,34.703,60.33,236.92,10.517,16.164,0.02071,vapor
30,4200,0.095955,10.422,18.506,20.432,85.187,34.912,61.532,235.89,10.509,16.22,0.020903,vapor
30,4300,0.099159,10.085,18.458,20.367,84.822,35.128,62.804,234.86,10.5,16.278,0.021106,vapor
30,4400,0.10244,9.7619,18.41,20.3,84.459,35.351,64.155,233.81,10.49,16.339,0.021321,vapor
30,4500,0.1058,9.4517,18.36,20.232,84.095,35.581,65.591,232.74,10.479,16.403,0.021548,vapor
30,4600,0.10925,9.1535,18.31,20.163,83.731,35.819,67.122,231.65,10.467,16.47,0.021789,vapor
30,4700,0.11279,8.8663,18.258,20.092,83.365,36.066,68.758,230.55,10.453,16.541,0.022044,vapor
30,4800,0.11642,8.5894,18.204,20.019,82.999,36.323,70.511,229.44,10.438,16.616,0.022316,vapor
30,4900,0.12016,8.3219,18.15,19.944,82.63,36.59,72.395,228.3,10.421,16.695,0.022606,vapor
30,5000,0.12402,8.0633,18.094,19.868,82.259,36.868,74.425,227.14,10.402,16.778,0.022915,vapor
30,5100,0.12799,7.8129,18.036,19.79,81.885,37.158,76.621,225.96,10.382,16.867,0.023247,vapor
30,5200,0.1321,7.5701,17.976,19.709,81.507,37.461,79.004,224.75,10.359,16.96,0.023603,vapor
30,5300,0.13635,7.3342,17.915,19.626,81.125,37.78,81.603,223.52,10.334,17.06,0.023986,vapor
30,5400,0.14075,7.1048,17.852,19.54,80.738,38.114,84.447,222.26,10.306,17.165,0.024399,vapor
30,5500,0.14532,6.8812,17.786,19.452,80.344,38.467,87.578,220.97,10.276,17.278,0.024847,vapor
30,5600,0.15008,6.663,17.718,19.36,79.944,38.84,91.041,219.65,10.242,17.399,0.025335,vapor
30,5700,0.15505,6.4497,17.647,19.265,79.535,39.236,94.897,218.29,10.204,17.528,0.025867,vapor
30,5800,0.16024,6.2406,17.573,19.166,79.117,39.658,99.221,216.88,10.163,17.667,0.02645,vapor
30,5900,0.16569,6.0352,17.496,19.063,78.688,40.109,104.11,215.44,10.116,17.817,0.027094,vapor
30,6000,0.17144,5.833,17.415,18.955,78.247,40.595,109.68,213.94,10.065,17.98,0.027808,vapor
30,6100,0.17752,5.6333,17.33,18.842,77.79,41.121,116.11,212.38,10.007,18.158,0.028605,vapor
30,6200,0.18398,5.4354,17.24,18.723,77.316,41.694,123.61,210.75,9.9416,18.352,0.029502,vapor
30,6300,0.19089,5.2386,17.144,18.596,76.82,42.323,132.5,209.03,9.8676,18.567,0.030523,vapor
30,6400,0.19834,5.0418,17.041,18.461,76.299,43.022,143.22,207.22,9.7833,18.806,0.031696,vapor
30,6500,0.20644,4.844,16.929,18.315,75.747,43.808,156.45,205.3,9.6862,19.076,0.033064,vapor
30,6600,0.21535,4.6436,16.808,18.157,75.156,44.704,173.24,203.21,9.5731,19.383,0.034689,vapor
