Temperature (C),Pressure (kPa),Density (g/ml),Volume (ml/g),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
31,0,0,infinite,19.998,22.527,477.43,29.1,37.414,271.81,undefined,15.215,0.017084,vapor
31,100,0.0017485,571.93,19.971,22.488,121.31,29.199,37.695,271.09,10.392,15.222,0.017127,vapor
31,200,0.0035135,284.62,19.943,22.449,115.45,29.299,37.981,270.36,10.396,15.23,0.017171,vapor
31,300,0.0052954,188.84,19.916,22.409,111.99,29.401,38.274,269.64,10.4,15.238,0.017217,vapor
31,400,0.0070947,140.95,19.888,22.369,109.51,29.503,38.574,268.91,10.403,15.247,0.017264,vapor
31,500,0.0089119,112.21,19.86,22.329,107.56,29.606,38.882,268.17,10.407,15.257,0.017312,vapor
31,600,0.010747,93.047,19.831,22.288,105.95,29.711,39.197,267.43,10.411,15.267,0.017361,vapor
31,700,0.012601,79.357,19.802,22.247,104.57,29.817,39.519,266.69,10.415,15.277,0.017412,vapor
31,800,0.014475,69.087,19.773,22.206,103.36,29.924,39.85,265.94,10.419,15.289,0.017465,vapor
31,900,0.016367,61.097,19.744,22.164,102.29,30.032,40.19,265.19,10.422,15.301,0.017519,vapor
31,1000,0.018281,54.703,19.715,22.122,101.31,30.142,40.538,264.43,10.426,15.313,0.017575,vapor
31,1100,0.020214,49.47,19.685,22.08,100.42,30.253,40.896,263.67,10.429,15.326,0.017632,vapor
31,1200,0.02217,45.107,19.654,22.037,99.595,30.366,41.264,262.9,10.433,15.34,0.017691,vapor
31,1300,0.024147,41.413,19.624,21.993,98.828,30.48,41.642,262.13,10.436,15.355,0.017752,vapor
31,1400,0.026147,38.246,19.593,21.95,98.108,30.596,42.03,261.35,10.439,15.37,0.017815,vapor
