:******************************************************************************
:*                            Measurement data                                *
:******************************************************************************
:
:==============================================================================
: [Name of  Apparatus] High pressure two-component adsorption measuring system
: [    Model mane    ] FMS-BG
:==============================================================================
:
:--------------
: sample condition
:--------------
,data folder name,"C:\DATA-PROVE\CalTech"
,sample name,v2110b
,comment,polypropylene glycol 1k2f
,sample_weight_gravimety, 0.686 
,sample_weight_volumetric, 0 
:--------------
: computation parameters
:--------------
,basket_weight, 7.46809 
,basket_density, 7.98 
,air densiry, 0.0012 
,bouyancy correction,calclation
,He molecular weight, 0.001 
,He 2nd virial coef., 0 
,He gas supply pressure, 5000 
,sample density, 1 
,Dead volume, 205 
,adsorbate gas 2nd Virial coef., 0 
,adsorbed layer density, 0 
:--------------
: method of measurement - pretreatment
:--------------
,pretreatment,skip
,pretreatment time, 60 
,pretreatment bath bias, 0 
,kind of pretreatment heater,heater
,pretreatment temperature, 180 
,rate of temp. elevation, 10 
,evacuation period, 120 
,ultimate evacuation vacuum pressure, 0.001 
,continuous measurement,does
:--------------
: method of measurement - adsorption
:--------------
,method of measurement,mono
,gas dosing port X,Ads2
,molecular weight X, 44.01 
,ratio of adsorptive X, 100 
,pre-adsorption pressure, 1 
,gas supply pressure X, 5500 
,gas dosing port Y,Ads2
,molecular weight Y, 44 
,ratio of adsorptive Y, 0 
,gas supply pressure Y, 5000 
,measurement of rate of adsroption,does not do
:--------------
: measurement parameters
:--------------
,apparatus temperature, 50 
,type of meas. apparatus temperatureinput value
,tube temperature, 0 
,adsorption temperature, 30.3 
,type of meas. ads. temperature,measured data
,bias temp. of circulation bath, 18.6 
,adsorption temperature stable method,vacuum state
,equilibrium (pressure),no
,equilibrium condition (P1), 135 
,equilibrium condition (P2), 35 
,equilibrium condition (P3), 5 
,equilibrium condition (P4), 0.5 
,equilibrium (weight),yes
,equilibrium condition (weight), 0.00003 
,fluid density measurement,measured data
,Post-processing end state,vacuum state
:-------------------
: dosing pressure parameters
:-------------------
,gas dosing method,step method
,ads. pres. limits 1, 50 
,ads. pres. limits 2, 150 
,ads. pres. limits 3, 500 
,ads. pres. limits 4, 5000 
,ads. pres. step 1, 50 
,ads. pres. step 1, 100 
,ads. pres. step 1, 350 
,ads. pres. step 1, 500 
,max. ads. pres., 5500 
,desorption,does
,des. pres. limits 1, 3500 
,des. pres. limits 2, 1000 
,des. pres. limits 3, 300 
,des. pres. limits 4, 0 
,des. pres. step 1, 500 
,des. pres. step 1, 350 
,des. pres. step 1, 200 
,des. pres. step 1, 50 
,min. des. pres., 10 
,gas dosing table file,C:\Documents and Settings\TEST\Desktop\MSB-BG_He(E)\DEFAULT.TBL
:==============================================================================
: measurement initial value
:==============================================================================
,apparatus temperature, 50 
,adsorption temperature, 30.3 
,true S.W.(Gravimetic) after pretreatment,-2.22312157186191 
,sinker weight at vacuum, 19.7216172532242 
,MP1-ZP weight at vacuum, 7.96678952380952 
,V0_a1,-999 
,V0_a2,-999 
,MP1 volume at 101.325kPa,-0.942304194668926 
,sample true density(g/cm3), 1 
,start date of measurement,06-13-2019
,start time of measurement,10:40:31
:==============================================================================
: adsorption-desorption measurement data
:==============================================================================
,,,No.,temp4,equilibrium pressure,MP1-MP0,uptake,uptake per unit,adsorbate volume,MP2-MP1,adsorptive density,start time of gas dosing
,,,,(°C),(kPa),(g),(g),(g/g),(cm3),(g),(g/cm3),
,,,1,30.43,52.528,7.96479,-0.00285,0.00128,0.00000,19.71769,8.9533E-04,19/06/13,10:40:32
,,,2,30.44,152.571,7.96172,-0.00757,0.00340,0.00000,19.71000,2.6510E-03,19/06/13,12:44:39
,,,3,30.42,500.046,7.95075,-0.02439,0.01097,0.00000,19.68274,8.8707E-03,19/06/13,15:50:18
,,,4,30.44,994.929,7.93428,-0.04959,0.02231,0.00000,19.64218,1.8127E-02,19/06/13,20:30:28
