No,sec,Time,Julabo_ex_pv(°C),Pressure(Pa),P_slope,,,Weight(g),W_slope,,,Interval
 0 , 14274.812 ,13:46:29,30.38,,,,,8.019990,,,0.000030,/90sec
 0 , 14365.375 ,13:48:00,30.39,,,,,8.019980,,,0.000030,/90sec
 0 , 14455.109 ,13:49:30,30.40,,,,,8.019980,,,0.000030,/90sec
 0 , 14544.859 ,13:51:00,30.41,,,,,8.019970,,,0.000030,/90sec
 0 , 14634.828 ,13:52:29,30.42,,,,,8.019960,,,0.000030,/90sec
 0 , 14724.687 ,13:53:59,30.44,,,,,8.019960,,,0.000030,/90sec
 0 , 14814.812 ,13:55:29,30.45,,,,,8.019950,,,0.000030,/90sec
 0 , 14904.687 ,13:56:59,30.46,,,,,8.019940,,,0.000030,/90sec
 0 , 14994.797 ,13:58:29,30.47,,,,,8.019920,,,0.000030,/90sec
 0 , 15085.172 ,14:00:00,30.48,,,,,8.019920,,,0.000030,/90sec
 0 , 15175.125 ,14:01:30,30.49,,,,,8.019900,-0.0000085,<,0.000030,/90sec
 1 , 17147.187 ,14:34:22,30.68,49806,,,,8.016440,,,0.000030,/300sec
 1 , 17447.531 ,14:39:22,30.70,49802,,,,8.016480,,,0.000030,/300sec
 1 , 17747.187 ,14:44:22,30.72,49798,,,,8.016490,,,0.000030,/300sec
 1 , 18047.359 ,14:49:22,30.73,49798,,,,8.016520,,,0.000030,/300sec
 1 , 18347.453 ,14:54:22,30.75,49802,,,,8.016540,,,0.000030,/300sec
 1 , 18647.203 ,14:59:22,30.77,49802,,,,8.016560,,,0.000030,/300sec
 1 , 18947.359 ,15:04:22,30.79,49810,,,,8.016590,,,0.000030,/300sec
 1 , 19247.578 ,15:09:22,30.81,49814,,,,8.016590,,,0.000030,/300sec
 1 , 19547.437 ,15:14:22,30.82,49818,,,,8.016600,,,0.000030,/300sec
 1 , 19847.734 ,15:19:22,30.83,49822,,,,8.016630,,,0.000030,/300sec
 1 , 20147.484 ,15:24:22,30.84,49827,2.589,<,5.000,8.016640,0.0000193,<,0.000030,/300sec
 2 , 21116.469 ,15:40:31,30.88,101866,,,,8.013180,,,0.000030,/300sec
 2 , 21416.922 ,15:45:32,30.89,101850,,,,8.013290,,,0.000030,/300sec
 2 , 21716.766 ,15:50:31,30.89,101822,,,,8.013340,,,0.000030,/300sec
 2 , 22016.766 ,15:55:31,30.89,101822,,,,8.013390,,,0.000030,/300sec
 2 , 22316.703 ,16:00:31,30.91,101814,,,,8.013460,,,0.000030,/300sec
 2 , 22616.469 ,16:05:31,30.91,101810,,,,8.013480,,,0.000030,/300sec
 2 , 22916.781 ,16:10:31,30.92,101797,,,,8.013540,,,0.000030,/300sec
 2 , 23216.891 ,16:15:32,30.94,101797,,,,8.013570,,,0.000030,/300sec
 2 , 23517.016 ,16:20:32,30.94,101789,,,,8.013610,,,0.000030,/300sec
 2 , 23816.875 ,16:25:32,30.95,101785,,,,8.013650,,,0.000030,/300sec
 2 , 24116.453 ,16:30:31,30.96,101789,-7.361,>=,5.000,8.013670,0.0000467,>=,0.000030,/300sec
 2 , 24416.797 ,16:35:31,30.97,101781,-5.881,>=,5.000,8.013710,0.0000417,>=,0.000030,/300sec
 2 , 24716.875 ,16:40:32,30.98,101777,-4.698,<,5.000,8.013750,0.0000397,>=,0.000030,/300sec
 2 , 25016.547 ,16:45:31,30.99,101773,-4.587,<,5.000,8.013770,0.0000372,>=,0.000030,/300sec
 2 , 25316.781 ,16:50:31,30.99,101777,-3.847,<,5.000,8.013790,0.0000344,>=,0.000030,/300sec
 2 , 25616.531 ,16:55:31,31.00,101773,-3.329,<,5.000,8.013820,0.0000331,>=,0.000030,/300sec
 2 , 25916.672 ,17:00:31,31.01,101785,-2.108,<,5.000,8.013840,0.0000305,>=,0.000030,/300sec
 2 , 26216.609 ,17:05:31,31.01,101781,-1.517,<,5.000,8.013850,0.0000285,<,0.000030,/300sec
 3 , 27481.594 ,17:26:36,31.05,202514,,,,8.007170,,,0.000030,/300sec
 3 , 27781.125 ,17:31:36,31.04,202407,,,,8.007340,,,0.000030,/300sec
 3 , 28081.625 ,17:36:36,31.03,202407,,,,8.007460,,,0.000030,/300sec
 3 , 28381.375 ,17:41:36,31.03,202300,,,,8.007560,,,0.000030,/300sec
 3 , 28681.406 ,17:46:36,31.03,202300,,,,8.007650,,,0.000030,/300sec
 3 , 28981.469 ,17:51:36,31.04,202300,,,,8.007770,,,0.000030,/300sec
 3 , 29281.125 ,17:56:36,31.04,202300,,,,8.007840,,,0.000030,/300sec
 3 , 29581.187 ,18:01:36,31.04,202300,,,,8.007910,,,0.000030,/300sec
 3 , 29881.469 ,18:06:36,31.04,202193,,,,8.007990,,,0.000030,/300sec
 3 , 30181.547 ,18:11:36,31.04,202087,,,,8.008050,,,0.000030,/300sec
 3 , 30481.578 ,18:16:36,31.05,202193,-32.046,<,35.000,8.008120,0.0000915,>=,0.000030,/300sec
 3 , 30781.766 ,18:21:36,31.04,202087,-30.103,<,35.000,8.008170,0.0000825,>=,0.000030,/300sec
 3 , 31081.453 ,18:26:36,31.05,202087,-30.103,<,35.000,8.008240,0.0000769,>=,0.000030,/300sec
 3 , 31381.516 ,18:31:36,31.05,202087,-27.190,<,35.000,8.008290,0.0000719,>=,0.000030,/300sec
 3 , 31681.484 ,18:36:36,31.04,202087,-27.190,<,35.000,8.008340,0.0000671,>=,0.000030,/300sec
 3 , 31981.234 ,18:41:36,31.04,202087,-25.248,<,35.000,8.008390,0.0000624,>=,0.000030,/300sec
 3 , 32281.328 ,18:46:36,31.04,201980,-26.219,<,35.000,8.008440,0.0000597,>=,0.000030,/300sec
 3 , 32581.359 ,18:51:36,31.04,202087,-19.422,<,35.000,8.008480,0.0000566,>=,0.000030,/300sec
