,p set [kPa],p actual [kPa],p std [kPa],zero [g],zero std [g],mp1 [g],mp1 std [g],mp2 [g],mp2 std [g],M_0 (extrap) [g],M_0 (prev) [g],M_0 (prev) std [g],M_infty (extrap) [g],M_infty (final) [g],M_infty (final) std [g],if tension [mN/m],if tension std [mN/m],drop volume [uL],drop volume std [uL],sample volume [mL],sample volume std [mL],drop volume (fit) [uL],drop volume (fit) std [uL],sample volume (fit) [mL],sample volume (fit) std [mL],dissolved gas balance reading [g],buoyancy correction [g],actual weight of dissolved gas [g],actual weight of dissolved gas std [g],solubility [w/w],solubility error [w/w],specific volume [mL/g],specific volume (fit) [mL/g],specific volume error [mL/g],specific volume error (stat) [mL/g],specific volume error (sys) [mL/g],diffusivity (sqrt) [cm^2/s],diffusivity (sqrt) std [cm^2/s],diffusivity (exp) [cm^2/s],diffusivity (exp) std [cm^2/s],diffusion time constant [s]
0,0,0.7146,0.5843336718006246,0.00193,1e-05,8.0155025,1e-05,27.737090000000002,1e-05,0.0037968164369861722,0.0008557699580861167,1e-05,4.20377428265302e-05,-2.1864209143445664e-06,1.3457662326033868e-05,25.157,0.138351002887583,3.5998999999999994,0.013095419046368895,0.7385235953349422,0.008919274753919088,3.6055625428541425,0.013095419046368895,0.7396852724669125,0.008932032581830937,-1.1666666666915799e-05,9.480245752571232e-06,-2.1864209143445664e-06,1.3457662326033868e-05,-3.0015029108920262e-06,-2.9446241768747108e-05,1.0138398817067567,1.0154346237210914,0.012244368467301807,0.0036881313329214034,0.01167571181702333,2.0508940865596433e-09,4.586968858457054e-06,7.682631065594951e-06,8.65285007640274e-07,4251.221209593958
1,50,50.08860000000001,0.2885561297217581,0.001175,1e-05,8.0124575,1e-05,27.73071,1e-05,-2.4822435245895484e-05,-2.1864209143445664e-06,1.3457662326033868e-05,8.311940012409296e-05,6.517352112603726e-05,1.4380334809787721e-05,,,3.6063,0.020751144546747296,0.7398365626424074,0.009524519596893984,3.609314324163487,0.020751144546747296,0.7404549546862762,0.009530890754690885,-0.002323785714285823,0.00238895923541186,6.517352112603726e-05,1.4380334809787721e-05,8.946146859228237e-05,3.8354926124697106e-05,1.0155484047617889,1.0163972504195722,0.013074055941135088,0.005843672501806571,0.011695402106963206,3.709249783127049e-11,4.868786543221309e-06,2.6980666696179243e-05,4.080646535563057e-06,1214.8253194017725
2,100,99.8066,0.003199999999995029,0.00037999999999999997,1e-05,8.009960000000001,1e-05,27.724759999999996,1e-05,0.00020113020827769971,6.517352112603726e-05,1.4380334809787721e-05,0.00042692916300388295,0.0007629363920456066,1.9722832772237527e-05,,,3.6275,0.015127788999057342,0.7441857668483854,0.009114878286696148,3.613108446705456,0.015127788999057342,0.7412333232578577,0.009082916033988944,-0.004029722222222236,0.004792658614267842,0.0007629363920456066,1.9722832772237527e-05,0.0010462546545950626,4.627079053838904e-05,1.0205409396724334,1.0164920990597361,0.012499815106797499,0.004256024090494304,0.01175294161668708,1.8364968987730704e-05,2.452383963329278e-06,0.00010975911475605598,3.616953433624054e-05,302.1461429908253
3,200,200.4532,0.048575302366529405,-0.0012,1e-05,8.004935,1e-05,27.71268,1e-05,0.0003019530344528088,0.0007629363920456066,1.9722832772237527e-05,0.0022684433715950683,0.0021850951283067096,2.3987286761475435e-05,24.557,0.11463420083029267,3.6277,0.01138463877336466,0.7442267970767438,0.008883264748695741,3.620838844492396,0.01138463877336466,0.7428192231903503,0.00886762603670779,-0.007474166666666399,0.009659261794973109,0.0021850951283067096,2.3987286761475435e-05,0.0029907027449214835,7.906025172375215e-05,1.018610629820197,1.0166841072486241,0.012158656899176695,0.003196747042722063,0.01173088853995062,1.71900362800726e-05,2.077604530397258e-06,1.5016391267995991e-05,1.7967737976061182e-06,2208.716433022909
4,550,549.8776,0.2616055045292394,-0.0066099999999999996,1e-05,7.9872425,1e-05,27.670170000000002,1e-05,0.000511599141026972,0.0021850951283067096,2.3987286761475435e-05,0.007139775292546988,0.007116502306432501,2.1232119972570858e-05,23.897,0.17894412535760967,3.6597999999999993,0.01545833108715169,0.7508121487282483,0.009209796194070677,3.648194385124708,0.01545833108715169,0.7484312435853908,0.00918405865583644,-0.01975750000000039,0.02687400230643289,0.007116502306432501,2.1232119972570858e-05,0.009674935044061424,0.0002104534054557215,1.0207344080633702,1.0174975507405815,0.012522640693532709,0.004311762410506919,0.011756922848035575,1.3222129085914389e-05,1.499788449744074e-06,1.3900655329049536e-05,1.5689709233664356e-06,2428.4112644093216
5,1050,1046.3962999999999,0.2580806269365637,-0.01456,1e-05,7.9611374999999995,1e-05,27.60768,1e-05,0.0008925567767917569,0.007116502306432501,2.1232119972570858e-05,0.014353090523309934,0.014324903525004769,2.616250229154148e-05,22.874,0.10818502669038867,3.7068000000000003,0.008009993757800427,0.7604542523924454,0.00891045025612521,3.68844685311139,0.008009993757800427,0.7566890833527813,0.008867836805604839,-0.03792055555555559,0.05224545908056036,0.014324903525004769,2.616250229154148e-05,0.019285808843743757,0.0003953131550653595,1.0238097115594982,1.0187406142188709,0.012003096613360876,0.0022130524389815543,0.011797318645013922,1.4513456802673302e-05,1.6369987833367338e-06,1.605227513851655e-05,1.867947109935489e-06,2157.2700884058095
6,1550,1541.6005,0.05349999999998545,-0.02266,1e-05,7.93413,1e-05,27.542959999999997,1e-05,0.0007989862089539788,0.014324903525004769,2.616250229154148e-05,0.021826856880447013,0.0217936851827795,1.7287022759233187e-05,21.951999999999998,0.086694867206773,3.7407000000000004,0.012434226956268628,0.7674088760991746,0.009198485077194936,3.730207795381854,0.012434226956268628,0.7652563883418527,0.009174671219247674,-0.05681805555555589,0.07861174073833539,0.0217936851827795,1.7287022759233187e-05,0.029049031967749026,0.0005956329249154527,1.022887354165963,1.0200182806179043,0.012275887598068547,0.0034020904190987934,0.011795049686232328,1.37416712381846e-05,1.5504332485218567e-06,1.5061567434469287e-05,1.744777341004261e-06,2341.4150030319156
7,2030,2032.9815999999998,0.042799999999988354,-0.031010000000000003,1e-05,7.906015999999999,1e-05,27.475929999999998,1e-05,0.0009176188934870703,0.0217936851827795,1.7287022759233187e-05,0.029463857547628418,0.029349915270838425,2.7547052266782437e-05,21.129,0.20181427105138022,3.7741999999999996,0.01100727032465361,0.7742814393491871,0.00919834378862598,3.7732406021530087,0.01100727032465361,0.7740846177854448,0.009196146515292294,-0.07659493243243275,0.10594484770327117,0.029349915270838425,2.7547052266782437e-05,0.03873072318172279,0.0007939109693133502,1.0217569562108855,1.0214972266194657,0.012165360692433553,0.0029830066349518735,0.011793967618780394,1.4752914210368328e-05,1.6640926803262892e-06,1.4872597840277723e-05,1.7280087926238257e-06,2413.825072793804
8,2530,2525.6233,0.057621263436323525,-0.03971,1e-05,7.8764725,1e-05,27.405890000000003,1e-05,0.0012079827172558075,0.029349915270838425,2.7547052266782437e-05,0.037509538661067654,0.0373223755311107,2.375545324114334e-05,20.046,0.07657675887630681,3.8236000000000003,0.006374950980203752,0.7844159057536836,0.009127743647776295,3.817978014127102,0.006374950980203752,0.7832625489327233,0.009114598496012729,-0.09743138888888897,0.13475376441999967,0.0373223755311107,2.375545324114334e-05,0.048738578124835175,0.0009946954067585208,1.024353765292107,1.022847618624746,0.011963118118206946,0.001710801990032385,0.011840158430573153,1.60138228054503e-05,1.805331850052172e-06,1.3739918325145311e-05,1.6119221107665071e-06,2681.6590663753796
9,3020,3016.7155,0.3972126005051558,-0.0488,1e-05,7.845470000000001,1e-05,27.33282,1e-05,0.00118921548161639,0.0373223755311107,2.375545324114334e-05,0.045448056902267234,0.04541359741214791,2.4838030576155636e-05,19.193,0.09899999999999992,3.8568999999999996,0.02064194758253213,0.7912474387753379,0.010048170813859583,3.8641634411268346,0.02064194758253213,0.7927375420158428,0.010063735476252588,-0.11933222222222274,0.16474581963437065,0.04541359741214791,2.4838030576155636e-05,0.05868467798737073,0.0012597132891998867,1.0224713257453075,1.024396877426302,0.01304801333703576,0.005485770417980509,0.011838791110779555,1.6980707843856598e-05,1.9212098277673306e-06,1.653929792015992e-05,1.917515043269728e-06,2266.7441083021645
10,3510,3507.7771999999995,1.0455387893331605,-0.05826,1e-05,7.812869999999999,1e-05,27.256240000000002,1e-05,0.001783217978265257,0.04541359741214791,2.4838030576155636e-05,0.05412450412509486,0.0540611964098508,3.314691560717302e-05,18.201,0.0639452891149926,3.9126,0.01588836051957534,0.8026743573731201,0.009801679043026191,3.911932076574569,0.01588836051957534,0.8025373321197636,0.00980019084423097,-0.14248601351351436,0.19654720992336516,0.0540611964098508,3.314691560717302e-05,0.06908731183499754,0.001468395606078542,1.0257748128505775,1.0255997019200658,0.012615781434762437,0.004180840006191886,0.011902878561605256,1.8330766407784904e-05,2.0711078672810983e-06,1.750523355370279e-05,1.972658239081176e-06,2203.970614753666
11,4000,3995.9256,0.3708000000001196,-0.06808,1e-05,7.778510000000001,1e-05,27.175775,1.5000000002984848e-05,0.0016072419968904286,0.0540611964098508,3.314691560717302e-05,0.06294498119563019,0.06293776834021267,3.1653003076148226e-05,17.354999999999997,0.07283543093852071,3.9686999999999997,0.011883181392202985,0.8141833364276189,0.009688111959940524,3.960989258639138,0.011883181392202985,0.8126014690333798,0.009670481976888912,-0.16702564285714305,0.22996341119735572,0.06293776834021267,3.1653003076148226e-05,0.07952893604969588,0.001686012953718012,1.0288120504283729,1.0268131833863212,0.012363413443560744,0.003095492518207022,0.01196962480807744,1.9868984950077875e-05,2.2436853108668434e-06,1.9664338137864656e-05,2.212282898926351e-06,2018.6453093621535
12,4500,4484.8559,0.9655218744283347,-0.07842,1e-05,7.742030000000001,1e-05,27.09075,2.000000000279556e-05,0.0013397941148696633,0.06293776834021267,3.1653003076148226e-05,0.07236084434581021,0.07222604279448094,4.648531174381399e-05,16.426,0.25314817795117556,4.023899999999999,0.013917255476565775,0.8255076794545053,0.009926272035418966,4.011696051197322,0.013917255476565775,0.8230040254232719,0.00989866116223432,-0.1931855555555557,0.26541159835003664,0.07222604279448094,4.648531174381399e-05,0.09020697438736966,0.001946516238771283,1.0310207678001124,1.0278938201461623,0.012557307765934953,0.0035895954879658675,0.012033319681666625,2.027525867672829e-05,2.2940529513988635e-06,1.7362232371315702e-05,1.9604545520758632e-06,2350.344927534788
