,p set [kPa],p actual [kPa],p std [kPa],zero [g],zero std [g],mp1 [g],mp1 std [g],mp2 [g],mp2 std [g],M_0 (extrap) [g],M_0 (prev) [g],M_infty (extrap) [g],M_infty (final) [g],if tension [mN/m],if tension std [mN/m],drop volume [uL],drop volume std [uL],sample volume [mL],dissolved gas balance reading [g],buoyancy correction [g],actual weight of dissolved gas [g],solubility [w/w],solubility error [w/w],specific volume [mL/g],specific volume error [mL/g],diffusivity (sqrt) [cm^2/s],diffusivity (exp) [cm^2/s],diffusion time constant [s]
0,0,0,0,-0.005875,1.00E-05,7.9767325,1.00E-05,27.698375,1.00E-05,0,0,-6.69E-05,-2.50E-06,25.66,0.112071406,3.9825,0.012273956,0.712004905,0,0,0,0,,1.028922771,,0,7.35E-06,4129.393233
1,50,51.876,0.061,-0.00671,1.00E-05,7.973695,1.00E-05,27.69185,1.00E-05,-0.03064548,-2.50E-06,0.000292672,0.000220591,25.672,0.182909814,3.976,0.015912259,0.710842812,-0.0022025,0.002459072,0.000256572,0.000370636,3.51E-05,1.026862691,0.011978585,0.007683864,1.20E-05,2518.149473
2,150,153.5169,0.04903356,-0.00833,1.00E-05,7.9684825,1.00E-05,27.67955,1.00E-05,0.000367061,0.000220591,0.001555384,0.001476507,25.472,0.164790776,3.9649,0.013352528,0.708858317,-0.005795,0.007298007,0.001503007,0.002167297,6.40E-05,1.02215549,0.011717176,1.07E-05,1.48E-05,2033.763937
3,500,502.4858,0.224543003,-0.013725,1.00E-05,7.9506125,1.00E-05,27.63699,1.00E-05,0.001164838,0.001476507,0.006115446,0.005957994,24.938,0.484578167,4.0163,0.012594046,0.718047784,-0.01827,0.024256494,0.005986494,0.00857692,0.00019161,1.028755485,0.01172645,1.52E-05,1.01E-05,3043.174654
4,1000,999.0434,0.051929183,-0.02166,1.00E-05,7.9241725,1.00E-05,27.5743,1.00E-05,0.006269881,0.005957994,0.012498004,0.012379751,23.823,0.364610751,4.0425,0.010670052,0.722731909,-0.036775,0.04918071,0.01240571,0.017611832,0.000379541,1.026030204,0.011570764,0.00392633,1.19E-05,2628.101281
5,1500,1495.8468,0.05241908,-0.029845,1.00E-05,7.896615,1.00E-05,27.509165,1.00E-05,0.011992477,0.012379751,0.01916526,0.019068196,22.805,0.286365152,4.0907,0.019819435,0.731349269,-0.0561475,0.075242557,0.019095057,0.026853385,0.000591417,1.028496697,0.012337778,1.63E-05,1.33E-05,2403.613453
6,2000,1989.6267,0.088880875,-0.03827,1.00E-05,7.86803,1.00E-05,27.44153,1.00E-05,0.018780571,0.019068196,0.026130003,0.0260056,21.617,0.171642069,4.1381,0.018479448,0.739823602,-0.0763075,0.102327912,0.026020412,0.036239571,0.000795214,1.03037916,0.01222122,1.60E-05,1.10E-05,2992.645251
7,2500,2484.0799,0.517617513,-0.04719,1.00E-05,7.837824,1.00E-05,27.37086,1.00E-05,0.025872858,0.0260056,0.033121001,0.03303945,20.753,0.160252925,4.1798,0.0076,0.74727887,-0.0975935,0.130689328,0.033095828,0.045643975,0.000983372,1.03060659,0.01149589,1.65E-05,1.54E-05,2166.458508
8,3000,2976.5998,0.06735696,-0.05637,1.00E-05,7.806198,1.00E-05,27.29706,1.00E-05,0.033229693,0.03303945,0.040452984,0.040375647,19.605,0.07800641,4.2332,0.015210523,0.756825904,-0.1200395,0.160441103,0.040401603,0.055163889,0.001218746,1.033361471,0.011989796,1.48E-05,1.61E-05,2136.956999
9,3500,3468.0038,0.2884,-0.065985,1.00E-05,7.7729725,1.09E-05,27.219775,1.00E-05,0.040722584,0.040375647,0.048060593,0.047787354,18.686,0.082969874,4.2692,0.011214277,0.763262106,-0.14365,0.191493402,0.047843402,0.06466775,0.001430776,1.031666678,0.011730075,1.45E-05,1.05E-05,3313.911113
