,p set [kPa],p actual [kPa],p std [kPa],zero [g],zero std [g],mp1 [g],mp1 std [g],mp2 [g],mp2 std [g],M_0 (extrap) [g],M_0 (prev) [g],M_0 (prev) std [g],M_infty (extrap) [g],M_infty (final) [g],M_infty (final) std [g],if tension [mN/m],if tension std [mN/m],drop volume [uL],drop volume std [uL],sample volume [mL],sample volume std [mL],drop volume (fit) [uL],drop volume (fit) std [uL],sample volume (fit) [mL],sample volume (fit) std [mL],dissolved gas balance reading [g],buoyancy correction [g],actual weight of dissolved gas [g],actual weight of dissolved gas std [g],solubility [w/w],solubility error [w/w],specific volume [mL/g],specific volume (fit) [mL/g],specific volume error [mL/g],specific volume error (stat) [mL/g],specific volume error (sys) [mL/g],diffusivity (sqrt) [cm^2/s],diffusivity (sqrt) std [cm^2/s],diffusivity (exp) [cm^2/s],diffusivity (exp) std [cm^2/s],diffusion time constant [s]
0,45.0,45.17450000000001,1,5.633319999999999,1e-05,14.026719999999997,0.00015491933384793562,,,-0.005583523818102836,0.010018009662108973,1e-05,0.004723473320676577,0.004744482386777231,1e-05,25.3245,0.3494778247614574,4.144833831000001,0.012779497468819203,1.143993962618539,0.018461008934608777,4.14493411484268,0.012779497468819203,1.1440216414387887,0.018461439291761084,0.002292209245357668,0.002452273141419563,0.004744482386777231,1e-05,0.00427420651971609,0.0002045586604051586,1.0306006124434979,1.0306255477229078,0.016632484222300317,0.0031812521398243273,0.016325414733719082,2.977851364844371e-11,1.0272366802360402e-07,2.4074747714809207e-05,3.140502372399101e-06,3255.2222962923393
1,1330.0,1333.3333000000002,1,5.612480000000001,1e-05,13.946310365116052,0.004625516558055001,,,0.005429985882500229,0.004744482386777231,1e-05,0.033714574061607966,0.033454313528063814,1e-05,23.014,0.14623269128344735,4.242064752,0.011997036671148865,1.1708301618822867,0.018839283999997368,4.2420494282671655,0.011997036671148865,1.1708259324587291,0.018839218048657604,-0.042967790754643076,0.07642210428270689,0.033454313528063814,1e-05,0.029378455235411424,0.004104981570829314,1.028183748869141,1.0281800347313348,0.017073453014160665,0.005090085147262652,0.01629704976430912,1.3191325446831254e-05,1.5105482097811072e-06,1.2533562716741784e-05,1.441300042519178e-06,6549.500752254422
2,3500.0,3496.9199000000003,1,5.57332,1e-05,13.803130645313779,0.008144944714412483,,,0.013183465356197866,0.033454313528063814,1e-05,0.08619108072648514,0.08574833263138915,8.028991314230872e-05,18.645,0.05343220002956991,4.449357152,0.01335098831131568,1.2280438557879585,0.01979822421680014,4.449271934741771,0.01335098831131568,1.2280203354170822,0.019797858163254654,-0.13724972468562147,0.2229980573170106,0.08574833263138915,8.028991314230872e-05,0.0719950877636898,0.007048058877593124,1.031076902161821,1.0310571542423745,0.018133207027259346,0.007705153276857898,0.01641474367980121,1.57681817748784e-05,1.806482511937154e-06,1.58776975874843e-05,1.8219950836453463e-06,5687.680056235375
3,5500.0,5493.8272,1,5.52911,1e-05,13.644350640524387,0.007783108454347521,,,0.020414172335927412,0.08574833263138915,8.028991314230872e-05,0.14153588963907382,0.1422817491546477,0.00020623655454661254,,,4.689610801000001,,1.2943550120754381,,4.689599333138639,,1.2943518468908501,,-0.25309365030769027,0.39537539946233796,0.1422817491546477,0.00020623655454661254,0.1140476792091781,,1.0375061178051972,1.0375035807127122,,,0.016683857529230406,1.9286570559327707e-05,,2.335298799933199e-05,,4295.950757616523
4,6200.0,6156.305125643374,12.54758294771171,5.51185,1e-05,13.539650692492856,0.019299746728773753,,,-0.049752643004008196,0.1422817491546477,0.00020623655454661254,0.167317473880651,0.15449199328054986,0.00175826005843056,13.601000000000003,0.039102429592034006,4.77969146,0.011851675924620294,1.3192177048265816,0.021150950916264545,4.77973377684383,0.011851675924620294,1.319229384477886,0.02115113369659363,-0.30948885875410653,0.4639808520346564,0.15449199328054986,0.00175826005843056,0.12263469105529824,0.015836242180325758,1.0471860206522132,1.0471952918797955,0.023488891564340957,0.01627778108086487,0.016934044703047334,2.0205395359337312e-09,2.2407569426898778e-07,1.648260243511426e-05,1.886822635023265e-06,6322.692930048938
5,6600.0,6605.547167441993,7.247997699823618,5.4991,1e-05,13.544222593942528,0.002670231011089394,,,0.010816746327783629,0.15449199328054986,0.00175826005843056,0.1766261481817294,0.17713369807441043,0.00022513864135267772,12.8095,0.0401839520206762,4.843718701,0.008642530493630545,1.3368895295929442,0.021310318707720394,4.843805802702905,0.008642530493630545,1.3369135700795642,0.021310697117052576,-0.33805352442973907,0.5151872225041495,0.17713369807441043,0.00022513864135267772,0.138125024260824,0.004229581132290653,1.042477522438987,1.0424962686901733,0.01717853678334762,0.002920065054410468,0.01692853644278908,1.833913041119307e-05,3.556582419265146e-06,2.0004995756374427e-05,2.3157256338286793e-06,5349.922755882311
6,7200.0,7208.653868738493,4.229919550641801,5.48156,1e-05,13.472284083863673,0.004810267529903374,,,0.007919987693362603,0.17713369807441043,0.00022513864135267772,0.19353207163991526,0.196603031279597,0.0004644875885907577,11.789,0.01894729532149671,4.933413111,0.008266129014773898,1.3616456157726105,0.021688862120888254,4.9335708972918475,0.008266129014773898,1.361689165543872,0.02168954812423947,-0.3933997424174386,0.5900027736970356,0.196603031279597,0.0004644875885907577,0.15101412798753416,0.005605290555129312,1.0459031275134225,1.045936578832501,0.017632046839040395,0.004271965533058497,0.017106705884490873,2.440710453395193e-05,3.0779132935134574e-06,4.39039716140993e-05,5.043394400814589e-06,2528.828087169727
7,7850.0,7872.998243803989,1.3092154624957737,5.4608,1e-05,13.388664847554091,0.0002389624486592908,,,0.00992566087627322,0.196603031279597,0.0004644875885907577,0.21620948241370583,0.22192275986536875,0.0002712738404060934,10.488000000000003,0.015033296378372588,5.037817833,0.010941460394095345,1.3904618184255526,0.022231049593615788,5.037423592567922,0.010941460394095345,1.3903530061805975,0.02222934198036888,-0.4565877907546438,0.6785105506200125,0.22192275986536875,0.0002712738404060934,0.16721064314408274,0.0047811023922064355,1.0476618759935912,1.0475798899662367,0.01745639767000424,0.0023644730973427217,0.017295522154166725,3.101711840854035e-05,3.7866234895047786e-06,8.137658242695531e-05,9.35205197830808e-06,1422.7009451496206
8,6700.0,6711.565082596098,4.1228359993874,5.49653,1e-05,13.540706615686652,0.001666348585846552,,,-0.031683212820187254,0.22192275986536875,0.0002712738404060934,0.18421538852783229,0.18485969887467157,0.0003616129012809595,12.259,0.018411952639521577,4.859175373999999,0.009755682104975122,1.3411556452721587,0.02141393000209652,4.859274023620147,0.009755682104975122,1.3411828730391728,0.021414357868175023,-0.3431928851951471,0.5280525840698187,0.18485969887467157,0.0003616129012809595,0.14328635406511095,0.0039552261157527755,1.0395413592833609,1.0395624637614518,0.017086702155589863,0.00253300977703706,0.016897906734956076,1.0439175711361893e-05,1.221575096192739e-06,2.5182406416606587e-05,2.8826453377079664e-06,4277.165612904479
9,6300.0,6279.25641010868,11.241555706488697,5.50815,1e-05,13.595995552290429,0.0028802061148064714,,,-0.007974063682213893,0.18485969887467157,0.0003616129012809595,0.1726067265617388,0.17354068654307997,0.0016877311745514285,12.909000000000002,0.22814249932881855,4.796978548999999,0.017095808453146295,1.3239890240769068,0.021496309372516273,4.797032455116325,0.017095808453146295,1.3240039024228523,0.02149653929858251,-0.30413805905709457,0.47767874560017454,0.17354068654307997,0.0016877311745514285,0.13570347920819098,0.0041613977382798555,1.0353186943056842,1.0353303287145936,0.017340236776539904,0.0044736750106256305,0.016753209942150512,5.121213426095606e-05,1.6684989358076077e-05,7.41914222087073e-05,8.695177352139604e-06,1414.8487144150342
