,p set [kPa],p actual [kPa],p std [kPa],zero [g],zero std [g],mp1 [g],mp1 std [g],mp2 [g],mp2 std [g],M_0 (extrap) [g],M_0 (prev) [g],M_0 (prev) std [g],M_infty (extrap) [g],M_infty (final) [g],M_infty (final) std [g],if tension [mN/m],if tension std [mN/m],drop volume [uL],drop volume std [uL],sample volume [mL],sample volume std [mL],drop volume (fit) [uL],drop volume (fit) std [uL],sample volume (fit) [mL],sample volume (fit) std [mL],dissolved gas balance reading [g],buoyancy correction [g],actual weight of dissolved gas [g],actual weight of dissolved gas std [g],solubility [w/w],solubility error [w/w],specific volume [mL/g],specific volume (fit) [mL/g],specific volume error [mL/g],specific volume error (stat) [mL/g],specific volume error (sys) [mL/g],diffusivity (sqrt) [cm^2/s],diffusivity (sqrt) std [cm^2/s],diffusivity (exp) [cm^2/s],diffusivity (exp) std [cm^2/s],diffusion time constant [s]
0,0,0.9406000000000002,0.4731638616800738,-0.005875,1e-05,7.9767325,1e-05,27.698375,1e-05,0.0,0.0,1e-05,0.0016953820256877502,-1.0131616541189394e-05,1.593528869439279e-05,25.660000000000004,0.11207140580897484,3.9825000000000004,0.012273956167430156,0.7120049045125862,0.008419188863596884,3.970199052473225,0.012273956167430156,0.7098056992472465,0.008394953234113647,-2.249999999986368e-05,1.2368383458674286e-05,-1.0131616541189394e-05,1.593528869439279e-05,-1.4641477225308462e-05,-3.026898869538334e-05,1.0289378354725163,1.025759703564805,0.012166859009169176,0.0031712415071018375,0.011746305183019707,0.0,,1.19960605048357e-06,1.3486507021898922e-07,25305.927187768586
1,50,51.876,0.06099999999999994,-0.00671,1e-05,7.973694999999999,1e-05,27.69185,1e-05,2.8375475478949545e-07,-1.0131616541189394e-05,1.593528869439279e-05,0.0001861552467370299,0.00021553970710392516,1.6003093205130848e-05,,,3.976,0.015912259424732778,0.7108428123897157,0.008599134368744621,3.974125345817101,0.015912259424732778,0.7105076553344768,0.008595523784365325,-0.002241666666666179,0.0024572063737701043,0.00021553970710392516,1.6003093205130848e-05,0.0003113807996406095,3.521979871098233e-05,1.0269235600007856,1.0264393732434232,0.01242286416176769,0.0041098855940210795,0.011723326933332109,1.570859986089539e-05,3.633501921475e-06,3.2304214974656994e-05,1.6055322176851123e-05,936.661980668986
2,150,153.5169,0.04903355993602718,-0.008329999999999999,1e-05,7.9684825,1e-05,27.67955,1e-05,0.0002975830321252448,0.00021553970710392516,1.6003093205130848e-05,0.001582142836230453,0.0014563528320083825,2.032945540343287e-05,25.471999999999998,0.16479077644091594,3.9649,0.013352527850560804,0.70885831661066,0.008437034698500781,3.98200374999956,0.013352527850560804,0.7119161832485115,0.008470522322590131,-0.005842635135134335,0.007298987967142717,0.0014563528320083825,2.032945540343287e-05,0.002100164672874404,6.483568794559671e-05,1.022224259052602,1.0266339208776976,0.012167004265337908,0.0034426094687172383,0.011669808603342612,1.5299306038064926e-05,1.8397342290287315e-06,1.2429537513263353e-05,1.8969221375269086e-06,2420.7996056790507
3,500,502.5286,0.22659223287657015,-0.013725000000000001,1e-05,7.9506125,1e-05,27.63699,1e-05,0.0005098617258646935,0.0014563528320083825,2.032945540343287e-05,0.005519563973932816,0.005935972782408778,2.293844824019653e-05,24.938,0.4845781670690504,4.016299999999999,0.012594046212397193,0.7180477835515128,0.008500786763571829,4.009497971345699,0.012594046212397193,0.7168316937178663,0.00848740061806558,-0.018315642857142374,0.024251615639551152,0.005935972782408778,2.293844824019653e-05,0.008505153486509114,0.00019452339247054382,1.0288299548562059,1.0270875225594813,0.012181720366881987,0.003226421634309604,0.011746681000800454,1.2587929720738137e-05,1.4257750970031465e-06,1.7872538576989688e-05,2.5707342550497366e-06,1727.4893557585078
4,1000,999.0434000000001,0.05192918254694501,-0.02166,1e-05,7.924172499999999,1e-05,27.5743,1e-05,0.0004601473151619018,0.005935972782408778,2.293844824019653e-05,0.012444083251485974,0.012357964396113037,2.3156548102433624e-05,23.823,0.3646107513499841,4.0424999999999995,0.010670051546267099,0.7227319087236986,0.008468306374484834,4.049790742485496,0.010670051546267099,0.7240353724794327,0.008482804804218768,-0.036821013513513225,0.04917897790962626,0.012357964396113037,2.3156548102433624e-05,0.017545239237581427,0.0003855867197556805,1.026099755326983,1.0279503500284102,0.012029415043578424,0.002709047732021369,0.011720404714697388,1.2817733067671147e-05,1.446186554672831e-06,1.302023800972081e-05,1.51945245795322e-06,2402.3178413420924
5,1500,1495.8468,0.05241908049565715,-0.029845,1e-05,7.896615000000001,1e-05,27.509165,1e-05,0.0006245241162501108,0.012357964396113037,2.3156548102433624e-05,0.01915648519863874,0.019038365854833234,2.615722991929633e-05,22.805,0.28636515151114283,4.0907,0.019819434906172297,0.7313492687732923,0.009069826105138403,4.091492401496709,0.019819434906172297,0.7314909370098271,0.00907131487058383,-0.05620444444444381,0.07524281029927704,0.019038365854833234,2.615722991929633e-05,0.026775794334485015,0.0006005582677935449,1.0285787003288582,1.0287779442972802,0.012770869444956156,0.004986134336038965,0.011757277353328365,1.386713014330298e-05,1.5690352667443075e-06,1.334390949657055e-05,1.5833749806776594e-06,2400.277789702914
6,2000,1989.6267,0.08888087533319922,-0.03827,1e-05,7.86803,1e-05,27.44153,1e-05,0.00018169494415802044,0.019038365854833234,2.615722991929633e-05,0.026126097364011596,0.02599089285714075,2.0420581536967792e-05,21.617,0.17164206943520535,4.1381000000000006,0.018479448043705025,0.7398236021000711,0.009068965995059035,4.134313512447622,0.018479448043705025,0.7391466409680764,0.009061769363754447,-0.07635149999999925,0.10234239285714,0.02599089285714075,2.0420581536967792e-05,0.036199947269885215,0.0008078912280739228,1.0304215223480149,1.0294786552669695,0.012658577360509,0.004606082381505693,0.011790826344526233,1.3579599837484662e-05,1.5345089487493096e-06,1.0868755796792347e-05,1.271477289026411e-06,3015.5842383688137
7,2500,2484.0798999999997,0.5176175132275839,-0.047189999999999996,1e-05,7.837824,1e-05,27.370859999999997,1e-05,0.0010628970571868867,0.02599089285714075,2.0420581536967792e-05,0.03314487867570219,0.033022555567063225,2.840284874876613e-05,20.753,0.16025292509030864,4.1798,0.007599999999999975,0.7472788700267942,0.008638402540905712,4.178564867081994,0.007599999999999975,0.7470580487599154,0.008635913052684074,-0.09764804054054045,0.13067059610760368,0.033022555567063225,2.840284874876613e-05,0.04554752484730811,0.0009998348232730671,1.0307107465166028,1.0304061709933805,0.011959221560636477,0.001877595895327862,0.011810910802738302,1.5543681058400255e-05,1.7524098353073295e-06,1.495553314405188e-05,1.7473987706697817e-06,2235.931201342992
8,3000,2976.5997999999995,0.06735695955125101,-0.05637,1e-05,7.806197999999999,1e-05,27.29706,1e-05,0.0014183506545753799,0.033022555567063225,2.840284874876613e-05,0.0404501841817819,0.040360984716148546,1.687306792570949e-05,19.605,0.07800640999302527,4.2332,0.015210522673465265,0.7568259037746843,0.009057718759699825,4.224007948199252,0.015210522673465265,0.7551825174684278,0.00903982524168633,-0.12007565789473612,0.16043664261088467,0.040360984716148546,1.687306792570949e-05,0.055111485427073906,0.0012389355183795821,1.033418784503103,1.0311747991022198,0.012433879209884388,0.0037222070544846294,0.011863664140961683,1.587061205152723e-05,1.7906977326682515e-06,1.573916205767023e-05,1.8591452748840634e-06,2179.2411980269294
9,3500,3468.0038,0.28840000000018334,-0.06598499999999999,1e-05,7.7729725,1.0897247358439139e-05,27.219775,1e-05,0.0017288950418023624,0.040360984716148546,1.687306792570949e-05,0.04769812331653569,0.04777922456733116,2.4408426796454095e-05,18.686,0.0829698740507664,4.2692,0.011214276615101085,0.7632621063013516,0.008941026316580203,4.270705518481383,0.011214276615101085,0.7635312680195133,0.008944020821091102,-0.1437024999999991,0.19148172456733026,0.04777922456733116,2.4408426796454095e-05,0.06458660758573014,0.0014551716401203477,1.0317561783631273,1.0321200235788133,0.01217870175514279,0.002719597063771159,0.011871165412521442,1.7067855520446184e-05,1.9228864985790743e-06,1.6935075846857017e-05,1.9033361732352953e-06,2059.9429282188867
10,3950,3958.0234000000005,0.3591732729476043,-0.07605,1e-05,7.737855000000001,1e-05,27.138665,1e-05,0.0010872696963295466,0.04777922456733116,2.4408426796454095e-05,0.055737426967038234,0.055603483968739986,2.833382973733018e-05,17.709,0.09159148432032345,4.3253,0.016254537827942332,0.7732918552387419,0.009293855029614152,4.318621716105153,0.016254537827942332,0.7720978889143579,0.00928090924745804,-0.16875668918918818,0.22436017315792817,0.055603483968739986,2.833382973733018e-05,0.07437656848056565,0.0017161303217869124,1.0343739370533416,1.0327768587454615,0.01255699647994906,0.003905539107606247,0.011934191421139988,1.7923461913808958e-05,2.02352581807133e-06,1.7257363421810926e-05,2.043542312245125e-06,2074.9486727850754
11,4450,4450.9692000000005,1.3312127403235952,-0.08661,1e-05,7.700465,1.1180339887671495e-05,27.052775,1e-05,0.001036226548902738,0.055603483968739986,2.833382973733018e-05,0.0635405651173616,0.06356509259982224,3.3730847131154555e-05,16.79,0.13776792079435612,4.3719,0.008129575634680928,0.7816231618427059,0.009040541974599184,4.368184431860326,0.008129575634680928,0.7809588799246898,0.009033057313979522,-0.19564138888888793,0.25920648148871017,0.06356509259982224,3.3730847131154555e-05,0.08413025228155578,0.00193932379792765,1.034501030446356,1.0336218339713252,0.012131085486514199,0.0019386643268573512,0.011975174976128163,1.9321390620169928e-05,2.18051756420272e-06,2.0100296416688694e-05,2.3350592685969727e-06,1820.0667257456298
12,4950,4938.9288,0.947599999999958,-0.09762,1e-05,7.66092,1e-05,26.961869999999998,1e-05,0.0013721929149503693,0.06356509259982224,3.3730847131154555e-05,0.07180442635785307,0.0716005571488853,3.623364454975763e-05,15.828,0.08376156636548773,4.4116,0.007592101158440687,0.7887208629623917,0.00910570520928531,4.418589614737792,0.007592101158440687,0.7899704900744976,0.009119811710701043,-0.2240844444444438,0.2956850015933291,0.0716005571488853,3.623364454975763e-05,0.09376818305216297,0.0021944804376537747,1.0329098710996396,1.0345463843959153,0.012136157947551037,0.0017936485199128106,0.012002881100590841,1.790822814050923e-05,2.0231870481223835e-06,1.558926861081228e-05,1.761546343924207e-06,2389.5484939800954
13,5350,5335.9962,0.5276174371646175,-0.10708999999999999,1.9999999999999185e-05,7.6266025,1e-05,26.88376,1e-05,0.005357181108567064,0.0716005571488853,3.623364454975763e-05,0.07901273851379331,0.07886654208744306,3.9181458018667e-05,15.02,0.12247448713915912,4.4767,0.02017448884110823,0.8003596625314489,0.009822997617012379,4.460592434767635,0.02017448884110823,0.7974798971968098,0.009792426305337436,-0.24892452702702614,0.3277910691144692,0.07886654208744306,3.9181458018667e-05,0.10231018936436452,0.002495392274235913,1.038272332802441,1.0345365364949881,0.013000423228232142,0.004725964510590356,0.012110997628510967,1.136018910244164e-05,1.2930997376869534e-06,1.6508373535952093e-05,1.9131955949659433e-06,2323.5981873311725
14,4600,4599.9564,0.44373758010787817,-0.090415,1e-05,7.68819,1.2247448714177424e-05,27.024540000000002,1.000000000139778e-05,-0.0018657621401135314,0.07886654208744306,3.9181458018667e-05,0.06630968043886075,0.06620099669998941,2.7703424973480633e-05,16.436999999999998,0.09757561170702425,4.3853,0.010611785900591763,0.7840188594498542,0.009149161605964467,4.383432703816201,0.010611785900591763,0.7836850178827374,0.009145433372108675,-0.2039924999999993,0.2701934966999887,0.06620099669998941,2.7703424973480633e-05,0.08731433500466884,0.0020228907320415626,1.0340642702739533,1.0336239573499377,0.012245455133158462,0.002519539158407193,0.011983450832187267,2.3464605036472232e-05,2.642227971465418e-06,2.0641430615497047e-05,2.3299988523529842e-06,1783.2332632698647
15,3850,3863.382,0.422174371557471,-0.07491,1e-05,7.74404,1.788854382011551e-05,27.15369,1e-05,-0.000874815552677993,0.06620099669998941,2.7703424973480633e-05,0.054420093599943355,0.05422782413289498,2.3516199868829735e-05,17.924,0.14374978260853175,4.3148,0.016874833332510292,0.7714146295017971,0.00930884983155042,4.309262222926057,0.016874833332510292,0.7704245668685906,0.009298158132875845,-0.16363849999999958,0.21786632413289456,0.05422782413289498,2.3516199868829735e-05,0.07267017407262577,0.0016711690103189225,1.0337651621551973,1.0324383889525406,0.012593051987983545,0.004061041708201583,0.01192027258984892,1.8368093557452544e-05,2.0696264768377354e-06,1.9710035126747227e-05,2.229861862457538e-06,1807.9369240384008
16,3100,3122.6390000000006,0.07964420882910195,-0.060425,1e-05,7.7952925,1e-05,27.273090000000003,1e-05,-0.0014909095931372428,0.05422782413289498,2.3516199868829735e-05,0.0425594629233604,0.04240742734535766,2.766468396979839e-05,19.415000000000003,0.161879584877155,4.2238999999999995,0.014480676779764222,0.7551632181219617,0.009001221722123746,4.237744286866446,0.014480676779764222,0.7576383468472321,0.009028287303323787,-0.12690709459459354,0.1693145219399512,0.04240742734535766,2.766468396979839e-05,0.057744471920745374,0.001300676286100942,1.028275091749864,1.031645374035857,0.012329099772136276,0.0035346091503252503,0.011811572263916763,1.6806901811358243e-05,1.8927341981826286e-06,1.7716120581147207e-05,2.0040494069043805e-06,1927.5602458139056
17,2400,2378.3424,0.08007146807694057,-0.04678,1e-05,7.842835,1e-05,27.384500000000003,1e-05,0.0,0.04240742734535766,2.766468396979839e-05,0.0,,,,,4.2238999999999995,0.014480676779764222,,,4.1689864383909425,,0.7453455846781694,,-0.09299006410256333,,,,,,,,,,,0.0,,0.0,,0.0
18,1600,1632.3685,0.05349999999998545,-0.03398,1e-05,7.886965,1e-05,27.488715,1e-05,0.0,0.0,1e-05,0.0,,,,,4.2238999999999995,0.014480676779764222,,,4.103194773796421,,0.7335831269588106,,-0.06165570512820498,,,,,,,,,,,0.0,,0.0,,0.0
19,900,885.882,0.0,-0.021825,1e-05,7.92818,1e-05,27.58659,1e-05,0.0,0.0,1e-05,0.0,,,,,4.2238999999999995,0.014480676779764222,,,4.040485766595381,,0.7223717972201401,,-0.032594166666666036,,,,,,,,,,,0.0,,0.0,,0.0
